,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.703,0.001,0.702,0.704,0.0,0.0,54233.0,16458.0,1.0
Intercept,0.024,0.008,0.009,0.038,0.0,0.0,3397.0,6641.0,1.0
hydro_rain_values,0.0,0.0,0.0,0.0,0.0,0.0,32902.0,19137.0,1.0
met_rain_values,-0.0,0.0,-0.0,0.0,0.0,0.0,32817.0,18916.0,1.0
met_tmax_values,0.012,0.001,0.011,0.013,0.0,0.0,9925.0,14027.0,1.0
aqrean_carbon_monoxide_values,0.0,0.0,0.0,0.0,0.0,0.0,46679.0,18517.0,1.0
aqrean_daqi_overall_values,-0.011,0.002,-0.015,-0.007,0.0,0.0,24331.0,20621.0,1.0
aqrean_nitrogen_monoxide_values,0.001,0.0,0.0,0.001,0.0,0.0,24148.0,19509.0,1.0
aqrean_nitrogen_dioxide_values,0.001,0.0,0.0,0.001,0.0,0.0,27775.0,21219.0,1.0
aqrean_daqi_nitrogen_dioxide_values,0.01,0.004,0.003,0.017,0.0,0.0,33309.0,19594.0,1.0
aqrean_nox_expressed_as_nitrogen_dioxide_values,-0.001,0.0,-0.001,-0.0,0.0,0.0,24194.0,19967.0,1.0
aqrean_ozone_values,-0.002,0.0,-0.002,-0.001,0.0,0.0,33142.0,18842.0,1.0
aqrean_daqi_ozone_values,-0.005,0.003,-0.01,0.001,0.0,0.0,26499.0,19555.0,1.0
aqrean_pm2p5_values,-0.002,0.0,-0.002,-0.001,0.0,0.0,31837.0,19230.0,1.0
aqrean_pm10_values,0.002,0.0,0.002,0.002,0.0,0.0,27438.0,19709.0,1.0
aqrean_daqi_pm10_values,-0.019,0.002,-0.023,-0.015,0.0,0.0,45167.0,19168.0,1.0
aqrean_sulfur_dioxide_values,-0.001,0.0,-0.001,-0.001,0.0,0.0,40488.0,20076.0,1.0
aqrean_daqi_sulfur_dioxide_values,0.012,0.072,-0.124,0.144,0.0,0.0,22685.0,18686.0,1.0
hydro_rain_values:met_rain_values,-0.0,0.0,-0.0,0.0,0.0,0.0,31623.0,20572.0,1.0
met_rain_values:met_tmax_values,0.0,0.0,-0.0,0.0,0.0,0.0,29302.0,19641.0,1.0
hydro_rain_values:met_tmax_values,0.0,0.0,0.0,0.0,0.0,0.0,33057.0,18938.0,1.0
aqrean_nitrogen_dioxide_values:aqrean_nox_expressed_as_nitrogen_dioxide_values,0.0,0.0,0.0,0.0,0.0,0.0,30200.0,19386.0,1.0
aqrean_nitrogen_monoxide_values:aqrean_nox_expressed_as_nitrogen_dioxide_values,-0.0,0.0,-0.0,-0.0,0.0,0.0,31567.0,21879.0,1.0
aqrean_daqi_overall_values:aqrean_daqi_nitrogen_dioxide_values,-0.028,0.002,-0.032,-0.024,0.0,0.0,48765.0,17059.0,1.0
aqrean_daqi_overall_values:aqrean_daqi_ozone_values,-0.019,0.002,-0.021,-0.016,0.0,0.0,25111.0,20560.0,1.0
aqrean_daqi_overall_values:aqrean_daqi_pm10_values,0.011,0.001,0.009,0.013,0.0,0.0,26138.0,18494.0,1.0
aqrean_daqi_overall_values:aqrean_daqi_sulfur_dioxide_values,-0.021,0.032,-0.082,0.038,0.0,0.0,48679.0,16607.0,1.0
aqrean_daqi_nitrogen_dioxide_values:aqrean_nitrogen_dioxide_values,-0.003,0.0,-0.003,-0.002,0.0,0.0,27409.0,19780.0,1.0
aqrean_daqi_ozone_values:aqrean_ozone_values,0.001,0.0,0.001,0.001,0.0,0.0,25179.0,19679.0,1.0
aqrean_daqi_pm10_values:aqrean_pm10_values,-0.001,0.0,-0.001,-0.001,0.0,0.0,28698.0,19156.0,1.0
aqrean_daqi_sulfur_dioxide_values:aqrean_sulfur_dioxide_values,0.0,0.001,-0.001,0.001,0.0,0.0,25496.0,19749.0,1.0
C(month)[2],-0.467,0.005,-0.476,-0.458,0.0,0.0,14710.0,18231.0,1.0
C(month)[3],0.066,0.005,0.056,0.076,0.0,0.0,13098.0,17035.0,1.0
C(month)[4],-0.164,0.007,-0.177,-0.152,0.0,0.0,8971.0,14561.0,1.0
C(month)[5],-0.049,0.008,-0.064,-0.035,0.0,0.0,7158.0,11668.0,1.0
C(month)[6],-0.183,0.009,-0.2,-0.164,0.0,0.0,6941.0,10863.0,1.0
C(month)[7],-0.106,0.011,-0.127,-0.085,0.0,0.0,7144.0,11401.0,1.0
C(month)[8],-0.319,0.01,-0.338,-0.3,0.0,0.0,6837.0,10573.0,1.0
C(month)[9],-0.295,0.009,-0.312,-0.279,0.0,0.0,6862.0,10379.0,1.0
C(month)[10],-0.14,0.007,-0.153,-0.127,0.0,0.0,7362.0,11897.0,1.0
C(month)[11],-0.179,0.005,-0.188,-0.17,0.0,0.0,10327.0,15639.0,1.0
C(month)[12],0.208,0.004,0.2,0.216,0.0,0.0,14498.0,17395.0,1.0
1|practice_id_sigma,0.445,0.004,0.437,0.453,0.0,0.0,3445.0,7050.0,1.0
date_code|practice_id_sigma,0.768,0.007,0.755,0.781,0.0,0.0,2235.0,4845.0,1.0
1|practice_id[A81001],-0.088,0.088,-0.251,0.082,0.0,0.001,38234.0,19807.0,1.0
1|practice_id[A81002],0.044,0.09,-0.122,0.215,0.0,0.001,37622.0,18955.0,1.0
1|practice_id[A81003],0.57,0.184,0.223,0.909,0.001,0.001,33461.0,18784.0,1.0
1|practice_id[A81004],0.053,0.089,-0.114,0.217,0.0,0.001,40689.0,18831.0,1.0
1|practice_id[A81005],-0.136,0.088,-0.297,0.034,0.0,0.001,37831.0,19589.0,1.0
1|practice_id[A81006],0.131,0.089,-0.034,0.298,0.0,0.001,35198.0,18877.0,1.0
1|practice_id[A81007],-0.061,0.088,-0.223,0.107,0.0,0.001,37395.0,17821.0,1.0
1|practice_id[A81008],-0.7,0.194,-1.073,-0.345,0.001,0.001,30336.0,18726.0,1.0
1|practice_id[A81009],-0.079,0.088,-0.248,0.085,0.0,0.001,39786.0,18701.0,1.0
1|practice_id[A81011],-0.271,0.087,-0.434,-0.106,0.0,0.001,37218.0,19064.0,1.0
1|practice_id[A81012],0.468,0.09,0.302,0.637,0.0,0.001,38989.0,19216.0,1.0
1|practice_id[A81013],-0.149,0.088,-0.311,0.018,0.0,0.001,36191.0,19527.0,1.0
1|practice_id[A81014],-0.633,0.088,-0.805,-0.474,0.0,0.001,36473.0,18175.0,1.0
