,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.688,0.001,0.687,0.69,0.0,0.0,48688.0,17746.0,1.0
Intercept,0.367,0.007,0.353,0.381,0.0,0.0,3713.0,7189.0,1.0
hydro_rain_values,-0.0,0.0,-0.0,-0.0,0.0,0.0,34246.0,18196.0,1.0
met_rain_values,-0.0,0.0,-0.0,-0.0,0.0,0.0,33189.0,19027.0,1.0
met_tmax_values,-0.017,0.001,-0.019,-0.016,0.0,0.0,10089.0,15176.0,1.0
aqrean_carbon_monoxide_values,0.0,0.0,0.0,0.0,0.0,0.0,51350.0,18071.0,1.0
aqrean_daqi_overall_values,0.002,0.002,-0.002,0.006,0.0,0.0,25745.0,20256.0,1.0
aqrean_nitrogen_monoxide_values,0.0,0.0,-0.0,0.001,0.0,0.0,26135.0,19309.0,1.0
aqrean_nitrogen_dioxide_values,0.002,0.0,0.001,0.002,0.0,0.0,29305.0,20263.0,1.0
aqrean_daqi_nitrogen_dioxide_values,-0.011,0.004,-0.018,-0.003,0.0,0.0,37975.0,20895.0,1.0
aqrean_nox_expressed_as_nitrogen_dioxide_values,-0.0,0.0,-0.0,0.0,0.0,0.0,26262.0,19307.0,1.0
aqrean_ozone_values,-0.002,0.0,-0.002,-0.002,0.0,0.0,35370.0,17872.0,1.0
aqrean_daqi_ozone_values,-0.031,0.003,-0.037,-0.026,0.0,0.0,27365.0,18950.0,1.0
aqrean_pm2p5_values,0.002,0.0,0.001,0.002,0.0,0.0,33037.0,19683.0,1.0
aqrean_pm10_values,-0.001,0.0,-0.002,-0.001,0.0,0.0,28082.0,19648.0,1.0
aqrean_daqi_pm10_values,-0.009,0.002,-0.013,-0.005,0.0,0.0,43733.0,17966.0,1.0
aqrean_sulfur_dioxide_values,-0.0,0.0,-0.001,-0.0,0.0,0.0,38442.0,19041.0,1.0
aqrean_daqi_sulfur_dioxide_values,0.059,0.07,-0.072,0.191,0.0,0.0,24510.0,18301.0,1.0
hydro_rain_values:met_rain_values,0.0,0.0,0.0,0.0,0.0,0.0,27973.0,19881.0,1.0
met_rain_values:met_tmax_values,0.0,0.0,0.0,0.0,0.0,0.0,30151.0,18919.0,1.0
hydro_rain_values:met_tmax_values,0.0,0.0,0.0,0.0,0.0,0.0,33599.0,18650.0,1.0
aqrean_nitrogen_dioxide_values:aqrean_nox_expressed_as_nitrogen_dioxide_values,0.0,0.0,0.0,0.0,0.0,0.0,30656.0,20265.0,1.0
aqrean_nitrogen_monoxide_values:aqrean_nox_expressed_as_nitrogen_dioxide_values,-0.0,0.0,-0.0,-0.0,0.0,0.0,32609.0,22572.0,1.0
aqrean_daqi_overall_values:aqrean_daqi_nitrogen_dioxide_values,-0.043,0.002,-0.047,-0.039,0.0,0.0,47661.0,19007.0,1.0
aqrean_daqi_overall_values:aqrean_daqi_ozone_values,-0.029,0.002,-0.032,-0.026,0.0,0.0,26895.0,19676.0,1.0
aqrean_daqi_overall_values:aqrean_daqi_pm10_values,0.008,0.001,0.007,0.01,0.0,0.0,28495.0,19905.0,1.0
aqrean_daqi_overall_values:aqrean_daqi_sulfur_dioxide_values,-0.031,0.031,-0.09,0.029,0.0,0.0,52661.0,17904.0,1.0
aqrean_daqi_nitrogen_dioxide_values:aqrean_nitrogen_dioxide_values,-0.001,0.0,-0.002,-0.001,0.0,0.0,26777.0,18903.0,1.0
aqrean_daqi_ozone_values:aqrean_ozone_values,0.002,0.0,0.002,0.002,0.0,0.0,26711.0,19272.0,1.0
aqrean_daqi_pm10_values:aqrean_pm10_values,-0.0,0.0,-0.001,-0.0,0.0,0.0,30708.0,19663.0,1.0
aqrean_daqi_sulfur_dioxide_values:aqrean_sulfur_dioxide_values,0.0,0.001,-0.001,0.001,0.0,0.0,26765.0,19647.0,1.0
C(month)[2],-0.543,0.005,-0.552,-0.534,0.0,0.0,15760.0,17960.0,1.0
C(month)[3],-0.244,0.005,-0.254,-0.234,0.0,0.0,13550.0,17802.0,1.0
C(month)[4],-0.638,0.007,-0.65,-0.625,0.0,0.0,9432.0,15781.0,1.0
C(month)[5],-0.687,0.008,-0.701,-0.672,0.0,0.0,7466.0,12573.0,1.0
C(month)[6],-0.75,0.009,-0.767,-0.732,0.0,0.0,7129.0,11816.0,1.0
C(month)[7],-0.643,0.011,-0.664,-0.622,0.0,0.0,7246.0,11867.0,1.0
C(month)[8],-0.985,0.01,-1.005,-0.966,0.0,0.0,7190.0,11703.0,1.0
C(month)[9],-0.785,0.009,-0.801,-0.768,0.0,0.0,7139.0,12473.0,1.0
C(month)[10],-0.494,0.007,-0.507,-0.481,0.0,0.0,7779.0,13311.0,1.0
C(month)[11],-0.553,0.005,-0.562,-0.544,0.0,0.0,11594.0,17150.0,1.0
C(month)[12],0.056,0.004,0.048,0.064,0.0,0.0,15206.0,18880.0,1.0
1|practice_id_sigma,0.401,0.004,0.394,0.408,0.0,0.0,4391.0,8078.0,1.0
date_code|practice_id_sigma,0.696,0.006,0.684,0.708,0.0,0.0,2407.0,4931.0,1.0
1|practice_id[A81001],0.39,0.086,0.224,0.548,0.0,0.001,36713.0,18743.0,1.0
1|practice_id[A81002],0.154,0.086,-0.006,0.317,0.0,0.001,39422.0,19866.0,1.0
1|practice_id[A81003],0.111,0.178,-0.221,0.448,0.001,0.001,35305.0,18421.0,1.0
1|practice_id[A81004],0.005,0.086,-0.154,0.169,0.0,0.001,38604.0,19512.0,1.0
1|practice_id[A81005],0.186,0.086,0.024,0.348,0.0,0.001,38206.0,18595.0,1.0
1|practice_id[A81006],-0.038,0.086,-0.202,0.121,0.0,0.001,37482.0,18409.0,1.0
1|practice_id[A81007],0.348,0.085,0.187,0.508,0.0,0.001,32171.0,19641.0,1.0
1|practice_id[A81008],-0.733,0.187,-1.075,-0.375,0.001,0.001,35692.0,18097.0,1.0
1|practice_id[A81009],0.331,0.086,0.173,0.495,0.0,0.001,39383.0,18282.0,1.0
1|practice_id[A81011],-0.083,0.085,-0.243,0.078,0.0,0.001,39203.0,18824.0,1.0
1|practice_id[A81012],0.324,0.087,0.161,0.487,0.0,0.001,38008.0,19231.0,1.0
1|practice_id[A81013],-0.231,0.086,-0.389,-0.07,0.0,0.001,36499.0,18835.0,1.0
1|practice_id[A81014],-0.404,0.087,-0.565,-0.239,0.0,0.001,37033.0,19776.0,1.0
1|practice_id[A81015],-0.565,0.114,-0.776,-0.35,0.001,0.001,35294.0,18143.0,1.0
1|practice_id[A81016],-0.264,0.087,-0.427,-0.1,0.0,0.001,39887.0,18139.0,1.0
1|practice_id[A81017],-0.109,0.086,-0.268,0.057,0.0,0.001,40054.0,19166.0,1.0
1|practice_id[A81018],0.322,0.086,0.159,0.484,0.0,0.001,37382.0,18981.0,1.0
1|practice_id[A81019],0.23,0.086,0.063,0.389,0.0,0.001,38086.0,19922.0,1.0
1|practice_id[A81020],0.205,0.086,0.05,0.37,0.0,0.001,38737.0,19202.0,1.0
1|practice_id[A81021],-0.233,0.087,-0.398,-0.07,0.0,0.001,37106.0,19166.0,1.0
1|practice_id[A81022],0.064,0.086,-0.096,0.224,0.0,0.001,36819.0,18999.0,1.0
1|practice_id[A81023],-0.313,0.085,-0.471,-0.151,0.0,0.001,38330.0,19124.0,1.0
1|practice_id[A81025],-0.255,0.087,-0.415,-0.09,0.0,0.001,38667.0,19156.0,1.0
1|practice_id[A81026],-0.01,0.086,-0.17,0.154,0.0,0.001,39889.0,19756.0,1.0
1|practice_id[A81027],0.287,0.085,0.129,0.449,0.0,0.001,36771.0,18658.0,1.0
1|practice_id[A81029],-0.445,0.086,-0.612,-0.289,0.0,0.001,39684.0,17841.0,1.0
1|practice_id[A81030],0.323,0.087,0.154,0.479,0.0,0.001,40620.0,19252.0,1.0
