,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-443.8752852144053,149.27288852018484,0.051894058
A81002,8481.44752724994,902.7079072984363,0.051894058
A81003,346.299027716075,152.64255427550742,-0.9630492
A81004,2359.054377783124,817.0122498247257,0.051894058
A81005,3160.6222870124348,77.28883695779577,-0.4994641
A81006,5994.479524627022,1209.612994674635,0.051894058
A81007,2116.9211525286746,143.11562556235796,-0.98884374
A81008,1175.943837537858,-161.9659714390099,-1.1439692
A81009,2520.658752139341,-455.9556296499947,-1.1439692
A81011,3563.3246525143504,577.3604715071742,-0.98884374
A81012,1340.9878970821828,-91.15256111653302,-1.1439692
A81013,1497.634953883083,552.7358724005597,-0.4994641
A81014,923.0671197811299,-349.1248929283135,0.051894058
A81015,-690.2785234213094,-257.6712312529133,-0.4772686
A81016,2863.512402131058,-103.73015323969814,-1.1439692
A81017,7809.210682062052,544.0743320249377,0.051894058
A81018,3875.400938948859,1788.9406387154936,-0.4994641
A81019,2945.999058753524,266.06747855474305,-1.1439692
A81020,2808.8519596600117,184.8246551334148,-1.1439692
A81021,7523.969961618743,847.6507004975001,-1.1439692
A81022,4282.65648291496,-33.57226649999664,-0.4994641
A81023,-237.219118144695,-114.24391939330756,-1.1439692
A81025,-68.85844486814787,234.6927968500609,0.051894058
A81026,5008.494247368198,572.0920990624413,-1.1439692
A81027,4010.115083581881,1182.8208556992372,0.051894058
A81029,1002.2381156493748,551.7471594597004,-1.1439692
A81030,3035.335865560478,778.9353502887914,-1.1439692
A81031,3108.0768111310904,-114.98135328262495,-0.98884374
A81032,3941.1667146655245,48.3901499378515,-0.4994641
A81033,-431.3092358338032,-289.8912201750836,-1.1439692
A81034,7573.219340057836,928.049185627745,0.051894058
A81035,2113.7722709235813,135.90312956372225,-1.1439692
A81036,7725.448390089459,-87.32314027547987,0.051894058
A81037,1274.2230430107486,166.4650236736787,-1.1439692
A81038,-212.1527062375798,426.5547152823531,-1.1439692
A81039,2700.1420369764273,352.3290942479982,0.051894058
A81040,1617.9238040512873,279.2032951943693,0.051894058
A81041,2230.173471118892,45.03651459143961,-0.98884374
A81042,5122.304738738604,3177.453547493706,-1.1439692
A81043,2984.361184191539,-35.364085556247716,-1.1439692
A81044,9905.969399762887,1850.3506898789155,-0.98884374
A81045,3270.136330810864,-19.443302964213018,-0.4994641
A81046,3912.1535354945786,377.4140417192124,0.051894058
A81047,1662.717677601811,-1279.2663718167582,-0.4564732
A81048,3838.8376432342916,1733.0534005721097,-0.4994641
A81049,1821.6640676920285,377.99703070566886,-1.1439692
A81051,1257.2862640304606,256.80343153317136,-1.1439692
A81052,3408.9801210681417,545.1010467565544,-0.4994641
A81053,3304.9658138303803,37.615378482387136,-0.4994641
A81054,3535.052001774414,326.1728692733959,-0.4994641
A81056,-650.7638852583278,-40.93857323499249,0.051894058
A81057,1987.293453421056,623.9441939385026,0.051894058
A81058,1403.867415217984,578.4209786777079,-1.1439692
A81060,-434.2964883173215,341.6009936625897,-0.98884374
A81063,1299.8201724345745,158.51067377723578,-0.98884374
A81064,-239.60003079055056,214.17408321179417,-1.1439692
A81065,40.744649715364694,-11.621246868045015,-1.1439692
A81066,501.6615452328124,265.1420174495767,0.051894058
A81067,1911.8423387002529,327.85015627069214,0.051894058
A81069,-1073.8977229319994,-158.02166860378972,-0.4564732
A81070,-156.2456583237809,1262.0303350173083,-0.98884374
A81602,-24.157652191760235,89.4055868422814,0.051894058
A81605,-1659.8557708286444,-501.46737793945033,-0.4564732
A81608,38.922579365251856,1188.780590420643,0.051894058
A81609,-1673.4921067735154,44.13119338818994,0.08628677
A81610,1625.362582230783,96.62266447986674,0.051894058
A81611,500.8535207053008,832.0899261162617,-1.1439692
A81612,-544.96669829372,225.99854629286511,-0.98884374
A81613,-1267.21635208535,-314.83148401505855,-0.9630492
A81618,3254.9975955816076,1261.1253556682566,-0.4994641
A81621,-1289.4735899929651,328.59149744333484,-1.1439692
A81622,277.04836138176233,300.1563339651967,-0.98884374
A81623,-1768.1800996089642,38.04448961680484,0.08628677
A81629,212.29884320971405,531.5487549830268,0.051894058
A81630,-2262.625677961646,79.23117544289,0.051894058
A81631,561.5640894715738,382.97883581057437,-0.98884374
A81632,-2270.0066210926175,8.049745178229191,0.056444295
A81633,-2307.5828287600452,-7.097601996359901,-1.1439692
A81634,-2196.4944008555117,127.13040584113149,0.051894058
A82003,2411.6299239739615,635.4583201103223,-0.8544972
A82004,-633.7005628320896,68.99866544129968,0.703206
A82005,444.6452167657339,594.3272978380755,1.4250947
A82006,573.6473507689734,290.2546659782255,0.703206
A82007,2347.8512031283153,362.21083472652793,-0.8544972
A82008,4089.50072082733,-30.610968495077984,-0.8544972
A82009,4300.595609973852,78.06291079083127,-0.8544972
A82010,1459.2449628724446,120.00914389337517,-0.8544972
A82011,-640.4972605860636,144.9633430398131,-0.8544972
A82012,9298.407185004802,823.4874177957103,-0.077436864
