,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-444.8354044844857,148.54168680200564,0.051894058
A81002,8480.483237136956,901.9670593925827,0.051894058
A81003,344.5610010029089,151.82592294745308,-0.9630492
A81004,2357.8116719696823,815.5171870020038,0.051894058
A81005,3159.30783798099,76.37823131639725,-0.4994641
A81006,5993.515446765368,1208.8734392135623,0.051894058
A81007,2115.6572441940953,142.83333197406316,-0.98884374
A81008,1174.4911327140594,-162.53603799177998,-1.1439692
A81009,2519.1651089088414,-456.5285912988087,-1.1439692
A81011,3562.059494562263,577.0757719548311,-0.98884374
A81012,1339.4939516051504,-91.72550157648271,-1.1439692
A81013,1496.452954427638,552.746295633166,-0.4994641
A81014,922.1074898420776,-349.8559148688861,0.051894058
A81015,-692.0070663775314,-259.02271821142546,-0.4772686
A81016,2862.018004509589,-104.30435824148157,-1.1439692
A81017,7807.966776611211,542.5753578710373,0.051894058
A81018,3874.0439217576627,1787.9866227471482,-0.4994641
A81019,2944.5039557172067,265.4922048144115,-1.1439692
A81020,2807.357048754403,184.24971770179303,-1.1439692
A81021,7522.472360638825,847.0699522193544,-1.1439692
A81022,4281.584789651379,-33.685788119689555,-0.4994641
A81023,-238.7125285389898,-114.81545152221891,-1.1439692
A81025,-69.81883819747028,233.96104467650034,0.051894058
A81026,5006.997938058789,571.5142400906489,-1.1439692
A81027,4008.9091706530794,1181.7446316180653,0.051894058
A81029,1000.7430943022941,551.1727721886722,-1.1439692
A81030,3033.8397920171683,778.3586157032154,-1.1439692
A81031,3106.813067769381,-115.26379537064253,-0.98884374
A81032,3939.852075097722,47.4789566231495,-0.4994641
A81033,-432.8948945164172,-290.5558906633277,-1.1439692
A81034,7571.974802539484,926.5493760749565,0.051894058
A81035,2112.2776669025807,135.32891701656385,-1.1439692
A81036,7724.486155592764,-88.06067050835482,0.051894058
A81037,1272.7286448860036,165.8914446319273,-1.1439692
A81038,-213.64711841231988,425.98170171348136,-1.1439692
A81039,2698.900078748933,350.8349950885316,0.051894058
A81040,1616.962802379437,278.4699842623916,0.051894058
A81041,2228.9097076943717,44.754389211129386,-0.98884374
A81042,5120.803605404253,3176.868557436995,-1.1439692
A81043,2982.86662319519,-35.938578201273316,-1.1439692
