,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-433.7947123046883,153.85319497344352,0.05223124
A81002,8491.579718367862,907.0566894577623,0.05223124
A81003,360.32081241910174,159.29923572494744,-0.9630492
A81004,2368.4931102498585,819.1398452154561,0.05223124
A81005,3170.7812595252735,83.59948180011216,-0.49904263
A81006,6004.609118180745,1214.2179146337146,0.05223124
A81007,2127.928503852205,146.52091133576877,-0.98859084
A81008,1192.8212474642949,-147.5174431133233,-1.1439692
A81009,2532.5127426091353,-430.1923236564897,-1.1439692
A81011,3574.287588783937,578.9101101486189,-0.98859084
A81012,1352.2691074075117,-83.80083547691692,-1.1439692
A81013,1507.2801279265866,555.7147039338485,-0.49904263
A81014,933.0468883376119,-347.8655382876548,0.05223124
A81015,-677.904769919434,-250.10149665481302,-0.47703227
A81016,2874.721560784484,-98.97689955829615,-1.1439692
A81017,7818.995992375712,556.5003596706022,0.05223124
A81018,3885.882154441086,1786.8979023750833,-0.49904263
A81019,2957.3118989370832,274.0180497143444,-1.1439692
A81020,2820.146675767712,192.24469833929066,-1.1439692
A81021,7535.604606835362,864.946183131251,-1.1439692
A81022,4292.598470229555,-27.473493736667642,-0.49904263
A81023,-226.2042760741344,-115.19676706412218,-1.1439692
A81025,-58.810515816499674,238.11976708033984,0.05223124
A81026,5019.3193132468205,563.8075997749665,-1.1439692
A81027,4019.56278454856,1188.4603149206969,0.05223124
A81029,1013.3200106877903,552.4904486553463,-1.1439692
A81030,3046.5773030906576,784.3769524881491,-1.1439692
A81031,3119.1379080788665,-109.92672306795804,-0.98859084
A81032,3951.3928772532317,56.73873817120473,-0.49904263
A81033,-418.65281583571505,-284.58624463670026,-1.1439692
A81034,7582.935732175992,938.1527090377956,0.05223124
A81035,2125.15684116154,146.3684491343757,-1.1439692
A81036,7735.639736749668,-80.56521492415541,0.05223124
A81037,1285.5435571253631,175.00370248990777,-1.1439692
A81038,-200.9964422836147,429.9656157946979,-1.1439692
