,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-431.94425717670003,153.539232558233,0.05223124
A81002,8493.427810185976,906.7339963335305,0.05223124
A81003,359.3827294685345,158.9791028340166,-0.9630492
A81004,2371.0134547072785,818.8276523589074,0.05223124
A81005,3172.198731518537,83.11601530242551,-0.49904263
A81006,6006.456666365992,1213.8958187621395,0.05223124
A81007,2127.0479420754727,146.21608540518892,-0.98859084
A81008,1190.825251513542,-148.2697664487171,-1.1439692
A81009,2531.139825296047,-430.4494070744206,-1.1439692
A81011,3573.405922485278,578.6027677217777,-0.98859084
A81012,1350.8954656443145,-84.05834766469447,-1.1439692
A81013,1507.779123234164,555.2320249236358,-0.49904263
A81014,934.8984162694798,-348.17864714658623,0.05223124
A81015,-677.1707249360454,-250.1127878999903,-0.47703227
A81016,2873.3478499066514,-99.23539101915124,-1.1439692
A81017,7821.5165737250145,556.1854004321186,0.05223124
A81018,3886.278732000545,1786.5429927444488,-0.49904263
A81019,2955.937315154574,273.75817807181625,-1.1439692
A81020,2818.7722915196427,191.9852100742757,-1.1439692
A81021,7534.2283351460865,864.6811068229865,-1.1439692
A81022,4292.753849240711,-28.039494494815383,-0.49904263
A81023,-227.57773659609856,-115.4530966314775,-1.1439692
A81025,-56.96028232978003,237.8052510507422,0.05223124
A81026,5017.9439142796355,563.5453000824302,-1.1439692
A81027,4022.358081236081,1188.1660060650463,0.05223124
A81029,1011.9449127411477,552.230907641434,-1.1439692
A81030,3045.201526561599,784.1152084907235,-1.1439692
A81031,3118.257874589541,-110.23131124991887,-0.98859084
A81032,3952.8103581679384,56.2548372999112,-0.49904263
A81033,-419.7348048065049,-284.54937297609155,-1.1439692
A81034,7585.4554423361415,937.8365551217938,0.05223124
A81035,2123.782611237271,146.10959535594435,-1.1439692
A81036,7737.490176698296,-80.88388899581359,0.05223124
A81037,1284.1693181979715,174.74531682432738,-1.1439692
A81038,-202.3711720790507,429.7073337898436,-1.1439692
A81039,2712.0860127960264,353.7320072078959,0.05223124
A81040,1629.8999149846486,284.515374177404,0.05223124
A81041,2240.229938708124,45.87481387502621,-0.98859084
A81042,5131.718422843944,3166.9585656697636,-1.1439692
A81043,2994.1684361360903,-31.821600917062014,-1.1439692
A81044,9916.482741772761,1864.026131117733,-0.98859084
A81045,3281.2459144120603,-13.716144069943626,-0.49904263
