,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-62.57170708657365,269.18465587718543,0.0494753
A81002,8915.615860992992,1114.2807021977978,0.0494753
A81003,626.9082650508207,122.7280866783478,-0.9630492
A81004,2740.7644172482046,937.7973239668926,0.0494753
A81005,3638.0676480655466,344.13403343313803,-0.53762573
A81006,6357.839918624109,1317.5426776416796,0.0494753
A81007,2578.9250277274355,389.8473533263803,-0.99567753
A81008,1475.06057112762,-134.2854747613968,-1.1439692
A81009,2999.548289489751,-173.9802631857811,-1.1305832
A81010,-2178.4788196793047,-81.38935628977266,-0.9630492
A81011,4498.952877528046,1349.403077357634,-0.99567753
A81012,1547.510884291199,-143.3094679474363,-1.1305832
A81013,2060.3769589196736,922.5172419086889,-0.53762573
A81014,1413.3598383920687,-75.97153319326232,0.0494753
A81015,-398.95239243053123,-241.05035770832583,-0.47474793
A81016,3301.289503897368,105.10502749551546,-1.1305832
A81017,7928.600563944776,425.2272839038552,0.0494753
A81018,4126.371217866793,1766.8404071479122,-0.53762573
A81019,3323.094920702114,422.6960665333845,-1.1305832
A81020,3119.449989709027,221.89503565205533,-1.1305832
A81021,8705.442506641315,2219.3977636313343,-1.1305832
A81022,4804.877383117234,326.7223148196173,-0.53762573
A81023,600.7710290900728,514.2002135653545,-1.1305832
A81025,221.73892317003882,238.30884194412266,0.0494753
A81026,6127.48285356257,1448.165597965248,-1.1305832
A81027,4078.231929796842,924.924393561656,0.0494753
A81029,1494.8760019926133,772.0381966743771,-1.1305832
A81030,4198.8535909565635,1832.6330882175814,-1.1305832
A81031,4040.2796753287926,726.050554162064,-0.99567753
A81032,4644.464399793852,543.4203682398422,-0.53762573
A81033,-141.90560627076653,-290.1228097714503,-1.1439692
A81034,7917.310012033751,1079.268314992362,0.0494753
A81035,2442.5314004284346,227.7154582481846,-1.1305832
A81036,8587.815861198087,607.3697114342617,0.0494753
A81037,1511.2031385455653,161.50010718611972,-1.1305832
A81038,-58.189633603804,280.65184657279184,-1.1305832
A81039,3305.538276334998,766.5337142421956,0.0494753
A81040,1920.5657186172166,325.8021203280329,0.0494753
A81041,2667.138733072418,244.88997690384642,-0.99567753
A81042,5373.020541910266,3023.41608111332,-1.1305832
A81043,3000.5426374908893,-417.8039081045172,-1.1391766
A81044,9909.124091644162,1483.7302691822326,-0.99567753
A81045,3319.313815903532,-249.19268958900068,-0.53762573
A81046,4225.9339764427,423.2642013363655,0.0494753
A81047,1975.8901997115079,-1216.6170909533616,-0.4564732
A81048,3735.5058483722155,1194.5922871414691,-0.53762573
A81049,2005.1712748069485,277.16086503204576,-1.1305832
A81051,1564.8965039939633,284.7629153106211,-1.1305832
A81052,3975.5940100749094,879.5465287294468,-0.53762573
A81053,3589.5956759545165,30.883544828484997,-0.53762573
A81054,3946.725204654248,487.395238725706,-0.53762573
A81056,-321.2086734734629,37.39059368017439,0.0494753
A81057,2390.8148283466267,790.3611570503534,0.0494753
A81058,1970.5041192254162,886.3367991315278,-1.1305832
A81060,168.7938529068286,714.4067262629583,-0.99567753
A81063,1859.0000062892786,497.0358205107443,-0.99567753
A81064,150.1682737163682,362.8166720715825,-1.1305832
A81065,345.504464375898,31.72483471730805,-1.1305832
A81066,870.3927019947408,388.4152186508167,0.0494753
A81067,2584.1325116922862,800.5869488121093,0.0494753
A81069,-779.2024453702761,-154.75951579089363,-0.4564732
A81070,-120.44313600931748,870.8475929485886,-0.99567753
A81602,193.85500454444312,24.18846628169321,0.0494753
A81605,-1374.060939200142,-515.3269051814208,-0.4564732
A81608,921.3832277565025,1932.8472850389037,0.0494753
A81609,-1374.8390362570842,89.72989426208039,0.08628677
A81610,2059.62121366622,307.10134958836403,0.0494753
A81611,993.0651903621495,1075.3555170122577,-1.1305832
A81612,-237.53017844356094,255.50346036684294,-0.99567753
A81613,-975.3663816815205,-316.0493035332702,-0.9630492
A81618,3745.6335503635846,1472.4556105933461,-0.53762573
A81620,-2230.6769602186123,-426.58635316476943,0.08628676
A81621,-1008.6398197828025,295.2260370262782,-1.1305832
A81622,591.504786723732,312.1533069351382,-0.99567753
A81623,-1485.7623718637049,33.89695889787864,0.08628677
A81629,641.3192089417237,757.7299468243149,0.0494753
A81630,-1950.5674685089691,105.76879785245855,0.040469367
A81631,1051.700114541281,646.6279884935788,-0.99567753
A81632,-1985.251918115627,20.61617298573434,0.059729703
A81633,-2004.8223465342628,9.869751177325988,-1.1410154
A81634,-1881.1831879798522,124.58448502473284,0.0494753
A82003,2529.8117718613858,381.3512484332115,-0.9415061
A82004,-369.8791942086089,41.56280507671874,0.6807083
A82005,856.4885148442389,708.3553941804341,1.2845418
A82006,965.0669642633518,363.3263710047403,0.6807083
A82007,2759.1594165760403,507.67869659302204,-0.9415061
A82008,4532.208208458665,160.90577265533472,-0.9415061
A82009,4589.200053264401,114.86574316537266,-0.9415061
A82010,1644.1673407429105,60.71261915898027,-0.9415061
A82011,-353.4847185481618,140.46005725382065,-0.8544972
