,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-271.38168452406245,211.69630585568723,0.051175278
A81002,11840.587248761805,1198.1848618563208,0.051175278
A81003,665.1093145231096,216.12978776441244,-0.9596795
A81004,3415.715146501711,1065.0381900214636,0.051175278
A81005,4015.832978631271,182.61198559390294,-0.49769554
A81006,8418.052181219946,1812.659756139055,0.051175278
A81007,3448.602395896328,412.8472438355257,-0.9851098
A81008,1507.1462549443647,-279.3906392727968,-1.1398108
A81009,3536.435353296319,-499.6094060761343,-1.1398108
A81011,5229.964688173928,878.9283936861287,-0.9851098
A81012,2155.2112697928433,127.08129364486314,-1.1398108
A81013,2169.315298456225,711.2570669723266,-0.49769554
A81014,1155.4784192901855,-372.96574594850904,0.051175278
A81015,-701.2539432602363,-326.3980524381269,-0.47578114
A81016,4170.138107387423,-29.27134573090005,-1.1398108
A81017,10572.658517154749,457.95959394514557,0.051175278
A81018,5493.10099165918,2522.802405162094,-0.49769554
A81019,4836.272705723865,395.5908241738097,-1.1398108
A81020,3801.190016719464,314.4392758967775,-1.1398108
A81021,10009.009478796845,1008.6097615642886,-1.1398108
A81022,5886.0712277736775,-33.88655936677534,-0.49769554
A81023,397.66931606923947,-73.57568473936858,-1.1398108
A81025,99.88264897589801,244.5383190354962,0.051175278
A81026,7571.16138891568,935.2924812053724,-1.1398108
A81027,5366.905493015565,1522.7461031449673,0.051175278
A81029,1541.4174521776138,712.1848828843634,-1.1398108
A81030,4630.013554956611,1140.1834322206278,-1.1398108
A81031,5038.450789650077,235.4168258566239,-0.9851098
A81032,5635.947646364455,205.28417326594473,-0.49769554
A81033,-281.817662078891,-375.1759443721314,-1.1398108
A81034,11306.274677830781,988.6013748726583,0.051175278
A81035,3447.090739376798,36.492521830534145,-1.1398108
A81036,10588.470964225355,45.406143928004695,0.051175278
A81037,2335.964117580139,156.96847323413348,-1.1398108
A81038,51.368454561091255,496.17804218105664,-1.1398108
A81039,3777.8052783580374,520.5728426572757,0.051175278
A81040,2848.972118992769,458.61597388266784,0.051175278
A81041,3252.0854882903895,123.6186689097435,-0.9851098
A81042,7158.4768429756805,4136.040699590248,-1.1398108
A81043,4353.567460269118,178.6979730933859,-1.1398108
A81044,13007.766100983456,2443.201315124756,-0.9851098
A81045,4472.491779636353,19.099175278556125,-0.49769554
A81046,5750.233204647205,496.43349197761813,0.051175278
A81047,1610.407337532843,-1709.031570294352,-0.45759183
A81048,4445.362075971047,2014.8700082913351,-0.49769554
A81049,2671.7599098587248,500.0887192370696,-1.1398108
