,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-282.150985051219,206.69554421777937,0.050839562
A81002,11829.678292048306,1190.9517928439102,0.050839562
A81003,652.002632396949,213.07240512068572,-0.9596795
A81004,3401.711907422325,1061.1453077151168,0.050839562
A81005,3999.5781688538364,171.86190713849345,-0.49811515
A81006,8407.232107604917,1807.8549949392211,0.050839562
A81007,3434.1954653611288,409.10005093345814,-0.98536164
A81008,1495.1919592157103,-293.6644783831995,-1.1398108
A81009,3525.417138889524,-529.757612151344,-1.1398108
A81011,5215.60007716631,876.9698122443192,-0.98536164
A81012,2144.8064696713286,116.82887261326877,-1.1398108
A81013,2150.988902536473,704.8756920114183,-0.49811515
A81014,1144.8213912790343,-374.1766831553927,0.050839562
A81015,-716.6754640026436,-335.85834186399046,-0.47601643
A81016,4159.8571922094325,-35.163356716090455,-1.1398108
A81017,10558.133282049248,438.1665210772402,0.050839562
A81018,5478.8102473500085,2525.3226752928385,-0.49811515
A81019,4825.856050412386,385.4763016800071,-1.1398108
A81020,3790.813635209823,305.44047680932175,-1.1398108
A81021,9998.23442558011,987.8375998652682,-1.1398108
A81022,5868.366667224286,-42.698741738099216,-0.49811515
A81023,387.56314044747506,-74.43720677483992,-1.1398108
A81025,89.12533679013352,240.000305449325,0.050839562
A81026,7561.315165800089,944.3734329121794,-1.1398108
A81027,5351.968607074151,1514.9638492992456,0.050839562
A81029,1531.2631647560108,710.11743666845,-1.1398108
A81030,4619.747588208903,1135.1024364019497,-1.1398108
A81031,5023.910740932602,227.56896439480434,-0.98536164
A81032,5619.675737704285,194.26437507824795,-0.49811515
A81033,-291.7867768951515,-380.57342228808045,-1.1398108
A81034,11291.928749903047,974.8951111822214,0.050839562
A81035,3436.5921861098623,23.389308070560073,-1.1398108
A81036,10577.424890577482,33.24237897911675,0.050839562
A81037,2325.569565056811,147.08810107840097,-1.1398108
A81038,41.150152561133005,491.7172899312403,-1.1398108
A81039,3763.759544690352,515.2441120789858,0.050839562
A81040,2838.1101133503403,451.1884407471691,0.050839562
A81041,3237.7309402513415,121.48550454838265,-0.98536164
A81042,7148.765540956945,4150.115293431408,-1.1398108
A81043,4343.300768651862,173.34517011738558,-1.1398108
A81044,12992.975428358342,2429.031361435227,-0.98536164
A81045,4457.884990243569,10.612561761066381,-0.49811515
