,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-283.7308560964223,205.9353588191752,0.050839562
A81002,11828.09561523357,1190.1843709995933,0.050839562
A81003,649.5775478940712,211.4462833223336,-0.9596795
A81004,3400.662968052625,1060.611530747223,0.050839562
A81005,3998.274707349653,171.38883468490732,-0.49811515
A81006,8405.649655436237,1807.0890143172355,0.050839562
A81007,3432.272392248011,407.9314840933454,-0.98536164
A81008,1493.2360085889325,-295.18655166894337,-1.1398108
A81009,3522.7896073288825,-531.8209750321556,-1.1398108
A81011,5213.676386261869,875.799963174269,-0.98536164
A81012,2142.17877624247,114.7658229006298,-1.1398108
A81013,2150.2991060678705,704.8181710553446,-0.49811515
A81014,1143.2416320381224,-374.9372511971889,0.050839562
A81015,-718.659890668921,-337.18209009087394,-0.47601643
A81016,4157.229232433035,-37.22739742851672,-1.1398108
A81017,10557.083449524556,437.62928068030357,0.050839562
A81018,5477.224135220285,2524.4013629960327,-0.49811515
A81019,4823.227703672019,383.4116158815906,-1.1398108
A81020,3788.185525657226,303.3764066685022,-1.1398108
A81021,9995.604765076314,985.7697009715389,-1.1398108
A81022,5867.66878277959,-42.691122968801054,-0.49811515
A81023,384.9358848638073,-76.49917390421555,-1.1398108
A81025,87.54537774791396,239.2398961114978,0.050839562
A81026,7558.685971689823,942.3068857636647,-1.1398108
A81027,5351.00243939755,1514.504153576443,0.050839562
A81029,1528.6352051738404,708.0543198054746,-1.1398108
A81030,4617.118802701243,1133.037356921201,-1.1398108
A81031,5021.987496802985,226.39965728938665,-0.98536164
A81032,5618.371970253626,193.7904083441644,-0.49811515
A81033,-294.7616748724924,-382.9858405084668,-1.1398108
A81034,11290.87844452124,974.3571106217402,0.050839562
A81035,3433.9643193945262,21.325620362788637,-1.1398108
A81036,10575.843174200767,32.47641742406001,0.050839562
A81037,2322.9418198733474,145.02493286604505,-1.1398108
A81038,38.52259994475573,489.65512898693794,-1.1398108
A81039,3762.7108866786157,514.7105067829534,0.050839562
A81040,2836.5295252394862,450.4263972064662,0.050839562
A81041,3235.8080850949223,120.31723828305873,-0.98536164
A81042,7146.134386040776,4148.046808280511,-1.1398108
A81043,4340.67264347506,171.2808892426707,-1.1398108
A81044,12991.04935172134,2427.856245168605,-0.98536164
A81045,4456.300658353829,9.693499349544236,-0.49811515
A81046,5737.9194119959175,492.97631081476067,0.050839562
A81047,1583.79562577266,-1736.1692973054758,-0.45762107
A81048,4427.041011649114,2008.927071247514,-0.49811515
A81049,2658.802550199108,490.40192088477625,-1.1398108
A81051,1944.2930091810522,364.02570180808476,-1.1398108
A81052,4603.850901464083,820.0475802829396,-0.49811515
A81053,4384.678367892897,148.2819934825625,-0.49811515
A81054,4457.161302591467,286.91503667173316,-0.49811515
A81056,-858.1631929889339,16.53063113760046,0.050839562
A81057,3220.3769331215,821.4250801304662,0.050839562
A81058,2459.5908418861895,822.7938224815622,-1.1398108
A81060,27.432357092803333,521.944214086175,-0.98536164
A81063,1808.7169670074522,200.76379384564908,-0.98536164
A81064,366.07715339462305,418.9274861275673,-1.1398108
A81065,369.62729327075857,85.08348986253709,-1.1398108
A81066,757.5047752927508,284.6958828514351,0.050839562
A81067,3619.268514176948,679.5579515802071,0.050839562
A81069,-1301.2706795856643,-244.2847057821475,-0.4553117
A81070,60.71124329256592,1708.4782779641685,-0.98536164
A81602,-57.111658926364385,118.13553797364742,0.050839562
A81605,-1995.3969055391713,-603.7868847865977,-0.4553117
A81608,342.95731436534436,1623.3463630892093,0.050839562
A81609,-2004.905047659101,40.57554236025266,0.08508235
A81610,2560.3313345276392,163.3284953985679,0.050839562
A81611,918.5886508421803,1134.3871156124187,-1.1398108
A81612,-579.8350932148982,281.9192831622511,-0.98536164
A81613,-1432.6614464739655,-451.3526734432022,-0.9596795
A81618,4287.000986702639,1449.6562769209238,-0.49811515
A81621,-1289.5414015598735,403.1021903480663,-1.1398108
A81622,756.6194998344047,418.2575510576225,-0.98536164
A81623,-2001.4954285406263,87.15576868234572,0.08508236
A81629,705.5012214040223,822.1702201839576,0.050839562
A81630,-2603.0227199040837,82.78654439716568,0.050839562
A81631,1174.3564241879744,617.1568234654536,-0.98536164
A81632,-2712.889838999344,-93.64757079149956,0.055369962
A81633,-2816.651825687533,-8.485288899025477,-1.1398108
A81634,-2603.499171790914,184.08676677213506,0.050839562
A82003,3561.8949547921534,865.8040077608815,-0.85160065
A82004,-818.0659006207673,45.1011907552801,0.6993124
A82005,655.3639822718205,679.769746979402,1.4180545
A82006,776.5216123509024,290.2050992974892,0.6993124
A82007,3787.1993634574915,443.3119994801999,-0.85160065
A82008,5828.998783887729,-48.70572927462006,-0.85160065
A82009,5792.928349942164,45.6976307646933,-0.85160065
A82010,2015.7561973175168,64.59808009438112,-0.85160065
A82011,-887.8010454348148,-78.37194634213989,-0.85160065
A82012,11700.12146055349,1085.0124505142535,-0.077927604
A82013,2553.9182251531943,524.5302531545037,0.6993124
A82014,1458.4004727608558,502.102794420634,-0.06758343
A82015,477.21964866008335,9.126962729888055,-0.077927604
A82016,14820.089300984577,8122.774424482434,-0.077927604
A82017,4714.437510950115,-269.55997947452016,-0.095049
A82018,2952.3887007019257,431.91210315691933,-0.077927604
A82019,2332.179862219698,192.4813457227271,-0.077927604
A82020,4552.793284196798,776.3630534182564,-0.077927604
A82021,8762.636645749237,3966.1604523149517,-0.06758343
A82022,1826.896850587612,-141.3950077154331,-0.077927604
A82023,1810.9972920630576,804.4207190997452,-0.59263957
A82024,2276.5186327437173,-385.00938734232113,-0.59263957
A82025,2743.1346351730404,336.7796314765713,1.4180545
A82026,8899.97207786739,529.8977292786457,1.4180545
A82027,5658.253406345884,-802.6346124892681,1.4180545
A82028,2979.4696183913156,982.6070777473763,-0.06758343
A82029,-16.498141293110546,567.0689382354573,-0.06758343
A82030,2480.0864474405284,283.31374919259275,0.023373986
A82031,-303.2971091236698,286.6702081654809,0.6993124
A82032,9405.800746934849,419.0889789215029,-0.06758343
A82033,3082.2010080120176,609.7233684925119,-0.85160065
A82034,2667.9984794255497,18.371260450696255,1.4180545
A82035,5014.67926635499,249.10685331888507,0.6993124
A82036,3133.821914609475,-36.5898277371641,0.6993124
A82037,1210.120490755621,-10.09383018167161,-0.06758343
A82038,63.47181799764332,189.29337855724992,0.6993124
A82039,2798.282584393854,206.95154182348244,-0.85160065
A82040,-679.8274488345425,-709.2348673391904,-0.63544303
A82041,6378.591283368366,652.3305881559825,-0.59263957
A82044,17888.959261982898,3851.5501936341766,-0.59263957
A82045,3879.270678869883,1037.5213212325068,-0.06758343
