,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-280.8750408416704,206.67409388421422,0.050839562
A81002,11830.95352783886,1190.927099793782,0.050839562
A81003,652.3283830589198,213.493668066983,-0.9596795
A81004,3403.48922830531,1061.1355730549044,0.050839562
A81005,4000.513661899139,171.93826732090412,-0.49811515
A81006,8408.507657293621,1807.8317511638054,0.050839562
A81007,3434.263752219677,409.2876754803972,-0.98536164
A81008,1493.8747204545896,-292.699320431062,-1.1398108
A81009,3524.052564707029,-528.8279111943315,-1.1398108
A81011,5215.6683008831615,877.1571522595171,-0.98536164
A81012,2143.442072643158,117.75939504858702,-1.1398108
A81013,2151.9812231390883,704.8882645314957,-0.49811515
A81014,1146.0971634920027,-374.1989304912831,0.050839562
A81015,-715.7730075532933,-335.5448439040405,-0.47601643
A81016,4158.492637209899,-34.233561794325034,-1.1398108
A81017,10559.910031313811,438.1541531284782,0.050839562
A81018,5479.633092135563,2525.5513566141403,-0.49811515
A81019,4824.491503023121,386.40613655023924,-1.1398108
A81020,3789.449148879584,306.3705912201988,-1.1398108
A81021,9996.869598792226,988.7661583270092,-1.1398108
A81022,5869.343030233371,-42.702727465463255,-0.49811515
A81023,386.1988400439478,-73.50624273079242,-1.1398108
A81025,90.40125968231357,239.97875757936708,0.050839562
A81026,7559.950501176798,945.3027358572359,-1.1398108
A81027,5353.759244280399,1514.8504435129016,0.050839562
A81029,1529.8988853304395,711.0485063566201,-1.1398108
A81030,4618.383150247282,1136.0327828226773,-1.1398108
A81031,5023.978895334424,227.755978296209,-0.98536164
A81032,5620.611122111183,194.34023645087674,-0.49811515
A81033,-293.00029282429466,-379.49178316724726,-1.1398108
A81034,11293.705516871454,974.8828308805935,0.050839562
A81035,3435.2276883200734,24.319366500550025,-1.1398108
A81036,10578.700065456707,33.21739239193674,0.050839562
A81037,2324.205159435757,148.01858438958342,-1.1398108
A81038,39.785947927727506,492.6487006236282,-1.1398108
A81039,3765.5367713013666,515.2339378886436,0.050839562
A81040,2839.3858739067937,451.16614961982566,0.050839562
A81041,3237.799204081257,121.67301993011891,-0.98536164
A81042,7147.4013120271065,4151.046635779495,-1.1398108
A81043,4341.93622751868,174.2750312128137,-1.1398108
A81044,12993.043314078943,2429.2171670787106,-0.98536164
A81045,4458.707585785491,10.84006833724972,-0.49811515
A81046,5740.7761158632675,493.7167745530641,0.050839562
A81047,1585.9973701690653,-1735.645315235657,-0.45762107
A81048,4428.716661920042,2008.9177456692432,-0.49811515
A81049,2660.0661902639704,493.3960870788252,-1.1398108
A81051,1946.0727876551102,365.513211986038,-1.1398108
A81052,4606.258462705102,821.1952117400456,-0.49811515
A81053,4386.360309528363,148.35188641658485,-0.49811515
A81054,4459.568441324355,288.06195788862357,-0.49811515
A81056,-855.3075859458371,17.268995549317232,0.050839562
A81057,3223.2336071505097,822.1653906216181,0.050839562
A81058,2461.338023840573,824.7187960064317,-1.1398108
A81060,29.42342513234287,523.2997789078942,-0.98536164
A81063,1810.7079885191606,202.11935435033558,-0.98536164
A81064,367.3404839326399,421.9210421550269,-1.1398108
A81065,370.8903698544152,88.07662275650183,-1.1398108
A81066,760.1422113197485,284.8274768757625,0.050839562
A81067,3622.125124495406,680.2981722851026,0.050839562
A81069,-1298.658710154473,-242.78141796036377,-0.4553117
A81070,62.70321903161785,1709.835357066422,-0.98536164
A81602,-54.25588535258595,118.87421288377435,0.050839562
A81605,-1991.7369926315603,-601.4750337118254,-0.4553117
A81608,345.8142792396245,1624.0870400515096,0.050839562
A81609,-2001.7154215953392,41.65517694224819,0.08508235
A81610,2563.1874337311,164.06782066422556,0.050839562
A81611,920.3358987504537,1136.3121357142556,-1.1398108
A81612,-577.8442756065216,283.2744056110635,-0.98536164
A81613,-1430.7964982011254,-450.0351493218967,-0.9596795
A81618,4288.676195299319,1449.6462094178366,-0.49811515
A81621,-1288.2782672704243,406.09535120888,-1.1398108
A81622,758.6105700014024,419.6131494040818,-0.98536164
A81623,-1998.5853973006156,88.00943623042448,0.08508236
A81629,708.3576162112748,822.9099618905963,0.050839562
A81630,-2600.1672565010826,83.52459765754945,0.050839562
A81631,1176.3476923662608,618.5127690234956,-0.98536164
A81632,-2710.0383761843764,-92.91272811572958,0.055369962
A81633,-2815.3891748762667,-5.492996658180851,-1.1398108
A81634,-2600.6436312627075,184.82494856239708,0.050839562
A82003,3563.973787648777,866.6878749081905,-0.85160065
A82004,-815.799025223483,44.529446411741354,0.6993124
A82005,657.0993430071632,678.9866975805837,1.4180545
A82006,778.8734084032315,289.4774310894979,0.6993124
A82007,3789.3196547163207,444.2435296941896,-0.85160065
A82008,5831.118927449391,-47.77436129954653,-0.85160065
A82009,5795.048561406746,46.62911044695411,-0.85160065
A82010,2017.8760029620296,65.52872808158008,-0.85160065
A82011,-883.9117931378768,-75.91903106331006,-0.85160065
A82012,11702.76696514893,1084.678428647491,-0.077927604
A82013,2556.035726722508,523.5799283115033,0.6993124
A82014,1460.8605821450276,502.0283997469316,-0.06758343
A82015,480.28394062386184,9.301672454766143,-0.077927604
A82016,14823.161370263342,8122.962686760411,-0.077927604
A82017,4717.537265705504,-269.24552809197525,-0.095049
A82018,2955.4535901488334,432.0879104983481,-0.077927604
A82019,2335.244500247655,192.65670851388214,-0.077927604
A82020,4555.726096259212,776.4582520035191,-0.077927604
A82021,8764.775276100974,3966.2641473687067,-0.06758343
A82022,1829.5723578692482,-141.5760110388612,-0.077927604
A82023,1813.1185767203795,804.8692237127258,-0.59263957
A82024,2278.681927558713,-384.315015454742,-0.59263957
A82025,2746.4586864036537,336.7443596036887,1.4180545
A82026,8903.296961197935,529.8640974360761,1.4180545
A82027,5661.576913788502,-802.6706708651154,1.4180545
A82028,2981.7801082643764,982.3208980855178,-0.06758343
A82029,-13.862597123148118,567.1385373530499,-0.06758343
A82030,2482.7017726817144,283.6597665219501,0.023373986
A82031,-300.92894079339834,285.88544310487225,0.6993124
A82032,9407.961236176005,419.4050804428716,-0.06758343
A82033,3084.304246416289,610.4696349757597,-0.85160065
A82034,2670.314164989518,18.11933838337892,1.4180545
A82035,5017.1644435263615,248.39113810643858,0.6993124
A82036,3136.3066648624904,-37.306331843990435,0.6993124
A82037,1212.3560966986383,-10.165652852002271,-0.06758343
A82038,65.95172142542533,188.6179974873166,0.6993124
A82039,2800.3434520128067,207.89330169699096,-0.85160065
A82040,-677.4235421287405,-708.5630590296254,-0.63544303
A82041,6380.656749111765,652.6123109015784,-0.59263957
A82044,17891.07638114987,3852.148417174039,-0.59263957
A82045,3881.904537722427,1037.420355415179,-0.06758343
A82046,227.95158792739656,-581.8357076800497,1.4180545
A82047,5467.897734017502,567.7151168249799,-0.59263957
