,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-286.22687654548395,204.43934809555873,0.050839562
A81002,11825.596735907044,1188.6837474954093,0.050839562
A81003,646.7301398721428,210.54306817222556,-0.9596795
A81004,3398.0418126164905,1059.580097770687,0.050839562
A81005,3994.8652658822953,170.17510671491476,-0.49811515
A81006,8403.147519766157,1805.5816025461982,0.050839562
A81007,3429.6131336059207,407.17659203617046,-0.98536164
A81008,1491.1750526662877,-296.132600181595,-1.1398108
A81009,3521.260964579314,-532.2568492955266,-1.1398108
A81011,5211.015239965387,875.0414715520245,-0.98536164
A81012,2140.647013862566,114.32361449269101,-1.1398108
A81013,2145.6611274398037,703.2496235209904,-0.49811515
A81014,1140.7484389843999,-376.42750547830013,0.050839562
A81015,-721.6966064114135,-338.5082543193861,-0.47601643
A81016,4155.698428157063,-37.66751870891348,-1.1398108
A81017,10554.466074530297,436.606012126437,0.050839562
A81018,5474.448125233022,2523.322079920087,-0.49811515
A81019,4821.695077897303,382.9679273582445,-1.1398108
A81020,3786.6531256836556,302.93307549064735,-1.1398108
A81021,9994.070091821104,985.3223968360187,-1.1398108
A81022,5863.075749168436,-44.10793335239252,-0.49811515
A81023,383.4047573364282,-76.94027490396662,-1.1398108
A81025,85.04925543481829,237.74371565980448,0.050839562
A81026,7557.15117177988,941.8591123011855,-1.1398108
A81027,5347.948165212317,1513.4145593728229,0.050839562
A81029,1527.1006671778175,707.6065305250677,-1.1398108
A81030,4615.5827455791305,1132.586818281893,-1.1398108
A81031,5019.329273848994,225.64696891411697,-0.98536164
A81032,5614.962642482595,192.57705109303438,-0.49811515
A81033,-296.8658313627571,-384.02283458246626,-1.1398108
A81034,11288.258729873016,973.3292492792868,0.050839562
A81035,3432.4331530718405,20.88471380305291,-1.1398108
A81036,10573.349385345802,30.985817390860344,0.050839562
A81037,2321.409944124268,144.5825148526236,-1.1398108
A81038,36.98885553354553,489.20878694843833,-1.1398108
A81039,3760.092258242148,513.6841372726649,0.050839562
A81040,2834.0328094803053,448.9292801531067,0.050839562
A81041,3233.150106346251,119.56487696209093,-0.98536164
A81042,7144.584974477543,4147.569906513131,-1.1398108
A81043,4339.140916791705,170.8389477980117,-1.1398108
A81044,12988.382191887675,2427.086473677524,-0.98536164
A81045,4453.535931538496,8.636589909445863,-0.49811515
A81046,5735.422888801872,491.4798356883013,0.050839562
A81047,1578.7799856289932,-1737.9949564567298,-0.45762107
A81048,4422.438470390205,2007.491202930145,-0.49811515
A81049,2657.269150802945,489.95649923961815,-1.1398108
A81051,1942.3937191817704,363.0354791371168,-1.1398108
A81052,4601.082514568115,818.98339683327,-0.49811515
A81053,4380.04321350873,146.71926805896945,-0.49811515
A81054,4454.395317067286,285.85562124230523,-0.49811515
A81056,-860.6584297577768,15.036129523146899,0.050839562
A81057,3217.878583749771,819.9247447848909,0.050839562
A81058,2457.799284585626,821.2751426189551,-1.1398108
A81060,24.772128012721442,521.1870865182069,-0.98536164
A81063,1806.0584332105773,200.0102002728999,-0.98536164
A81064,364.54377370038276,418.4818994208146,-1.1398108
A81065,368.09542998535005,84.64092261585428,-1.1398108
A81066,754.6767746195823,283.97446017866145,0.050839562
A81067,3616.770862039477,678.0590399627597,0.050839562
A81069,-1303.7548668753375,-245.09407739744745,-0.4553117
A81070,58.04563075843515,1707.7104349999647,-0.98536164
A81602,-59.607250556873815,116.64040121290554,0.050839562
A81605,-1998.0857487476449,-604.7379992617809,-0.4553117
A81608,340.45494098931465,1621.8377596348698,0.050839562
A81609,-2007.6382537807428,38.88655953296516,0.08508235
A81610,2557.8358857134785,161.83387620049834,0.050839562
A81611,916.7954737404052,1132.8650734495554,-1.1398108
A81612,-582.4943131230136,281.16411073028024,-0.98536164
A81613,-1435.480485492715,-452.2278466243165,-0.9596795
A81618,4282.400966393869,1448.2254152869211,-0.49811515
A81621,-1291.074929533913,402.6561608993612,-1.1398108
A81622,753.9598385369786,417.50161890746904,-0.98536164
A81623,-2004.320258505127,85.39347905844583,0.08508236
A81629,703.0025342566532,820.6689882523241,0.050839562
A81630,-2605.518489537434,81.29082638757681,0.050839562
A81631,1171.695915263255,616.3992409241961,-0.98536164
A81632,-2715.3029666363977,-95.05442078827822,0.055369962
