,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-286.58558213040874,203.99785596686786,0.050839562
A81002,11825.234764058447,1188.2346886105327,0.050839562
A81003,645.6739520156361,209.98194813756285,-0.9596795
A81004,3397.435124955554,1058.3728627675716,0.050839562
A81005,3994.2296281503804,169.4643339191119,-0.49811515
A81006,8402.785730064395,1805.1337212738708,0.050839562
A81007,3428.972929475548,407.0984540770528,-0.98536164
A81008,1490.1580320681346,-296.43664711502043,-1.1398108
A81009,3520.240053807891,-532.5420109528602,-1.1398108
A81011,5210.374288003826,874.9618739235718,-0.98536164
A81012,2139.625847375705,114.03850104580367,-1.1398108
A81013,2145.216635373634,703.4140488808684,-0.49811515
A81014,1140.3899253390414,-376.8691412619692,0.050839562
A81015,-722.7102994356948,-339.52803928558404,-0.47601643
A81016,4154.676979598901,-37.95355218849334,-1.1398108
A81017,10553.858453917896,435.3955989069212,0.050839562
A81018,5473.727986430847,2522.6213647309983,-0.49811515
A81019,4820.673146370451,382.68108445910684,-1.1398108
A81020,3785.631469908475,302.64687485064354,-1.1398108
A81021,9993.046614760307,985.0321271842552,-1.1398108
A81022,5862.734355761045,-44.085802156203876,-0.49811515
A81023,382.3841048486739,-77.2242385166084,-1.1398108
A81025,84.69044713221022,237.30198821689814,0.050839562
A81026,7556.12822396413,941.5701992107859,-1.1398108
A81027,5347.420141017685,1512.5886110212236,0.050839562
A81029,1526.0791338215574,707.3211101656143,-1.1398108
A81030,4614.560235317611,1132.2992816829694,-1.1398108
A81031,5018.688898190684,225.5681712533598,-0.98536164
A81032,5614.326658273291,191.86538340461297,-0.49811515
A81033,-297.88228723779804,-384.2999107897521,-1.1398108
A81034,11287.650516502279,972.117865614413,0.050839562
A81035,3431.411802448408,20.59900626149977,-1.1398108
A81036,10572.988625183954,30.538674067308353,0.050839562
A81037,2320.388716002177,144.29727176630192,-1.1398108
A81038,35.96780456615172,488.9244019530899,-1.1398108
A81039,3759.485949131189,512.4772935123368,0.050839562
A81040,2833.673269944121,448.4858484053137,0.050839562
A81041,3232.5101800393863,119.4871532729343,-0.98536164
A81042,7143.5594568139095,4147.277774818035,-1.1398108
A81043,4338.119258513522,170.55259194236575,-1.1398108
A81044,12987.738381050978,2427.00102982797,-0.98536164
A81045,4452.818080779539,7.939122253111837,-0.49811515
A81046,5735.062726763931,491.0347986921119,0.050839562
A81047,1578.6824064479729,-1737.7567816036333,-0.45762107
A81048,4422.095670491915,2007.5119067345533,-0.49811515
A81049,2656.2475688319005,489.6707049632263,-1.1398108
A81051,1941.2504640115228,362.93172817748615,-1.1398108
A81052,4600.3639632230115,818.2849802015986,-0.49811515
A81053,4379.59872980685,146.88308964067437,-0.49811515
A81054,4453.677236679471,285.1578556122219,-0.49811515
A81056,-861.0168623008641,14.595149436133863,0.050839562
A81057,3217.5186594458132,819.4807085559892,0.050839562
A81058,2456.4332923041943,821.2678744955452,-1.1398108
A81060,24.132518707416722,521.1106564061677,-0.98536164
A81063,1805.418729182001,199.93315735368932,-0.98536164
A81064,363.5227149716709,418.19741425914225,-1.1398108
A81065,367.0746468558213,84.35679382332101,-1.1398108
A81066,753.8359650033443,283.0642184281205,0.050839562
A81067,3616.410974417818,677.6149415680575,0.050839562
A81069,-1304.0119201215168,-245.54069398335264,-0.4553117
A81070,57.40503263784778,1707.6327136248462,-0.98536164
A81602,-59.965929342039246,116.19888149533958,0.050839562
A81605,-1998.9684866171813,-605.6814835187583,-0.4553117
A81608,340.0949353793093,1621.3944094931464,0.050839562
A81609,-2007.9967143324643,38.341126927811345,0.08508235
A81610,2557.4766397108824,161.39090102761176,0.050839562
A81611,915.4295354784161,1132.8582992627796,-1.1398108
A81612,-583.1336008424487,281.08826463482114,-0.98536164
A81613,-1436.4932934281771,-452.7502050134702,-0.9596795
A81618,4282.058657741099,1448.2467945696992,-0.49811515
A81621,-1292.0956400412153,402.3725826661703,-1.1398108
A81622,753.3201674528203,417.4249081106314,-0.98536164
A81623,-2004.2250715924908,85.21028500637425,0.08508236
A81629,702.6431183863172,820.2263030454161,0.050839562
A81630,-2605.8766237303344,80.85071311048426,0.050839562
A81631,1171.0559949957092,616.3220921246709,-0.98536164
A81632,-2716.032051312326,-95.89003740343351,0.055369962
A81633,-2819.203748489171,-9.210453282238202,-1.1398108
A81634,-2606.3536194197923,182.1499110274773,0.050839562
A82003,3556.4629505424527,865.3104126858735,-0.85160065
A82004,-825.9942510619255,43.465002486736,0.6993124
A82005,648.7359807535528,678.4303970504217,1.4180545
A82006,769.4816894181885,288.7149787119739,0.6993124
A82007,3782.0842961573394,442.6057145373739,-0.85160065
A82008,5823.88621620647,-49.407413044390594,-0.85160065
A82009,5787.815277953563,44.99499882958035,-0.85160065
A82010,2010.6432861852077,63.89595085191033,-0.85160065
A82011,-891.0152478518277,-77.48551764689877,-0.85160065
A82012,11693.344316870533,1083.7173512734844,-0.077927604
A82013,2546.593503340848,522.5362279109792,0.6993124
A82014,1451.3934147029881,500.44775265280504,-0.06758343
A82015,471.79872642605557,7.841562829302932,-0.077927604
A82016,14814.623824200464,8121.404328833931,-0.077927604
A82017,4709.333228409727,-270.53715205303376,-0.095049
A82018,2946.965336829185,430.6219725504972,-0.077927604
A82019,2326.757826812304,191.19375063652174,-0.077927604
A82020,4547.060053531882,774.8526049696952,-0.077927604
A82021,8756.290319174033,3965.204280943627,-0.06758343
A82022,1820.7068493454915,-143.03278254540064,-0.077927604
A82023,1804.600810818907,803.257011351681,-0.59263957
A82024,2270.830451651709,-385.4866290336282,-0.59263957
A82025,2737.929080550592,335.5331919316537,1.4180545
A82026,8894.765058889858,528.6482055615163,1.4180545
A82027,5653.053766259377,-803.8700635510235,1.4180545
A82028,2972.392155868018,981.0200168633868,-0.06758343
A82029,-22.459378836256587,566.0629346167844,-0.06758343
A82030,2474.882883711295,282.1264086069544,0.023373986
A82031,-309.48750337827744,285.41262901750565,0.6993124
A82032,9399.434807054944,418.2353906013161,-0.06758343
A82033,3076.6995131252775,609.1850858004997,-0.85160065
A82034,2662.870014968057,16.85280545649839,1.4180545
A82035,5008.273607623225,247.8346667393591,0.6993124
A82036,3127.417920277861,-37.85877928909287,0.6993124
A82037,1203.742300936714,-10.789055213606229,-0.06758343
A82038,57.03830138756497,188.12998396415074,0.6993124
A82039,2792.830066379365,206.5107632050118,-0.85160065
A82040,-685.4641430091536,-709.3556875705397,-0.63544303
A82041,6372.299734928848,651.6443842111522,-0.59263957
A82044,17882.90682902271,3850.838903130019,-0.59263957
A82045,3872.9853603310694,1036.0555025349875,-0.06758343
A82046,219.9568928950031,-582.1579469842443,1.4180545
A82047,5459.849216310998,566.9334294252155,-0.59263957
A82048,1813.168268902546,56.898403519999086,-0.59263957
A82049,939.6849372835326,590.1975263906326,-0.59263957
A82050,2893.872080298062,637.8835666098599,-0.59263957
A82052,511.72852741331644,20.586906364323053,-0.095049
A82053,1503.3533732320186,209.66609029918394,1.4180545
A82055,3279.174699785557,846.977549501461,-0.06758343
A82057,1680.2795810676607,76.91465982050894,-0.05902273
A82058,740.3590439096384,534.918759156767,-0.59263957
A82060,-244.88920715086837,765.3766990269032,-0.60942405
A82062,285.7432868248623,575.8551603713377,-0.85160065
A82063,-2154.916564918469,-797.7182781806041,-0.059022725
A82064,1990.1716154457,209.8188368858786,-0.59263957
A82065,581.3018684596841,3.0304125200975425,1.4180545
A82068,-578.9441804647892,0.913127858345974,-0.85160065
A82070,1193.7043893808745,228.09741961302493,1.4180545
A82071,1447.9141004828505,128.9712655413049,-0.85160065
A82072,3500.9170126738954,1417.003604553883,-0.85160065
A82074,-1118.2701727187336,-425.1766212643324,1.4180543
A82075,2390.9747098674875,998.4510734956597,-0.59263957
A82077,642.4943314696121,52.02735106229859,-0.85160065
A82608,-159.17067539526667,-295.10224917084577,1.4180545
A82613,-2400.8353907835203,-15.076162034547096,-0.85160065
A82617,-1023.1679209839745,156.2748486891105,0.6993124
A82619,-2277.1543419249892,-156.2433595897463,-0.85160065
A82620,-2588.262103276603,56.01933745706842,1.4180545
A82621,-1447.2505227910287,-95.96551160482221,-0.85160065
A82623,1232.2653597517399,-292.3441556994809,-0.59263957
A82629,-3.337264984884342,261.0518981408462,-0.85160065
A82631,-274.4242075941585,186.63993955759656,-0.077927604
A82635,-2148.3578225378615,-370.9730513989192,-0.095049
A82641,-2314.608163258389,-437.3699624706328,-0.095049
A82642,-2179.331431274167,53.004327793000236,1.4180543
A82646,511.9438490182186,266.312386363482,-0.077927604
A82647,-693.8831152536219,236.43640160096757,1.4180545
A82650,-848.338550708941,160.2479957968788,-0.85160065
A82651,-621.1368511492726,-25.098147535870392,-0.85160065
A82654,2087.183732749596,1818.7561581854634,-0.077927604
A83001,6591.430065217,871.3450575257172,-0.029773677
A83003,5692.79323036108,1040.7579212826306,-0.46208888
A83004,1691.3338171894923,573.7011809203659,-0.9313731
A83005,6055.207530144758,45.6727201047787,-0.029773677
A83006,1761.6333829512325,450.83764604567756,-0.029773677
A83007,8233.418440947069,1450.09709999567,-0.98536164
A83008,3292.726722073092,55.212870201261936,-0.029773677
A83009,4105.291390401735,354.7973017860162,-0.51523656
A83010,7289.928002896928,654.1667114642682,-0.029773677
A83011,3844.8476945975476,188.95953207625797,-0.9322139
A83012,15279.641729911948,2294.862430557041,-0.98536164
A83013,5539.8011376114955,1177.176774924155,-0.029773677
A83014,2860.606840831623,-591.5646019169208,-0.9322139
A83015,6158.574408690914,610.2333365608974,-0.029773677
A83016,9480.355072900724,1237.1622679640482,-0.51523656
A83017,4012.041676399499,550.4921916504014,-0.9310813
A83018,17615.1333477444,3472.5802915687136,-0.51523656
A83019,1445.3854357007256,-192.33176623014978,-0.93078333
A83020,8646.645525973849,1099.9627999793586,-0.46208888
A83021,11628.92168783897,1388.1545515387247,-0.029773677
A83022,17940.789692232123,2084.548900110817,-0.51523656
A83023,9481.132886084815,3016.6043554015832,-0.51523656
A83024,2364.1383630179,529.1206027180988,-0.9322139
