,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-280.8899192032827,206.80877910803332,0.050839562
A81002,11830.939796540804,1191.064183859467,0.050839562
A81003,652.6620772963846,213.12396986076288,-0.9596795
A81004,3403.5248237944866,1061.3260802482334,0.050839562
A81005,4000.893127059865,171.84260106952826,-0.49811515
A81006,8408.49455896774,1807.9699574480353,0.050839562
A81007,3434.8865841440834,409.1561919224666,-0.98536164
A81008,1496.6218337136427,-292.2906485726361,-1.1398108
A81009,3525.6417752039088,-529.4646602087737,-1.1398108
A81011,5216.291647036204,877.0266713481767,-0.98536164
A81012,2145.0319637999273,117.12389864199584,-1.1398108
A81013,2152.2889990275607,704.7451021422896,-0.49811515
A81014,1146.081675109036,-374.0653641061445,0.050839562
A81015,-715.4446465228086,-335.69655330489877,-0.47601643
A81016,4160.082381560675,-34.869294123021426,-1.1398108
A81017,10559.945016470165,438.3436551558677,0.050839562
A81018,5480.048484384872,2525.489913626625,-0.49811515
A81019,4826.081702383829,385.7712732626981,-1.1398108
A81020,3791.039254574812,305.73553113204406,-1.1398108
A81021,9998.460482655086,988.1326855694737,-1.1398108
A81022,5869.665642518315,-42.83232674142209,-0.49811515
A81023,387.7885129508196,-74.14218464609617,-1.1398108
A81025,90.38641983344797,240.11352263908518,0.050839562
A81026,7561.541319555319,944.6690913193813,-1.1398108
A81027,5353.870393280292,1515.09902249768,0.050839562
A81029,1531.4894061331179,710.4141819214725,-1.1398108
A81030,4619.974149615028,1135.3994200360803,-1.1398108
A81031,5024.601545545731,227.62418468279049,-0.98536164
A81032,5620.99062387277,194.24467134377608,-0.49811515
A81033,-291.3513002475413,-380.0661243402108,-1.1398108
A81034,11293.741081710774,975.0734377732673,0.050839562
A81035,3436.8174896360747,23.683726891830332,-1.1398108
A81036,10578.68508637112,33.35210473501733,0.050839562
A81037,2325.7950843604563,147.38315509794256,-1.1398108
A81038,41.376223551659095,492.0138853566445,-1.1398108
A81039,3765.5717858537005,515.4233597081072,0.050839562
A81040,2839.371281349115,451.30143458958617,0.050839562
A81041,3238.4217269106225,121.54095112453365,-0.98536164
A81042,7148.99555525854,4150.419424297593,-1.1398108
A81043,4343.5261962725135,173.63972458440313,-1.1398108
A81044,12993.668380646583,2429.090076908294,-0.98536164
A81045,4459.120280937982,10.773532456849301,-0.49811515
A81046,5740.761591457373,493.8522455502905,0.050839562
A81047,1586.417973577085,-1735.6866274006077,-0.45762107
A81048,4429.041456877645,2008.7922227030645,-0.49811515
A81049,2661.6564871416263,492.7613640327409,-1.1398108
A81051,1947.1506226453948,365.2949285844308,-1.1398108
A81052,4606.672025563289,821.1303107405553,-0.49811515
A81053,4386.667507721531,148.20768208756897,-0.49811515
A81054,4459.981432938445,287.9959795828711,-0.49811515
A81056,-855.3226713319733,17.403279957167857,0.050839562
A81057,3223.21941431859,822.3014350281836,0.050839562
A81058,2462.911098906963,824.0510500840224,-1.1398108
A81060,30.046352399277563,523.1684067692061,-0.98536164
A81063,1811.3305862365858,201.98739792954433,-0.98536164
A81064,368.93068648078633,421.2860959821543,-1.1398108
A81065,372.48021543166095,87.4410052840573,-1.1398108
A81066,760.276448474173,285.0387952899322,0.050839562
A81067,3622.110783073893,680.4339451812284,0.050839562
A81069,-1298.3248553630162,-242.92416501823075,-0.4553117
A81070,63.327415387094966,1709.7063724209643,-0.98536164
A81602,-54.27085583461375,119.00872937176798,0.050839562
A81605,-1991.5943934562813,-601.7720515004759,-0.4553117
A81608,345.80092148881255,1624.2245976499887,0.050839562
A81609,-2001.6654051013218,41.83997867959587,0.08508235
A81610,2563.1725320085666,164.2025186643079,0.050839562
A81611,921.9092949911818,1135.6449631116363,-1.1398108
A81612,-577.2216097518775,283.1425297128792,-0.98536164
A81613,-1430.1440997835837,-450.14540279924506,-0.9596795
A81618,4289.000391098634,1449.5195568048846,-0.49811515
A81621,-1286.6880945686046,405.4603158879198,-1.1398108
A81622,759.2333920821499,419.48159397795416,-0.98536164
A81623,-1998.4008096552266,88.30274712992662,0.08508236
A81629,708.3434045471764,823.0459207265528,0.050839562
A81630,-2600.1822846578316,83.65895490805443,0.050839562
A81631,1176.9707304031642,618.3816280837511,-0.98536164
A81632,-2710.019224950643,-92.74270946155548,0.055369962
A81633,-2813.7994542304905,-6.128912629659009,-1.1398108
A81634,-2600.658551095855,184.959509530197,0.050839562
A82003,3564.2648566475273,866.5138149709672,-0.85160065
A82004,-815.1884739334369,44.85702539145267,0.6993124
A82005,658.103220383837,679.8241679453331,1.4180545
A82006,779.4117331898935,289.9814673017879,0.6993124
A82007,3789.6262213730292,444.0388606035305,-0.85160065
A82008,5831.424983903192,-47.97994923874331,-0.85160065
A82009,5795.354718531227,46.42371112187844,-0.85160065
A82010,2018.1821508122052,65.32323599625563,-0.85160065
A82011,-883.3832674155749,-75.96836819686202,-0.85160065
A82012,11703.21001995221,1084.819280632133,-0.077927604
A82013,2556.706808354889,524.2673055483577,0.6993124
A82014,1461.3003734202227,502.13475814350886,-0.06758343
A82015,480.5546799506363,9.339429473910323,-0.077927604
A82016,14823.440897949538,8123.017258413098,-0.077927604
A82017,4717.784172233945,-269.24515161821125,-0.095049
A82018,2955.7248009038485,432.1266035118034,-0.077927604
A82019,2335.5154501266093,192.69489851505003,-0.077927604
A82020,4556.072071020455,776.538088780931,-0.077927604
A82021,8765.264030382454,3966.313644354355,-0.06758343
A82022,1829.9845579952193,-141.44335909435753,-0.077927604
A82023,1813.5405455590894,804.8315029909128,-0.59263957
A82024,2279.101311772921,-384.3449744689716,-0.59263957
A82025,2746.1319453522365,337.10141823602794,1.4180545
A82026,8902.970474721318,530.2217576258944,1.4180545
A82027,5661.2489770545135,-802.3158028800858,1.4180545
A82028,2982.264492884008,982.4386430008786,-0.06758343
A82029,-13.477699381237507,567.1882078668635,-0.06758343
A82030,2483.022844079396,283.7670892526769,0.023373986
A82031,-300.46239897435726,286.49562481325455,0.6993124
A82032,9408.435733846216,419.39932970442925,-0.06758343
A82033,3084.579850611139,610.2659364952502,-0.85160065
A82034,2670.754836394523,18.65361094246908,1.4180545
A82035,5017.579594374122,248.902932974197,0.6993124
A82036,3136.7214955154973,-36.7951766841502,0.6993124
A82037,1212.8143513608265,-10.097983831286834,-0.06758343
A82038,66.37830677254517,189.15161196907317,0.6993124
A82039,2800.647050583296,207.74326537852036,-0.85160065
A82040,-677.0191403727679,-708.6023724719374,-0.63544303
A82041,6381.046643858156,652.573107074126,-0.59263957
A82044,17891.497776205422,3852.12476940249,-0.59263957
A82045,3882.2924492960838,1037.5014013278287,-0.06758343
A82046,228.96500706054414,-580.8505530185621,1.4180545
A82047,5468.308521456013,567.6883062864371,-0.59263957
A82048,1822.1026315839417,58.4629013909689,-0.59263957
A82049,948.6229749799262,591.7687792974945,-0.59263957
A82050,2902.331412559044,638.6382523463975,-0.59263957
A82052,520.4219304624454,22.078570498010357,-0.095049
A82053,1511.4108366478824,211.4367393389841,1.4180545
A82055,3288.365400289724,848.4028357577088,-0.06758343
A82057,1688.1410196390325,77.14507632844813,-0.05902273
A82058,749.1040507490778,535.8434130136116,-0.59263957
A82060,-235.51929706376916,766.9499787383019,-0.60942405
A82062,293.2855123226435,577.2885359356325,-0.85160065
A82063,-2145.6838233431854,-796.863688033792,-0.059022725
A82064,1998.7333518876776,211.0488610691116,-0.59263957
A82065,589.3576703131857,4.797883457917574,1.4180545
A82068,-571.1492774576243,2.1031117244618023,-0.85160065
A82070,1202.718520827103,229.41610024977206,1.4180545
A82071,1455.3394628562764,130.36290031758188,-0.85160065
A82072,3508.465900411872,1418.449677737158,-0.85160065
A82074,-1110.452800550126,-423.4339736161134,1.4180543
A82075,2399.7233652280233,999.382670733439,-0.59263957
A82077,650.0328527358018,53.453868584621745,-0.85160065
A82608,-149.64134493004323,-293.3974993575833,1.4180545
A82613,-2391.690507512807,-13.755418900067637,-0.85160065
A82617,-1013.2587492118528,157.61268553537468,0.6993124
A82619,-2269.2776063359333,-154.95052231912834,-0.85160065
A82620,-2578.107664301237,57.598645706339205,1.4180545
A82621,-1439.4365156708252,-94.73894740444638,-0.85160065
A82623,1240.7176812786927,-291.602669684927,-0.59263957
A82629,4.202639481358,262.4809282692022,-0.85160065
A82631,-264.99203652384415,188.02042421758293,-0.077927604
A82635,-2140.003022320633,-369.71228485446153,-0.095049
A82641,-2305.8626445902214,-435.81110293661084,-0.095049
A82642,-2169.02149982673,55.23149305398774,1.4180543
A82646,520.8300018812273,267.4552039661544,-0.077927604
A82647,-685.82587329688,238.20643176081165,1.4180545
A82650,-840.4433394554247,161.5391603131104,-0.85160065
A82651,-613.3221780633206,-23.87026654859492,-0.85160065
A82654,2095.953029109991,1820.279000915152,-0.077927604
A83001,6598.178671893528,873.07241520339,-0.029773677
A83003,5700.277849276466,1042.318272122282,-0.46208888
A83004,1698.4339540877145,575.1678315560466,-0.9313731
A83005,6061.458355688658,47.86703763534967,-0.029773677
A83006,1768.0935879520528,453.02880796285984,-0.029773677
A83007,8239.875813756005,1451.5871980618167,-0.98536164
A83008,3298.9420309244956,57.03245680746481,-0.029773677
A83009,4111.943365799785,356.67967140710726,-0.51523656
A83010,7296.390713977117,656.3630563440252,-0.029773677
A83011,3851.7800878968233,190.48020519825513,-0.9322139
A83012,15286.632871823249,2296.2167878852038,-0.98536164
A83013,5546.060012657178,1179.386019825801,-0.029773677
A83014,2867.1832866371037,-590.4571386440482,-0.9322139
A83015,6166.080480999177,611.8826671284527,-0.029773677
A83016,9487.945368413944,1238.6393958417664,-0.51523656
A83017,4019.053221329551,552.1705450353832,-0.9310813
A83018,17622.884286364915,3473.500224547669,-0.51523656
A83019,1452.580293850426,-190.9389846325405,-0.93078333
A83020,8654.13112798438,1101.5252579399778,-0.46208888
A83021,11636.137799130187,1389.6545468595227,-0.029773677
A83022,17947.565841887757,2086.1892397691763,-0.51523656
A83023,9488.735993466373,3018.105319504539,-0.51523656
A83024,2370.7227840032797,530.242856867241,-0.9322139
A83025,11602.64899776813,3655.002862649149,-0.029773677
A83026,5713.277223138247,518.8500387122261,-0.51523656
A83027,1783.222558645641,1313.3072002977433,-0.9322139
A83028,6703.805701081406,992.4715960811162,-0.51523656
A83029,1220.2912675993477,438.96753800897307,-0.9322139
A83030,7319.840658316121,1501.390595791553,-0.51523656
A83031,5503.401212070801,875.3730501599371,-0.029773677
A83032,-6.857646572646312,25.243845633968434,-0.46208888
A83033,5702.756595085294,1042.5664947859975,-0.51523656
A83034,2946.8842343347656,498.8320318860635,-0.029773677
A83035,4653.100015439257,445.71103321633854,-0.46208888
A83036,4126.69443621893,133.50229330954255,-0.9322139
A83037,13617.957033089378,1341.4324025938247,-0.029773677
A83038,1157.5797773252907,-151.88599157828173,-0.51523656
A83040,5954.809763988049,577.8742811341042,-0.029773677
A83041,8363.829316741685,489.39657217352453,-0.9322139
A83042,1642.6173960036358,-415.38839596905586,-0.976307
A83043,433.3120061049518,192.5958619745845,-0.46208888
A83044,3812.693781030109,1380.7584397549422,-0.98536164
A83045,11091.541688962901,1396.2328989372006,-0.029773677
A83046,7020.601195623941,684.3378409818912,-0.46208888
A83047,8609.737933323415,1300.5075211636731,-0.029773677
A83048,2032.0129372613592,469.4912674266717,-0.029773677
A83049,8777.810611820043,1330.4367976912886,-0.51523656
A83050,6489.086693118679,989.0867085437783,-0.51523656
A83051,8921.853298382399,1576.9093077722534,-0.9322139
A83052,6103.292724542701,836.026686445533,-0.029773677
A83054,10171.766269528607,858.811971062098,-0.029773677
A83055,-529.8849163231272,489.45748704077823,-0.9322139
A83057,7174.517154600235,4854.916641860465,-0.98536164
A83060,-479.4349264847451,363.3697741918226,-0.46208888
A83061,-356.0473880946634,162.34764783627324,-0.029773677
A83066,6447.31662195547,2107.3903318147186,-0.029773677
A83068,-1186.6628184630213,-271.9305309965259,-0.9596795
A83070,2326.70010072229,208.0669655491357,-0.029773677
A83071,1347.5684526914329,-99.945989299176,-0.9322139
A83072,360.07563549195936,264.127935515729,-0.51523656
A83073,2517.1833069407926,417.5854091978981,-0.51523656
A83074,7954.361716779689,1009.6852989132619,-0.029773677
