,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-264.3147642394861,212.96123180708275,0.051175278
A81002,11847.660495517152,1199.460282289779,0.051175278
A81003,674.2305340986056,220.7804412691841,-0.9596795
A81004,3421.857055730286,1065.8631081118829,0.051175278
A81005,4024.5606243839084,183.98110306847255,-0.49769554
A81006,8425.126938759966,1813.9382548201968,0.051175278
A81007,3454.5035971588027,414.6803439571738,-0.9851098
A81008,1512.3217557598182,-273.4952992408918,-1.1398108
A81009,3538.118330044033,-496.8490420933824,-1.1398108
A81011,5235.8680052463815,880.7652091646088,-0.9851098
A81012,2156.8962547150236,129.8454622996169,-1.1398108
A81013,2178.9870447395892,712.8780094222312,-0.49769554
A81014,1162.5434967162198,-371.70432590504964,0.051175278
A81015,-694.4988499787718,-324.5396781614879,-0.47578114
A81016,4171.822961384062,-26.507599527263,-1.1398108
A81017,10578.799770345211,458.78266156036784,0.051175278
A81018,5499.490226374858,2524.3048437481184,-0.49769554
A81019,4837.959276227756,398.3576551309294,-1.1398108
A81020,3802.8760582040723,317.2052313353931,-1.1398108
A81021,10010.699459120448,1011.3823716203934,-1.1398108
A81022,5894.640544561541,-32.17295168752083,-0.49769554
A81023,399.35317060193495,-70.8134280348444,-1.1398108
A81025,106.94977279791078,245.80358428650098,0.051175278
A81026,7572.850558368834,938.063826361241,-1.1398108
A81027,5373.401929210123,1523.8458316877104,0.051175278
A81029,1543.1044617403684,714.952816852881,-1.1398108
A81030,4631.702829347192,1142.9552361395345,-1.1398108
A81031,5044.351687963582,237.24922685391164,-0.9851098
A81032,5644.675734803453,206.65395508150115,-0.49769554
A81033,-279.0150712068915,-371.30626409439304,-1.1398108
A81034,11312.418053101323,989.4282642419024,0.051175278
A81035,3448.7756760149528,39.2564849719791,-1.1398108
A81036,10595.539676644305,46.67336962977904,0.051175278
A81037,2337.6492529176976,159.73290111385202,-1.1398108
A81038,53.05433631855259,498.94404469982885,-1.1398108
A81039,3783.945257243472,521.3941910174177,0.051175278
A81040,2856.040642460571,459.88355459626166,0.051175278
A81041,3257.985577964446,125.44975009733524,-0.9851098
A81042,7160.177740513905,4138.833571273577,-1.1398108
A81043,4355.253122885871,181.46318429297511,-1.1398108
A81044,13013.676917837623,2445.051167577345,-0.9851098
A81045,4478.8715426812505,20.584351611309,-0.49769554
A81046,5757.3025105917895,497.7022435451091,0.051175278
A81047,1618.5585817879185,-1707.7015340493417,-0.45759183
A81048,4453.938639074008,2016.5970237646618,-0.49769554
A81049,2673.4463866503747,502.8555746131766,-1.1398108
A81051,1965.8211810976027,371.11229780067026,-1.1398108
A81052,4626.210689838775,823.7513345008593,-0.49769554
A81053,4413.2997636526,153.94432639133606,-0.49769554
A81054,4479.775442761408,299.1214411231647,-0.49769554
A81056,-838.7085355834956,24.986041396898447,0.051175278
A81057,3239.836805997342,829.0129477564459,0.051175278
A81058,2480.3766481332805,833.0913077830911,-1.1398108
A81060,49.54915791635723,525.560761348978,-0.9851098
A81063,1830.7013463153405,199.83923251758677,-0.9851098
A81064,380.70229491207687,431.22478276907566,-1.1398108
A81065,384.2246152981191,96.58704708743377,-1.1398108
A81066,779.444778252029,291.0822895145774,0.051175278
A81067,3638.5877695018303,682.5347931457094,0.051175278
A81069,-1275.3334644691704,-230.04873499355006,-0.45531166
A81070,82.69558128166571,1707.3645072623658,-0.9851098
A81602,-37.645880094812306,126.7690587983988,0.051175278
A81605,-1973.7321373038626,-599.6858187734068,-0.4553117
A81608,362.2683326690658,1626.3451416076605,0.051175278
A81609,-1985.8777115243618,44.34105616103092,0.08508235
A81610,2579.7254261515563,169.11969009042804,0.051175278
A81611,939.2690667687543,1141.4301444653513,-1.1398108
A81612,-557.5546672865672,291.0663824776386,-0.9851098
A81613,-1409.7583124593968,-444.27600814415456,-0.9596794
A81618,4313.906496443613,1457.8003762465582,-0.49769554
A81621,-1275.039904698639,411.68307067386525,-1.1398108
A81622,778.6122427241542,417.72819305732236,-0.9851098
A81623,-1981.9190143861808,92.25695342545598,0.08508235
A81629,724.8257808973303,825.8162533462354,0.051175278
A81630,-2583.689927028434,87.57224479698971,0.051175278
A81631,1196.5758157898886,623.8713534700007,-0.9851098
A81632,-2693.2845383107638,-87.07568520336305,0.055673152
A81633,-2802.1943222966092,-0.9126916662247121,-1.1398108
A81634,-2584.209456971244,187.43340113015753,0.051175278
A82003,3594.458702033868,865.7162101596707,-0.85160065
A82004,-789.4521514895822,50.004928063242915,0.6996481
A82005,679.0478908051984,677.1518424972305,1.4180543
A82006,804.7986966346931,288.96347979199754,0.6996481
A82007,3817.9059006540247,446.9588736835768,-0.85160065
A82008,5860.166159653573,-30.24699907543974,-0.85160065
A82009,5823.878439148785,57.046205522904835,-0.85160065
A82010,2046.6789105368514,75.75401868597693,-0.85160065
A82011,-851.5164759437383,-68.66223405496737,-0.85160065
A82012,11732.954305452127,1089.7386992340864,-0.078095466
A82013,2582.2446796073414,529.6856388176279,0.6996481
A82014,1492.0137142088745,515.379820387867,-0.067499496
A82015,504.77770931394866,11.696337823369564,-0.078095466
A82016,14846.721400681012,8089.699984630422,-0.078095466
A82017,4747.82359811506,-255.43873056997458,-0.095049
A82018,2980.040824328366,436.94115544800803,-0.078095466
A82019,2359.795930556271,196.53255025009244,-0.078095466
A82020,4582.846950484268,780.8004861631005,-0.078095466
A82021,8793.843343335326,3939.473137358514,-0.067499496
A82022,1858.396723669846,-140.50944380198044,-0.078095466
A82023,1843.939113826215,786.6190151634295,-0.5930592
A82024,2309.86477991172,-378.8556731410086,-0.5930592
A82025,2762.8023628522237,357.2348239159747,1.4180543
A82026,8919.515714210112,545.089496219037,1.4180543
A82027,5677.901057050632,-782.9901964639456,1.4180543
A82028,3012.4540888568026,985.2638215612933,-0.067499496
A82029,15.177613257361271,561.8751627575799,-0.067499496
A82030,2508.6652315423667,290.9821655446964,0.02362577
A82031,-277.5924523411346,288.1945811348646,0.6996481
A82032,9437.725977561704,428.96342594606006,-0.067499496
A82033,3115.3105508303665,615.505221731001,-0.85160065
A82034,2688.9840613910496,17.190561523477037,1.4180543
A82035,5039.912153597996,253.97045534893854,0.6996481
A82036,3159.188353886202,-26.922428197889207,0.6996481
A82037,1242.8024860437768,-2.741459469100989,-0.067499496
A82038,90.75150935072519,195.9911337530979,0.6996481
A82039,2831.428599825651,216.09969585516762,-0.85160065
A82040,-642.8893555622279,-702.8323226136874,-0.63544303
A82041,6412.55815565013,656.263218759468,-0.5930592
A82044,17921.671732649942,3803.3659415724132,-0.5930592
A82045,3912.0027763929606,1029.770294207524,-0.067499496
A82046,250.1346938710766,-569.725764200921,1.4180543
A82047,5499.9998183981525,576.1284149257073,-0.5930592
A82048,1853.120640501885,60.658539909961796,-0.5930592
A82049,979.6333150678108,593.7225786368859,-0.5930592
A82050,2933.894593034933,643.3514827774784,-0.5930592
A82052,550.2815395466056,34.38837184464212,-0.095049
A82053,1531.1296544958861,219.7498989530164,1.4180543
A82055,3318.142537591184,837.7223439136725,-0.067499496
A82057,1720.813891290446,85.41382413960541,-0.05902273
A82058,780.5882939221809,539.710602032946,-0.5930592
A82060,-203.25618047797704,768.2410536006753,-0.60971
A82062,321.32903888578016,573.1120031324787,-0.85160065
A82063,-2112.736226361826,-786.5666173069192,-0.05902273
A82064,2030.3866887632562,214.477986351634,-0.5930592
A82065,608.6952311187831,0.9080832219179303,1.4180543
A82068,-540.8047242186806,7.224165587195217,-0.85160065
A82070,1223.7011069064272,234.030918643992,1.4180543
A82071,1483.1248017842245,136.86681044219196,-0.85160065
A82072,3536.870475254252,1425.2157908709794,-0.85160065
A82074,-1091.2642384905032,-418.5399509429314,1.4180543
A82075,2431.2799811086657,1005.1747497764845,-0.5930592
A82077,678.3152612584831,57.14999327495131,-0.85160065
A82608,-128.70128854721824,-289.5251304066958,1.4180543
A82613,-2358.8243460626827,-12.472258994302297,-0.85160065
A82617,-988.4937893055437,156.87735612000697,0.6996481
A82619,-2235.2212144855002,-147.43089860001268,-0.85160065
A82620,-2556.613252502313,58.97048719245098,1.4180543
A82621,-1408.8619811829885,-92.26842592300609,-0.85160065
A82623,1272.3737291060183,-283.2916184722517,-0.5930592
A82629,32.100731219466155,253.7052043496843,-0.85160065
A82631,-236.8939051342379,193.91647182379893,-0.078095466
A82635,-2114.430507590575,-367.4362325616271,-0.095049
A82641,-2277.3355400500222,-427.72323616791294,-0.095049
A82642,-2146.028100851938,58.3314611991662,1.4180543
A82646,548.8056852694942,268.88357567312175,-0.078095466
A82647,-666.3117603330462,240.24049720130543,1.4180543
A82650,-810.2603416119217,160.18253436702867,-0.85160065
A82651,-582.6692318586095,-19.014824611041778,-0.85160065
A82654,2120.075293880505,1818.538072776285,-0.078095466
A83001,6618.460913083626,878.1623530833582,-0.029354034
A83003,5726.42282447061,1046.7948114709322,-0.4616693
A83004,1724.8772337614857,578.2638176323691,-0.93129516
A83005,6081.73571472931,45.212573177673924,-0.029354034
A83006,1790.0037358983056,459.0078612523131,-0.029354034
A83007,8263.459406352455,1465.4440704442648,-0.9851098
A83008,3318.3048003718645,52.39419982687815,-0.029354034
A83009,4130.289748060543,360.67933705272867,-0.5146491
A83010,7318.012257346593,651.8602528237969,-0.029354034
A83011,3874.7576270734417,200.9651891343543,-0.93213
A83012,15313.431944680098,2306.6629654709095,-0.9851098
A83013,5566.722061872441,1189.0464917430584,-0.029354034
A83014,2889.859459731455,-582.5496014783465,-0.93213
A83015,6190.706762667992,622.3032071469249,-0.029354034
A83016,9510.660061495277,1244.3848846275844,-0.5146491
A83017,4044.3394333223455,570.1811285388695,-0.93100554
A83018,17649.86626280046,3504.5434581812133,-0.5146491
A83019,1478.4015726279958,-179.03140846698454,-0.9307099
A83020,8680.543083206492,1114.1481158894353,-0.4616693
A83021,11660.475024721005,1399.461851285433,-0.029354034
A83022,17969.61281047505,2100.606977266709,-0.5146491
A83023,9512.507923539339,3057.8149257936616,-0.5146491
A83024,2393.3287328874103,535.632370448569,-0.93213
A83025,11627.330741144035,3665.367371375066,-0.029354034
A83026,5735.314170579701,531.7482537246153,-0.5146491
A83027,1805.5427872671025,1325.0919849685342,-0.93213
A83028,6722.168522922351,996.3507235166744,-0.5146491
A83029,1242.859361363815,443.3597829006755,-0.93213
A83030,7341.758834731584,1509.841586607511,-0.5146491
A83031,5525.487398156609,886.2864298306189,-0.029354034
A83032,21.63633353621408,30.658558097870873,-0.4616693
A83033,5721.285921988089,1052.0438683251857,-0.5146491
A83034,2968.7767473472495,504.00684859632855,-0.029354034
A83035,4683.91002966745,444.0921218617272,-0.4616693
A83036,4149.4093207436335,135.3891913802276,-0.93213
A83037,13638.051710439606,1358.3995605167215,-0.029354034
A83038,1180.1389863781608,-149.28598377885436,-0.5146491
A83040,5975.4740327740765,587.7035892215556,-0.029354034
A83041,8388.745050404068,498.0521165363725,-0.93213
A83042,1666.384969059205,-415.59987149581826,-0.9761263
A83043,464.93759849595466,199.36229539713148,-0.4616693
A83044,3839.2300439965456,1385.0008982267689,-0.9851098
A83045,11111.986538947578,1405.651535317673,-0.029354034
A83046,7050.960631060366,692.253871775802,-0.4616693
A83047,8631.509853280055,1300.483322596975,-0.029354034
A83048,2052.6965046608284,480.7001474005859,-0.029354034
A83049,8804.006924954492,1338.0963084617406,-0.5146491
A83050,6507.578159011126,997.2006443344782,-0.5146491
A83051,8948.364936212218,1587.6136746851942,-0.93213
A83052,6123.565888598504,840.9219837065183,-0.029354034
A83054,10193.28333082237,868.5872825159308,-0.029354034
A83055,-507.34162734118945,493.3475628603263,-0.93213
A83057,7198.07295881,4836.359127639357,-0.9851098
A83060,-451.0818719757514,364.17988566203564,-0.4616693
A83061,-330.9998410069353,165.04716333259313,-0.029354034
A83066,6466.836593573256,2106.715908658493,-0.029354034
A83068,-1165.770173072881,-280.1841611525288,-0.9596795
A83070,2346.4318818962242,216.6125075451913,-0.029354034
A83071,1372.3275646203847,-94.94236841277637,-0.93213
A83072,386.2461637830239,266.72331617215434,-0.5146491
A83073,2539.923424995091,425.67233547112824,-0.5146491
A83074,7974.323146246879,1023.4411462732221,-0.029354034
A83075,4556.203265553253,738.1901030222558,-0.93213
A83076,-280.9076137869988,-0.9294459754382777,-0.49133795
A83603,-620.4495325125879,220.21189294254853,-0.029354034
A83610,197.0419971761182,434.41887435781985,-0.9851098
A83616,1490.0198393092369,1377.195869309087,-0.93213
A83617,56.68423806782953,220.3622492476415,-0.5146491
