,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-269.2106154438737,210.69263211266414,0.051175278
A81002,11842.762801338291,1197.1966723046512,0.051175278
A81003,668.879849165728,218.78594906478847,-0.9596795
A81004,3415.0876404253936,1063.7179357535545,0.051175278
A81005,4013.9176503881486,181.28597774106836,-0.49769554
A81006,8420.223495359032,1811.6598400621358,0.051175278
A81007,3448.6194544041755,412.2098104568731,-0.9851098
A81008,1515.3763957269243,-275.6034245224877,-1.1398108
A81009,3539.305471819743,-500.6065090026818,-1.1398108
A81011,5229.981338234863,878.2905959336814,-0.9851098
A81012,2158.078417966015,126.07634159014258,-1.1398108
A81013,2165.272928822239,710.773379102323,-0.49769554
A81014,1157.6523481622767,-373.9618275176461,0.051175278
A81015,-701.0482174229487,-326.7411242428398,-0.47578114
A81016,4173.007067512608,-30.271084524528515,-1.1398108
A81017,10572.037619120349,456.6582826254469,0.051175278
A81018,5492.61696790568,2521.760052904188,-0.49769554
A81019,4839.140679535249,394.58888697031864,-1.1398108
A81020,3804.057596881562,313.4359894712974,-1.1398108
A81021,10011.878729624028,1007.6128595410414,-1.1398108
A81022,5882.72760927989,-34.565023227766616,-0.49769554
A81023,400.5360049693379,-74.5824103805056,-1.1398108
A81025,102.05384682597656,243.53509849829751,0.051175278
A81026,7574.029320699064,934.2914318991294,-1.1398108
A81027,5365.516312685046,1522.0821375033076,0.051175278
A81029,1544.2822603641187,711.1739194553852,-1.1398108
A81030,4632.878919484154,1139.1749652535152,-1.1398108
A81031,5038.469457699939,234.78395084781806,-0.9851098
A81032,5634.033281389922,203.96113596615916,-0.49769554
A81033,-277.65410030730357,-374.8944401487581,-1.1398108
A81034,11305.6524848596,987.2971261050221,0.051175278
A81035,3449.9590171641917,35.490832803529194,-1.1398108
A81036,10590.649548998139,44.425001459012066,0.051175278
A81037,2338.8312822128464,155.9636274505513,-1.1398108
A81038,54.23302603603208,495.16595275881895,-1.1398108
A81039,3777.1798157018234,519.2577748216943,0.051175278
A81040,2851.144367171691,457.61634872509745,0.051175278
A81041,3252.103382985595,122.9832328593094,-0.9851098
A81042,7161.333862213773,4135.012504669979,-1.1398108
A81043,4356.435846142267,177.696880212317,-1.1398108
A81044,13007.782533684698,2442.565800481088,-0.9851098
A81045,4472.015430636008,18.07543903691646,-0.49769554
A81046,5752.407187080573,495.43920931807054,0.051175278
A81047,1607.2186073719051,-1709.5476301738247,-0.45759183
A81048,4442.01071819579,2014.1718761137574,-0.49769554
A81049,2674.62614831571,499.0817040239153,-1.1398108
A81051,1960.9842470846663,368.42587721703495,-1.1398108
A81052,4619.349001850899,821.2306184497967,-0.49769554
A81053,4399.590508536442,151.85172713607204,-0.49769554
A81054,4472.917375923132,296.6083531377712,-0.49769554
A81056,-843.6033083044535,22.719322356927194,0.051175278
A81057,3234.9381006670505,826.7408333670337,0.051175278
A81058,2476.273040417598,829.4310230007504,-1.1398108
A81060,43.66280827556293,523.0830036377317,-0.9851098
