,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-268.90010332739473,210.775672545251,0.051175278
A81002,11843.07337464821,1197.279257601018,0.051175278
A81003,669.132174640676,218.7910402553417,-0.9596795
A81004,3415.4791111063737,1063.7908509146218,0.051175278
A81005,4014.438527180021,181.37259202496034,-0.49769554
A81006,8420.53434418438,1811.7432019396404,0.051175278
A81007,3448.9470911872518,412.2828276027787,-0.9851098
A81008,1515.2237964294663,-275.5674664286508,-1.1398108
A81009,3539.2900420951332,-500.44856941436035,-1.1398108
A81011,5230.309089244308,878.3637789973808,-0.9851098
A81012,2158.06322357872,126.23486930606327,-1.1398108
A81013,2165.9471348011334,710.8107925998462,-0.49769554
A81014,1157.9626377320108,-373.87934913533843,0.051175278
A81015,-700.7179802694471,-326.6675627122792,-0.47578114
A81016,4172.991778254903,-30.112864995878386,-1.1398108
A81017,10572.428735871197,456.7300655980454,0.051175278
A81018,5492.968837292383,2521.85555012583,-0.49769554
A81019,4839.125515133693,394.74735031489854,-1.1398108
A81020,3804.0424282857957,313.5944939992233,-1.1398108
A81021,10011.86365420694,1007.7712675815503,-1.1398108
A81022,5883.363246144522,-34.51803056704726,-0.49769554
A81023,400.5207828509251,-74.42385833956173,-1.1398108
A81025,102.36436167185519,243.6181268684068,0.051175278
A81026,7574.014274011902,934.4500223981631,-1.1398108
A81027,5365.965242225162,1522.1359606711785,0.051175278
A81029,1544.267271070471,711.3329309501228,-1.1398108
A81030,4632.86400363943,1139.333988681638,-1.1398108
A81031,5038.797001902989,234.85668560446038,-0.9851098
A81032,5634.5541305425695,204.04761009454185,-0.49769554
A81033,-277.7037411856074,-374.7695953494919,-1.1398108
A81034,11306.043759670123,987.3692231045736,0.051175278
A81035,3449.943765113499,35.64916992913033,-1.1398108
A81036,10590.959771512298,44.50687153232753,0.051175278
A81037,2338.816093709057,156.12215937545977,-1.1398108
A81038,54.217998187051144,495.3249515869538,-1.1398108
A81039,3777.571100061604,519.3302600141509,0.051175278
A81040,2851.454892686152,457.6992666618395,0.051175278
A81041,3252.4309292100584,123.05605918738352,-0.9851098
A81042,7161.319873712138,4135.173456960983,-1.1398108
A81043,4356.420621088202,177.85523287638762,-1.1398108
A81044,13008.110629134808,2442.6393664962548,-0.9851098
A81045,4472.366501365127,18.169218664086593,-0.49769554
A81046,5752.717662188809,495.5218742490156,0.051175278
A81047,1607.8437014264384,-1709.5124138115136,-0.45759183
A81048,4442.647057861545,2014.2204942538403,-0.49769554
A81049,2674.6110650242194,499.2404523984181,-1.1398108
A81051,1961.2419338303323,368.5450458407219,-1.1398108
A81052,4619.700332681116,821.3249664686423,-0.49769554
A81053,4400.264482920901,151.88851919957588,-0.49769554
A81054,4473.2685379443055,296.7023347343489,-0.49769554
A81056,-843.2928453740908,22.802281950376376,0.051175278
A81057,3235.2487388741606,826.8239819787899,0.051175278
A81058,2476.5231522895306,829.5686572448618,-1.1398108
A81060,43.99055511495075,523.1564303466474,-0.9851098
A81063,1825.1456318442256,197.4422867548403,-0.9851098
A81064,381.8665403040222,427.60715952745187,-1.1398108
A81065,385.3911013514154,92.97420466640423,-1.1398108
A81066,772.2629176367736,289.3814551413665,0.051175278
A81067,3634.000841218453,680.3485304217226,0.051175278
A81069,-1278.67878026107,-229.794072991804,-0.45531166
A81070,77.1290835204723,1704.943362406441,-0.9851098
A81602,-42.23055222632751,124.58507785031831,0.051175278
A81605,-1978.0983667604987,-600.2246267740151,-0.4553117
A81608,357.67378511534366,1624.140375680402,0.051175278
A81609,-1989.264974909316,43.19670135818006,0.08508235
A81610,2575.1415121029004,166.93912685769678,0.051175278
A81611,935.4128944266063,1137.900725617844,-1.1398108
A81612,-563.1119425192145,288.6644648720706,-0.9851098
A81613,-1414.381683690788,-445.87303133475604,-0.9596794
A81618,4302.618598752186,1455.4316057914816,-0.49769554
A81621,-1273.8761873757237,408.0631819459497,-1.1398108
A81622,773.0546515945431,415.32652120694496,-0.9851098
A81623,-1985.0931334749712,91.28347766485554,0.08508235
A81629,720.236734421597,823.6234684073897,0.051175278
A81630,-2588.275349964854,85.3849107349716,0.051175278
A81631,1191.0170115462936,621.4673821566524,-0.9851098
A81632,-2697.8194936587524,-89.20962607754649,0.055673152
A81633,-2801.028451721412,-4.529039250864284,-1.1398108
A81634,-2588.7955483445744,185.2446412130385,0.051175278
A82003,3578.685829927503,865.118480852687,-0.85160065
A82004,-805.3464997055922,48.80431557624069,0.6996481
A82005,665.3951529441596,676.4847531202146,1.4180543
A82006,789.0900017727125,288.04527309297004,0.6996481
A82007,3804.0265901094854,446.1279822488087,-0.85160065
A82008,5846.290855001436,-31.06794229142221,-0.85160065
A82009,5810.002535939342,56.22396083845632,-0.85160065
A82010,2032.8013791531,74.92570266753627,-0.85160065
A82011,-865.249590178071,-69.39798834511963,-0.85160065
A82012,11715.467510402887,1088.8682806454037,-0.078095466
A82013,2566.6016947628864,528.7267747725604,0.6996481
A82014,1473.7929026474624,514.3144603525565,-0.067499496
A82015,492.63580851402344,10.583583990234805,-0.078095466
A82016,14834.531151970601,8088.493993660633,-0.078095466
A82017,4735.444644450981,-256.8091606405365,-0.095049
A82018,2967.897062891221,435.826136908735,-0.078095466
A82019,2347.653531036151,195.42000931231087,-0.078095466
A82020,4568.26346998422,780.1934422017227,-0.078095466
A82021,8776.570137678287,3938.2943906283003,-0.067499496
A82022,1842.0563422356965,-141.3052452158086,-0.078095466
A82023,1826.5067468539855,785.2992318409765,-0.5930592
A82024,2292.8211416967824,-379.4524680755681,-0.5930592
A82025,2755.1333255021113,356.48151646133886,1.4180543
A82026,8911.847869624671,544.3429689352403,1.4180543
A82027,5670.240809561976,-783.7227528858795,1.4180543
A82028,2994.454058649327,984.418455861794,-0.067499496
A82029,-1.5527660616763417,561.291138185272,-0.067499496
A82030,2495.102507853865,289.9078801458596,0.02362577
A82031,-290.57722040841827,287.51318595818503,0.6996481
A82032,9420.851002459724,427.7965210656618,-0.067499496
A82033,3099.2008365881343,614.9865138093018,-0.85160065
A82034,2678.637482193033,16.7539512539793,1.4180543
A82035,5027.651017911876,253.23216927154647,0.6996481
A82036,3146.928349463286,-27.659595906854523,0.6996481
A82037,1225.135072710699,-3.3891338576132464,-0.067499496
A82038,76.37116766100591,195.01269903971314,0.6996481
A82039,2815.355682531548,215.45788119324732,-0.85160065
A82040,-660.5265658168801,-703.1859821324742,-0.63544303
A82041,6394.787850444813,655.8307369137491,-0.5930592
A82044,17903.69570906929,3802.6165169628343,-0.5930592
A82045,3894.1650597280445,1028.9728974748384,-0.067499496
A82046,236.70371008532737,-570.4607314430317,1.4180543
A82047,5482.168805939153,575.3067614517907,-0.5930592
A82048,1835.6931350155937,59.349130428940406,-0.5930592
A82049,962.2018949644622,592.4042198542589,-0.5930592
A82050,2916.062109671143,642.5249267097531,-0.5930592
A82052,537.7183730555923,32.85745371874173,-0.095049
A82053,1519.2961650423658,219.1999916611628,1.4180543
A82055,3300.144732825201,836.9530909517771,-0.067499496
A82057,1704.0188745752018,84.62327421874947,-0.05902273
A82058,762.8165276270556,539.2711288742222,-0.5930592
A82060,-221.51221383532592,767.312951474811,-0.60971
A82062,307.44749285407397,572.2739383073861,-0.85160065
A82063,-2130.3207920633777,-787.0435829704578,-0.05902273
A82064,2012.4283572666875,213.75535664057298,-0.5930592
A82065,596.8628390195366,0.35988139488661,1.4180543
A82068,-556.573497107581,6.632332691155973,-0.85160065
A82070,1210.2651320983055,233.28597755283653,1.4180543
A82071,1469.7936617890443,135.98034584923676,-0.85160065
A82072,3522.9845067846977,1424.370507474619,-0.85160065
A82074,-1101.7086540380658,-419.0826875827575,1.4180543
A82075,2413.5057569428677,1004.7311708602963,-0.5930592
A82077,664.4373098823341,56.319839999437654,-0.85160065
A82608,-142.12118246443967,-290.24076860936077,1.4180543
A82613,-2377.1291951274648,-13.35126875547174,-0.85160065
A82617,-1003.5620070417514,156.09276943420286,0.6996481
A82619,-2251.3540158530573,-148.15153655767344,-0.85160065
A82620,-2570.773371566338,58.324753247309296,1.4180543
A82621,-1424.9345222526235,-92.91235604492476,-0.85160065
A82623,1254.5467853247394,-284.1075042244874,-0.5930592
A82629,18.221207441230508,252.87125312837426,-0.85160065
A82631,-252.78155590816743,193.09905496506408,-0.078095466
A82635,-2127.133509989613,-369.0846427365629,-0.095049
A82641,-2289.9829628665498,-429.3286036419092,-0.095049
A82642,-2160.2870617228236,57.19969799729159,1.4180543
A82646,532.9115743170628,268.1891136467279,-0.078095466
A82647,-678.1462612829872,239.68692072577844,1.4180543
A82650,-826.0797191374451,159.3693301539533,-0.85160065
A82651,-598.7419343624462,-19.65853049187954,-0.85160065
A82654,2107.921945173586,1817.4020168274467,-0.078095466
A83001,6610.358465328828,875.7492612453055,-0.029354034
A83003,5713.673207685836,1044.7253126495395,-0.4616693
A83004,1713.007794963121,576.4945446755337,-0.93129516
A83005,6073.411415342166,43.47011058548826,-0.029354034
A83006,1780.2969227965257,457.3885922273038,-0.029354034
A83007,8254.545509872167,1463.3239858412255,-0.9851098
A83008,3310.798607789471,49.968808685325335,-0.029354034
A83009,4124.902470172008,358.6760376583767,-0.5146491
A83010,7308.3063533947325,650.2467265283674,-0.029354034
A83011,3866.0366466753458,198.8580717006481,-0.93213
A83012,15301.594661362975,2304.959354780775,-0.9851098
A83013,5558.389903485211,1187.286914791785,-0.029354034
