,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-269.1981561482335,210.31399974956648,0.051175278
A81002,11842.77442827306,1196.8160031650932,0.051175278
A81003,667.2926413864328,219.09817396518616,-0.9596795
A81004,3415.167591687525,1063.36035599366,0.051175278
A81005,4012.65841873784,180.99022207643083,-0.49769554
A81006,8420.234110922263,1811.2773786811103,0.051175278
A81007,3446.553756435845,412.0978523201348,-0.9851098
A81008,1513.9817579569844,-275.27927092788923,-1.1398108
A81009,3537.4255925871776,-500.7165135602723,-1.1398108
A81011,5227.915069876197,878.1774873470592,-0.9851098
A81012,2156.197602065209,125.96460986021057,-1.1398108
A81013,2163.663119433364,710.5842829227735,-0.49769554
A81014,1157.6656875212598,-374.33884193974836,0.051175278
A81015,-702.0709809292118,-326.8342369397452,-0.47578114
A81016,4171.126560371964,-30.38230560379504,-1.1398108
A81017,10572.11873926008,456.3026537763326,0.051175278
A81018,5491.411040550681,2521.4804154727058,-0.49769554
A81019,4837.259609407763,394.47657146510016,-1.1398108
A81020,3802.1765934842356,313.3238396690553,-1.1398108
A81021,10009.997036463252,1007.4991659830004,-1.1398108
A81022,5881.111984496876,-34.77724852624427,-0.49769554
A81023,398.65539011142636,-74.69369411088886,-1.1398108
A81025,102.06627697419889,243.15639680119176,0.051175278
A81026,7572.147620285816,934.1778163099267,-1.1398108
A81027,5365.568358290489,1521.774970059071,0.051175278
A81029,1542.400600326767,711.060607428976,-1.1398108
A81030,4630.996800959019,1139.0606661330576,-1.1398108
A81031,5036.404078798404,234.6725389415072,-0.9851098
A81032,5632.774090908594,203.66539754399042,-0.49769554
A81033,-279.36645404351935,-374.84061650200255,-1.1398108
A81034,11305.732897414702,986.9401256494331,0.051175278
A81035,3448.078385745614,35.379402879246065,-1.1398108
A81036,10590.662728435045,44.04732833444932,0.051175278
A81037,2336.950432725328,155.85182512442586,-1.1398108
A81038,52.351600483177045,495.0531421909915,-1.1398108
A81039,3777.2605430781177,518.901655618654,0.051175278
A81040,2851.1566221117077,457.2372107882594,0.051175278
A81041,3250.0380798197075,122.87203202884197,-0.9851098
A81042,7159.44767639465,4134.890384824528,-1.1398108
A81043,4354.555057008282,177.58511660365153,-1.1398108
A81044,13005.71443184709,2442.4489166179383,-0.9851098
A81045,4470.812951497904,17.80238970863185,-0.49769554
A81046,5752.419519641477,495.06010963799434,0.051175278
A81047,1605.8083538582487,-1709.5549097324626,-0.45759183
A81048,4440.3921694784185,2013.954151185184,-0.49769554
A81049,2672.7448350742548,498.96900818408767,-1.1398108
A81051,1958.7130885926392,368.4059343891796,-1.1398108
A81052,4618.145408468795,820.9554471316583,-0.49769554
A81053,4397.981579593554,151.66421923581726,-0.49769554
A81054,4471.714508115213,296.3345655107756,-0.49769554
A81056,-843.5906124932687,22.341160854540522,0.051175278
A81057,3234.949857711222,826.3607352690182,0.051175278
A81058,2473.9972520921383,829.3698793579075,-1.1398108
A81060,41.596802535734916,522.9705890293347,-0.9851098
A81063,1822.7525592119764,197.2578023409231,-0.9851098
A81064,380.0002811247691,427.33562607851593,-1.1398108
A81065,383.5254191112737,92.70380153198148,-1.1398108
A81066,771.8443827005086,288.9909907801957,0.051175278
A81067,3633.7022390468096,679.8858358327485,0.051175278
A81069,-1279.9075969753885,-229.84268031586777,-0.45531166
A81070,74.73329646183886,1704.753535862516,-0.9851098
A81602,-42.528441411980104,124.12372878842125,0.051175278
A81605,-1979.1006391419492,-600.0912203831315,-0.4553117
A81608,357.3733382327627,1623.6740214885567,0.051175278
A81609,-1989.346678737541,42.95241634011953,0.08508235
A81610,2574.8437242233954,166.47801276270104,0.051175278
A81611,932.8863602229159,1137.700684177645,-1.1398108
A81612,-565.5053314057769,288.47932758952464,-0.9851098
A81613,-1416.4546181323217,-445.75416802401963,-0.9596794
A81618,4300.364664057289,1455.1671291145017,-0.49769554
A81621,-1275.742523133973,407.79147538282587,-1.1398108
A81622,770.6611334002693,415.14114923222274,-0.9851098
A81623,-1985.3725569672156,90.88116350011842,0.08508235
A81629,719.9376912912803,823.1598693198548,0.051175278
A81630,-2588.573341144839,84.92332635765668,0.051175278
A81631,1188.6231659229366,621.2813745545076,-0.9851098
A81632,-2698.1224078001164,-89.67539305821904,0.055673152
A81633,-2802.8941781185226,-4.7995733286612285,-1.1398108
A81634,-2589.093711655045,184.7827196090734,0.051175278
A82003,3575.7378876898083,865.096581090675,-0.85160065
A82004,-804.5947735421923,48.23175438799012,0.6996481
A82005,667.8657104596067,675.9359096423201,1.4180543
A82006,789.9803866956232,287.4068849867058,0.6996481
A82007,3801.2086712558785,446.09923478988753,-0.85160065
A82008,5843.473894555828,-31.094783699075087,-0.85160065
A82009,5807.185422631977,56.19681947013285,-0.85160065
A82010,2029.9839820791478,74.8979527058633,-0.85160065
A82011,-867.717754421293,-69.11559108805547,-0.85160065
A82012,11714.521066051464,1088.788726213192,-0.078095466
A82013,2567.406392671083,528.0929193916354,0.6996481
A82014,1472.7096847245734,514.0853300800911,-0.067499496
A82015,491.9017270949936,10.499513345196686,-0.078095466
A82016,14833.784104170265,8088.384721001017,-0.078095466
A82017,4734.627079249132,-256.9504242243043,-0.095049
A82018,2967.1624134489484,435.7409879806184,-0.078095466
A82019,2346.91925460213,195.33558248885143,-0.078095466
A82020,4567.388201348072,780.1053718540891,-0.078095466
A82021,8775.312642721827,3938.091490672359,-0.067499496
A82022,1841.0902537342374,-141.395048045078,-0.078095466
A82023,1824.1636760405918,785.3953849494154,-0.5930592
A82024,2290.4361626870123,-379.3154286482,-0.5930592
A82025,2757.716673463057,356.07007345675703,1.4180543
A82026,8914.431303825284,543.9317807313196,1.4180543
A82027,5672.826316678627,-784.1299253115659,1.4180543
A82028,2993.3722553786547,984.2203325804376,-0.067499496
A82029,-2.6503054667317487,561.078528236422,-0.067499496
A82030,2494.3447291107786,289.6069963517091,0.02362577
A82031,-289.65315156089287,286.95750816972026,0.6996481
A82032,9419.454613775837,427.6311271251259,-0.067499496
A82033,3096.2391548019996,614.9730858172375,-0.85160065
A82034,2680.823494078422,16.245438038533475,1.4180543
A82035,5028.791089327243,252.7465956239143,0.6996481
A82036,3148.068779725364,-28.14449278058693,0.6996481
A82037,1223.9549624085134,-3.5707739320131116,-0.067499496
A82038,77.41245502411228,194.4711967277126,0.6996481
A82039,2812.3947043130765,215.43599507048762,-0.85160065
A82040,-663.1028680941916,-703.1280755917502,-0.63544303
A82041,6392.302192212612,655.9607082895657,-0.5930592
A82044,17901.283864483932,3802.7526466562413,-0.5930592
A82045,3893.0593368774094,1028.761332477099,-0.067499496
A82046,239.14287784240418,-570.9551981817227,1.4180543
A82047,5479.711088058992,575.4371846941882,-0.5930592
A82048,1833.3513159142058,59.4477358555461,-0.5930592
A82049,959.8590990297225,592.5008994142268,-0.5930592
A82050,2913.6041050611893,642.6547524445587,-0.5930592
A82052,536.8731048869885,32.69190922010629,-0.095049
A82053,1520.8931641383012,218.69944069360275,1.4180543
A82055,3298.9775160672148,836.7537168026856,-0.067499496
A82057,1702.8328617031873,84.5095400480117,-0.05902273
A82058,760.33069522119,539.4006804928092,-0.5930592
A82060,-224.0239095139471,767.416873458586,-0.60971
A82062,304.62912375542624,572.2442600201484,-0.85160065
A82063,-2130.954164635228,-786.817354239508,-0.05902273
A82064,2010.021639447649,213.9013084383727,-0.5930592
A82065,598.4601538356651,-0.1400639181782669,1.4180543
A82068,-559.5202352128238,6.612734238708241,-0.85160065
A82070,1212.702979515294,232.7889377501223,1.4180543
A82071,1467.0173278296347,135.97461052198727,-0.85160065
A82072,3520.1648833188115,1424.3384166371302,-0.85160065
