,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-267.04139770451536,211.6076927991153,0.051175278
A81002,11844.93338880789,1198.1121975001204,0.051175278
A81003,670.3909224242393,219.5827132095859,-0.9596795
A81004,3417.8499246593024,1064.5529314250919,0.051175278
A81005,4016.1730103474392,181.8005748996526,-0.49769554
A81006,8422.396733387315,1812.581445157445,0.051175278
A81007,3449.6240131913637,412.4812912161707,-0.9851098
A81008,1515.486909239164,-274.2903926326666,-1.1398108
A81009,3539.1085914190326,-499.6478107476007,-1.1398108
A81011,5230.987190078579,878.5643770671076,-0.9851098
A81012,2157.883895123921,127.04012687728202,-1.1398108
A81013,2167.9738280177603,710.8060354575499,-0.49769554
A81014,1159.8193437920736,-373.05158570924294,0.051175278
A81015,-698.4220559287618,-325.47245366665663,-0.47578114
A81016,4172.8116827361555,-29.30945032982145,-1.1398108
A81017,10574.796665913093,457.4852780594875,0.051175278
A81018,5494.612729002093,2522.4131512536646,-0.49769554
A81019,4838.9466304146035,395.55312375969606,-1.1398108
A81020,3803.8634414273192,314.4002084904264,-1.1398108
A81021,10011.685917438987,1008.5786278025728,-1.1398108
A81022,5885.225349916536,-34.53114651328603,-0.49769554
A81023,400.34108779578753,-73.61909239581956,-1.1398108
A81025,104.22311540513698,244.45019152682679,0.051175278
A81026,7573.836658723662,935.2579775270688,-1.1398108
A81027,5368.596558873164,1522.6297590480995,0.051175278
A81029,1544.0898278808593,712.1420973918782,-1.1398108
A81030,4632.68743630858,1140.1444885342992,-1.1398108
A81031,5039.4731525370635,235.05335838966081,-0.9851098
A81032,5636.288452929963,204.47503535695066,-0.49769554
A81033,-277.00477827674763,-373.0897457582011,-1.1398108
A81034,11308.413215976027,988.1274240511303,0.051175278
A81035,3449.763974531071,36.453306061661586,-1.1398108
A81036,10592.81642141774,45.333171829942245,0.051175278
A81037,2338.6368313839725,156.9275251230972,-1.1398108
A81038,54.04010317972953,496.133415419792,-1.1398108
A81039,3779.9401890283016,520.0887933249705,0.051175278
A81040,2853.313913218021,458.5314788407046,0.051175278
A81041,3253.1069903961506,123.25280620439023,-0.9851098
A81042,7161.152152665522,4136.0015248618,-1.1398108
A81043,4356.241138546334,178.65986368821254,-1.1398108
A81044,13008.79243045682,2442.846352235448,-0.9851098
A81045,4474.002844645083,18.71166656102772,-0.49769554
A81046,5754.576386248676,496.3530705351559,0.051175278
A81047,1610.319524444182,-1708.902936313532,-0.45759183
A81048,4444.515662158924,2014.2207597200727,-0.49769554
A81049,2674.4328093032273,500.04781031115925,-1.1398108
A81051,1961.6630506250717,368.95781582083214,-1.1398108
A81052,4621.339123025124,821.8723530298562,-0.49769554
A81053,4402.289140795223,151.87931720323067,-0.49769554
A81054,4474.90573700491,297.2465170031539,-0.49769554
A81056,-841.4346356705956,23.63337923207614,0.051175278
A81057,3237.1088390995997,827.658327591952,0.051175278
A81058,2476.7397365780103,830.4046001445049,-1.1398108
A81060,44.668302171205234,523.3570532313091,-0.9851098
A81063,1825.8221246444239,197.64011272436906,-0.9851098
A81064,381.68839059964256,428.41506026902084,-1.1398108
A81065,385.2119228479107,93.78001972550578,-1.1398108
A81066,774.8354458150923,289.8480906431786,0.051175278
A81067,3635.8604346189627,681.1817917546136,0.051175278
A81069,-1277.903800506635,-229.80310478786845,-0.45531166
A81070,77.81045738814689,1705.1513314060385,-0.9851098
A81602,-40.372143702637615,125.41646351773362,0.051175278
A81605,-1976.0211691023674,-599.2281184526163,-0.4553117
A81608,359.53674475390625,1624.9809283843676,0.051175278
A81609,-1986.9490913680409,44.47144922688828,0.08508235
A81610,2576.9996784623972,167.76964731142363,0.051175278
A81611,935.6306454119915,1138.7392536302339,-1.1398108
A81612,-562.4348296774024,288.8638891667108,-0.9851098
A81613,-1413.1644848191925,-445.1212300421494,-0.9596794
A81618,4304.485505859635,1455.4284514081326,-0.49769554
A81621,-1274.054161611432,408.8716751682585,-1.1398108
A81622,773.7319635917893,415.5261580232782,-0.9851098
A81623,-1983.0990722479594,92.30122670035097,0.08508235
A81629,722.0971825683689,824.4588789377216,0.051175278
A81630,-2586.4166997309794,86.21715049214119,0.051175278
A81631,1191.6948975406633,621.6681225719572,-0.9851098
A81632,-2696.091214969608,-88.5146740670911,0.055673152
A81633,-2801.207476580291,-3.7224569994907717,-1.1398108
A81634,-2586.936591175468,186.0775031414374,0.051175278
A82003,3580.6888966626175,865.4322710170294,-0.85160065
A82004,-797.8196107033764,49.060903131020424,0.6996481
A82005,674.3591189635382,677.1380906868519,1.4180543
A82006,796.0024304029342,288.17722771330915,0.6996481
A82007,3806.157437655454,446.4943142816132,-0.85160065
A82008,5848.419945660778,-30.705463262392936,-0.85160065
A82009,5812.1318999959285,56.58699919161773,-0.85160065
A82010,2034.9313379788257,75.29048679488032,-0.85160065
A82011,-862.2724122429138,-68.46063369421569,-0.85160065
A82012,11720.505209296283,1089.320897106293,-0.078095466
A82013,2573.5545905259273,528.8615269666187,0.6996481
A82014,1479.217500131342,515.0342090633442,-0.067499496
A82015,497.20820352714816,11.15318026346637,-0.078095466
A82016,14839.126329563844,8089.10771442342,-0.078095466
A82017,4740.027779795285,-256.2451519738903,-0.095049
A82018,2972.4704125382136,436.39731397529977,-0.078095466
A82019,2352.226230161205,195.98995662226562,-0.078095466
A82020,4573.125702446789,780.8225080094107,-0.078095466
A82021,8781.90643986964,3939.1035184680345,-0.067499496
A82022,1847.2068164992843,-140.5866442753532,-0.078095466
A82023,1830.4422804986543,786.329679895834,-0.5930592
A82024,2296.3258061894876,-378.590420081349,-0.5930592
A82025,2762.2804477838545,357.0911283336951,1.4180543
A82026,8918.994693408615,544.9510951478733,1.4180543
A82027,5677.38401343034,-783.1214998691295,1.4180543
A82028,2999.9100477671604,985.0500594899637,-0.067499496
A82029,3.3295063564068736,561.877930252891,-0.067499496
A82030,2499.438951550421,290.25123150976265,0.02362577
A82031,-284.02134186879306,287.71796761604884,0.6996481
A82032,9425.975398718596,428.5320455471623,-0.067499496
A82033,3101.449709605474,615.4277805476423,-0.85160065
A82034,2686.1722771802533,17.444514914137084,1.4180543
A82035,5034.26787814832,253.5827576975642,0.6996481
