,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-268.72765600665286,210.94137942060303,0.051175278
A81002,11843.246325953369,1197.4459609943876,0.051175278
A81003,668.3332697574479,218.9079342564735,-0.9596795
A81004,3415.73094954833,1063.9492652569757,0.051175278
A81005,4013.8281735632227,181.31916168175442,-0.49769554
A81006,8420.707477844206,1811.910213023925,0.051175278
A81007,3447.8829548416816,412.13498911351166,-0.9851098
A81008,1515.0709663969294,-275.331640751956,-1.1398108
A81009,3538.6547660274978,-500.6553494413188,-1.1398108
A81011,5229.2451437271675,878.216298835616,-0.9851098
A81012,2157.4281587988926,126.02846329460067,-1.1398108
A81013,2165.1597417445832,710.7111422708183,-0.49769554
A81014,1158.134889592945,-373.7139872457573,0.051175278
A81015,-701.0008169733125,-326.5465328248247,-0.47578114
A81016,4172.35668080141,-30.319316643779285,-1.1398108
A81017,10572.680439446076,456.8882837199531,0.051175278
A81018,5492.540269418309,2521.831914780589,-0.49769554
A81019,4838.490580142306,394.54119796961254,-1.1398108
A81020,3803.407451368225,313.38825857200004,-1.1398108
A81021,10011.229004147513,1007.565667300652,-1.1398108
A81022,5882.567707830787,-34.62665751714723,-0.49769554
A81023,399.8856240296159,-74.63044689382232,-1.1398108
A81025,102.53682538759938,243.78386600727467,0.051175278
A81026,7573.379568060412,934.2443041662873,-1.1398108
A81027,5366.280143609627,1522.2521291893268,0.051175278
A81029,1543.6324116646845,711.1268934231032,-1.1398108
A81030,4632.229336898703,1139.1283216708664,-1.1398108
A81031,5037.732820118182,234.70877544003696,-0.9851098
A81032,5633.943804606208,203.9942409517423,-0.49769554
A81033,-278.16595458740983,-374.80365903106866,-1.1398108
A81034,11306.295664985848,987.5278122410546,0.051175278
A81035,3449.3086828973705,35.44274102900366,-1.1398108
A81036,10591.132288662207,44.672778676900016,0.051175278
A81037,2338.1810419654853,155.9157782405179,-1.1398108
A81038,53.5830423671386,495.1187290255253,-1.1398108
A81039,3777.8227448863036,519.4883254976154,0.051175278
A81040,2851.627467216392,457.8652254989411,0.051175278
A81041,3251.3666853449217,122.90802427905898,-0.9851098
A81042,7160.686326566914,4134.969838544212,-1.1398108
A81043,4355.785601449173,177.64892366522258,-1.1398108
A81044,13007.047345659887,2442.493140314712,-0.9851098
A81045,4471.93701093379,18.143902447836115,-0.49769554
A81046,5752.890285270545,495.68794084532414,0.051175278
A81047,1607.3086824694885,-1709.366229648504,-0.45759183
A81048,4441.852247161913,2014.1131777842252,-0.49769554
A81049,2673.976142063014,499.034307210954,-1.1398108
A81051,1960.2227671895698,368.3852273370344,-1.1398108
A81052,4619.2711360334215,821.3001843180544,-0.49769554
A81053,4399.476913452924,151.78856390812788,-0.49769554
A81054,4472.839148792284,296.67720229821555,-0.49769554
A81056,-843.120473289521,22.967848420953686,0.051175278
A81057,3235.4214522220127,826.9901952908066,0.051175278
A81058,2475.3972102942016,829.4380018688233,-1.1398108
A81060,42.92641823550007,523.0085678196499,-0.9851098
A81063,1824.081397906066,197.29426018396302,-0.9851098
A81064,381.2315637940409,427.40090164277393,-1.1398108
A81065,384.7560032131638,92.76772611683045,-1.1398108
A81066,772.5850788233773,289.47909030491144,0.051175278
A81067,3634.173506089029,680.5146584810849,0.051175278
A81069,-1279.0068144143527,-229.68296204220454,-0.45531166
A81070,76.0653767253324,1704.7962804783856,-0.9851098
A81602,-42.058133524494124,124.75073433323774,0.051175278
A81605,-1978.1717160730614,-599.9172775961706,-0.4553117
A81608,357.84675383871274,1624.307032869755,0.051175278
A81609,-1988.8674934316386,43.57042817347956,0.08508235
A81610,2575.313977603872,167.10488598726974,0.051175278
A81611,934.2870460520388,1137.7702296699426,-1.1398108
A81612,-564.1761719413793,288.5164303172546,-0.9851098
A81613,-1415.0503499625615,-445.6507543067638,-0.9596794
A81618,4301.823583203722,1455.3239166789024,-0.49769554
A81621,-1274.5111908548124,407.8568639096713,-1.1398108
A81622,771.9904842551871,415.1786083508092,-0.9851098
A81623,-1984.7360526206303,91.62515730431305,0.08508235
A81629,720.4094164338095,823.789607824813,0.051175278
A81630,-2588.1029760588863,85.55046868784662,0.051175278
A81631,1189.9529241715509,621.3196172259371,-0.9851098
A81632,-2697.6531101318305,-89.0501538344179,0.055673152
A81633,-2801.6636235354704,-4.73567307186936,-1.1398108
A81634,-2588.6231381367015,185.4102650309544,0.051175278
A82003,3577.352206534844,865.1742980481727,-0.85160065
A82004,-802.9528930823285,48.83105477444163,0.6996481
A82005,669.3750158761322,676.8133691251574,1.4180543
A82006,791.3515221345308,288.0487577013494,0.6996481
A82007,3802.813576463266,446.1494901224714,-0.85160065
A82008,5845.077692357672,-31.0466909444133,-0.85160065
A82009,5808.789404594311,56.245268737686715,-0.85160065
A82010,2031.5882092979023,74.94691509683012,-0.85160065
A82011,-866.4602407953084,-69.36753811886189,-0.85160065
A82012,11716.046459245803,1089.0200961859587,-0.078095466
A82013,2568.854417458542,528.7233352955427,0.6996481
A82014,1474.4366381409877,514.4950830877538,-0.067499496
A82015,493.2051871929087,10.772536521556862,-0.078095466
A82016,14835.103639740722,8088.688684724761,-0.078095466
A82017,4736.008267583947,-256.63424569599096,-0.095049
A82018,2968.4666258808065,436.0154406315102,-0.078095466
A82019,2348.2229991710606,195.6091367300067,-0.078095466
A82020,4568.851225356967,780.4065130030452,-0.078095466
A82021,8777.174604930551,3938.433232159236,-0.067499496
A82022,1842.6773851144242,-141.06711845343492,-0.078095466
A82023,1826.0540662916794,785.5940577972455,-0.5930592
A82024,2292.2769043625062,-379.1279865206197,-0.5930592
A82025,2758.0117681976994,356.8133249436771,1.4180543
A82026,8914.726454477315,544.6750770774997,1.4180543
A82027,5673.118872662326,-783.3916134208849,1.4180543
A82028,2995.0977609935208,984.5844336487257,-0.067499496
A82029,-1.021739793506124,561.4075255617752,-0.067499496
A82030,2495.6802271921542,289.94999206331437,0.02362577
A82031,-288.4842624718548,287.5446144427886,0.6996481
A82032,9421.415128209645,427.897069733847,-0.067499496
A82033,3097.895973602522,615.0502637490403,-0.85160065
A82034,2681.9461299103646,17.06174309087989,1.4180543
