,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-267.47639328442057,213.72878029781555,0.051175278
A81002,11844.502110554324,1200.2428387393775,0.051175278
A81003,669.6023268477719,221.78810778057613,-0.9596795
A81004,3417.0079638499387,1066.9033584914316,0.051175278
A81005,4015.2189783444737,184.7157504999695,-0.49769554
A81006,8421.963756234865,1814.7073284910962,0.051175278
A81007,3449.701933061308,415.38061954726635,-0.9851098
A81008,1514.2681275829625,-270.65010818368216,-1.1398108
A81009,3539.3073649655653,-494.83949775792144,-1.1398108
A81011,5231.0654236312375,881.4643708482777,-0.9851098
A81012,2158.0817081036816,131.845647076852,-1.1398108
A81013,2167.383490789881,712.1814404581094,-0.49769554
A81014,1159.385294970131,-370.9277577046868,0.051175278
A81015,-699.1873483335952,-322.695600155615,-0.47578114
A81016,4173.010346784012,-24.501602346260235,-1.1398108
A81017,10573.957765602361,459.84409250235905,0.051175278
A81018,5493.915362719808,2525.2368067595403,-0.49769554
A81019,4839.1452298505665,400.3606431951734,-1.1398108
A81020,3804.061720889098,319.2069042015874,-1.1398108
A81021,10011.885965276733,1013.3897856543475,-1.1398108
A81022,5884.593863420299,-32.73432800510307,-0.49769554
A81023,400.5384031142427,-68.81482600022038,-1.1398108
A81025,103.78823188115132,246.57156587410165,0.051175278
A81026,7574.0358674198005,940.0669238525704,-1.1398108
A81027,5368.110896403199,1524.1018420536668,0.051175278
A81029,1544.2869914010084,716.9456699976106,-1.1398108
A81030,4632.885419669478,1144.9500908098253,-1.1398108
A81031,5039.551783178943,237.95464800043308,-0.9851098
A81032,5635.334997496747,207.39174069611448,-0.49769554
A81033,-277.0412747078254,-368.4917988047933,-1.1398108
A81034,11307.574198950593,990.485732091402,0.051175278
A81035,3449.9623261639963,41.26029647683757,-1.1398108
A81036,10592.385521753824,47.465246757119395,0.051175278
A81037,2338.8346888285523,161.73315295242054,-1.1398108
A81038,54.236878097599345,500.9360307892405,-1.1398108
A81039,3779.0987560388135,522.4408285632552,0.051175278
A81040,2852.879880564041,460.6550442768866,0.051175278
A81041,3253.1850483149797,126.15260911000846,-0.9851098
A81042,7161.348886574727,4140.802692774411,-1.1398108
A81043,4356.439718750148,183.4674115625322,-1.1398108
A81044,13008.872375377732,2445.7503362215252,-0.9851098
A81045,4473.306922459628,21.54009473055913,-0.49769554
A81046,5754.143388126005,498.47938180351076,0.051175278
A81047,1609.8270749382357,-1706.9766762327667,-0.45759183
A81048,4443.882160908124,2016.0114505054974,-0.49769554
A81049,2674.6305405630865,504.852975385676,-1.1398108
A81051,1962.3669877220425,371.5050352072831,-1.1398108
A81052,4620.642671682363,824.6990743536657,-0.49769554
A81053,4401.7000272109735,153.25819186676566,-0.49769554
A81054,4474.209612929782,300.07430422886665,-0.49769554
A81056,-841.8697050362051,25.754339002449314,0.051175278
A81057,3236.674678947644,829.7814172156797,0.051175278
A81058,2476.1160348871867,835.5573661080881,-1.1398108
A81060,44.74489517816773,526.2528012485658,-0.9851098
A81063,1825.8996061040543,200.53835052430563,-0.9851098
A81064,381.8853346144745,433.21815161861065,-1.1398108
A81065,385.40911109698163,98.5838856118933,-1.1398108
