,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,45.80402164427238,289.55874640566924,0.034388244
A81002,12018.832066555779,992.5230615778294,0.034388244
A81003,949.9446032368052,176.440573412834,-0.9596795
A81004,3690.1959205117128,1119.8812704620573,0.034388244
A81005,4434.045693826124,391.15232557696186,-0.5361105
A81006,8605.095316569852,1799.3508313475618,0.034388244
A81007,3855.5375096045336,576.997382002156,-0.9921656
A81008,1822.0752536431316,-258.63617305713143,-1.1398108
A81009,3868.2934183587545,-415.2611617868862,-1.1341496
A81010,-2689.0155013570807,-60.8408419262141,-0.9596795
A81011,6216.9388993063285,1692.128284996954,-0.9921656
A81012,2236.4697444611284,-137.10470316918088,-1.1341496
A81013,2733.0565824997875,1090.1294747532852,-0.533836
A81014,1590.482489599921,-78.82058012695605,0.034388244
A81015,-418.9865721222988,-311.28835745807623,-0.47350678
A81016,4543.226950457601,74.78349590481432,-1.1341496
A81017,10567.511113697661,-29.332119835426653,0.034388244
A81018,5550.42354126138,2282.754034549302,-0.5361105
A81019,5067.443899724545,173.62131492660703,-1.1341496
A81020,4076.3392659783353,162.6997362534175,-1.1341496
A81021,10564.135849685892,1125.9975183748413,-1.1341496
A81022,6247.722617303869,122.1980372684348,-0.533836
A81023,1160.5624216437002,486.674224260812,-1.1341496
A81025,376.0891354464906,279.5865495975249,0.034388244
A81026,8566.622971393046,1694.4837967811761,-1.1341496
A81027,5335.032296892252,1173.8667598938664,0.048431348
A81029,1971.152218859395,987.6482837633682,-1.1341496
A81030,5634.648602935042,2019.2720057494214,-1.1341496
A81031,5970.69826540481,1074.504087231111,-0.9921656
A81032,6363.914409884928,717.8252963364366,-0.5361105
A81033,-77.0480662933197,-638.6779838959843,-1.1398108
A81034,11486.540115839462,800.2927398042335,0.034388244
A81035,3697.912226468949,-7.657927402737959,-1.1341496
A81036,11141.260608994764,467.5515964412079,0.034388244
A81037,2516.7976270400964,44.574822732298,-1.1341496
A81038,241.90403390006335,325.24671363485817,-1.1341496
A81039,4399.443193314489,993.4352932827173,0.048431348
A81040,3034.3931785564214,262.3497601904561,0.034388244
A81041,3722.534253870463,355.6912563895067,-0.9921656
A81042,7322.443351940677,4247.362551863736,-1.1341496
A81043,4280.366895899253,-530.5527389932805,-1.1346272
A81044,12913.373717749404,1918.76937680808,-0.9921656
A81045,4368.35362808749,-365.2449662883578,-0.5361105
