,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,162.75265862483982,293.8319161088787,0.048431348
A81002,12264.98122081946,1313.0889277888134,0.048431348
A81003,992.7743732518198,176.01249140696402,-0.9596795
A81004,3840.448988638038,1139.4164331611173,0.048431348
A81005,4498.850256313366,387.6419633900291,-0.5361105
A81006,8747.701934355608,1753.3343656728468,0.048431348
A81007,3896.5123905871496,575.7056088824996,-0.9921656
A81008,1856.9763677288342,-256.05364426400723,-1.1398108
A81009,4000.966680169013,-311.20465607870466,-1.1264832
A81010,-2677.430021709942,-83.54222052711673,-0.9596795
A81011,6257.972290997735,1690.3848769631365,-0.9921656
A81012,2326.2792632809706,-27.782705016497907,-1.1264832
A81013,2826.148971854377,1136.682043336611,-0.5361105
A81014,1780.7993470099666,-36.92457619479739,0.048431348
A81015,-352.98055289447313,-314.3330225925008,-0.47350678
A81016,4705.374132890597,243.24577085750994,-1.1264832
A81017,10667.415930940244,225.5252306800008,0.048431348
A81018,5615.4705446013795,2278.0231160006697,-0.5361105
A81019,5151.459395548283,423.0345591200495,-1.1264832
A81020,4098.024709446723,266.383731150273,-1.1264832
A81021,11561.78301559831,2849.120659603012,-1.1264832
A81022,6371.364699690997,221.65104258076036,-0.5361105
A81023,1309.1828936435604,590.3681363891087,-1.1264832
A81025,484.4892796642068,257.6092552188104,0.048431348
A81026,8794.339450320565,1864.1736620075883,-1.1264832
A81027,5431.721431014785,1172.7993129436595,0.048431348
A81029,2055.405940472718,900.6725293009754,-1.1264832
A81030,5885.077467875967,2229.5822712190843,-1.1264832
A81031,6011.646636948118,1073.177803083919,-0.9921656
A81032,6428.674753925804,714.3773675759396,-0.5361105
A81033,55.203677329387766,-382.05511808924985,-1.1398108
A81034,11692.470189649861,1088.305809012966,0.048431348
A81035,3795.4711221858847,93.29685043248877,-1.1264832
A81036,11469.936915159265,650.6518700685733,0.048431348
A81037,2578.260456182652,92.69373559595715,-1.1264832
A81038,244.121714119759,334.70514357652416,-1.1264832
A81039,4496.15029134993,992.3538626651869,0.048431348
A81040,3160.10005867767,423.08839245664285,0.048431348
A81041,3763.480889350849,354.5419045920918,-0.9921656
A81042,7389.50415938264,3865.137130392317,-1.1264832
A81043,4267.306308128523,-387.5202419906313,-1.1350391
A81044,12954.110919629904,1917.9119524283046,-0.9921656
A81045,4433.042377670435,-368.2073813831057,-0.5361105
A81046,6049.9776497780995,435.48456979162233,0.048431348
A81047,1972.7108650314315,-1662.3086656546006,-0.45731315
A81048,4299.718260703608,1345.6664419370877,-0.5361105
A81049,2782.2413762338665,259.32104343743396,-1.1264832
A81051,2258.356813446915,339.8409219000386,-1.1264832
A81052,5265.853919406934,1182.768665634859,-0.5361105
A81053,4632.341547494881,-1.1279248267249165,-0.5361105
A81054,4975.01251451011,507.5127130904787,-0.5361105
A81056,-462.74716872967537,70.81793309105522,0.048431348
A81057,3760.113294824012,1051.082087057794,0.048431348
A81058,3064.01607104779,1100.8225692385004,-1.1264832
A81060,720.9811626206365,926.4976875812183,-0.9921656
A81063,2428.369762757817,528.5088690279775,-0.9921656
A81064,782.0488189269206,535.599158903037,-1.1264832
A81065,649.4696714175278,30.40457985726467,-1.1264832
A81066,1242.1503261031587,446.3048628422186,0.048431348
A81067,4357.383900043384,1102.3408350301074,0.048431348
A81068,-2766.488860159401,-129.27003518811725,-0.9596795
A81069,-928.0987986308688,-236.1487297982534,-0.4553117
A81070,59.92950192828216,1178.3225404620723,-0.9921656
A81602,236.23427282320424,38.68667091374473,0.048431348
A81605,-1635.935707311146,-626.222366677483,-0.45531172
A81608,1468.3400778288812,2571.0980449830204,0.048431348
A81609,-1608.7325171499706,108.98477553689796,0.08508235
A81610,3039.0871632590543,320.90913761403294,0.048431348
A81611,1496.5338072503932,1404.799376595931,-1.1264832
A81612,-230.92314311137804,287.1703289678682,-0.9921656
A81613,-1077.2701672695375,-454.1316645483755,-0.95967954
A81618,4881.15871295466,1698.8959882801157,-0.5361105
A81620,-2720.659498768217,-491.45128831701334,0.08508235
A81621,-916.1890251800096,401.3851314872961,-1.1264832
A81622,1126.1987160534159,401.9501214031267,-0.9921656
A81623,-1627.1256861437414,87.91052676727348,0.08508235
A81629,1214.2613299299437,1048.145317409041,0.048431348
A81630,-2177.3000558434037,141.35828513009858,0.039991405
A81631,1770.3801519475237,933.4552309481953,-0.9921656
A81632,-2340.5098477871743,-56.554079820706235,0.058641054
A81633,-2441.2736361313973,25.79186262455106,-1.136403
A81634,-2196.236547671175,174.0432404868615,0.048431348
A82003,3674.2147519379173,502.63124398843433,-0.9382303
A82004,-451.24653505938727,27.730614272759215,0.6769127
A82005,1164.877964541222,769.7852973122596,1.2781142
A82006,1261.287740999031,359.22380824508514,0.6769127
A82007,4324.719430644066,652.9343899927387,-0.9382303
A82008,6366.866877484161,182.09918736789183,-0.9382303
A82009,6109.233006723569,45.53210212251424,-0.9382303
A82010,2270.920018112535,24.23950584305871,-0.9382303
A82011,-520.6139357113641,-73.17019310570623,-0.85160065
A82012,12256.138848072484,1272.6446668931976,0.0665486
A82013,2956.7301941183946,550.6675376790214,0.6769127
