,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,164.82011942424307,292.4863922717096,0.048431348
A81002,12267.050265517193,1311.738195408846,0.048431348
A81003,994.269093803571,174.43146932125862,-0.9596795
A81004,3842.516795536473,1138.0681746575415,0.048431348
A81005,4500.495719868992,386.11502292272536,-0.5361105
A81006,8749.770332876367,1751.983563924131,0.048431348
A81007,3898.5898402868693,574.4700223706933,-0.9921656
A81008,1858.8921023353282,-257.2707527828335,-1.1398108
A81009,4003.0422239890895,-312.422073207272,-1.1264832
A81010,-2687.131719146695,-92.28833853130352,-0.9596795
A81011,6260.049818645283,1689.1463055208726,-0.9921656
A81012,2328.354480814376,-29.000313830085204,-1.1264832
A81013,2827.793991916145,1135.1539097884447,-0.5361105
A81014,1782.8671374262155,-38.2697924731024,0.048431348
A81015,-349.91649418017874,-314.33745821055,-0.47350678
A81016,4707.44964395218,242.02698623941313,-1.1264832
A81017,10669.485007031099,224.17723447030076,0.048431348
A81018,5617.115700981376,2276.4918335290095,-0.5361105
A81019,5153.534929103836,421.8152768003314,-1.1264832
A81020,4100.100122270886,265.165048228792,-1.1264832
A81021,11563.858912120733,2847.894563803713,-1.1264832
A81022,6373.010489979391,220.12399203921817,-0.5361105
A81023,1311.2578004541883,589.1494523900096,-1.1264832
A81025,486.55679854977876,256.2637290254339,0.048431348
A81026,8796.415174401676,1862.95037349241,-1.1264832
A81027,5433.78947157703,1171.4505859180251,0.048431348
A81029,2057.4808824991483,899.4529922061572,-1.1264832
A81030,5887.152657152146,2228.358922602325,-1.1264832
A81031,6013.724282887137,1071.9406198182608,-0.9921656
A81032,6430.320428591586,712.8492435733519,-0.5361105
A81033,57.729872673162824,-382.7483963442383,-1.1398108
A81034,11694.539203959215,1086.9557025759193,0.048431348
A81035,3797.5465326738913,92.07861502092162,-1.1264832
A81036,11472.00600605956,649.3027599028428,0.048431348
A81037,2580.3356816469686,91.47580497638222,-1.1264832
A81038,246.19652342192,333.4872747135571,-1.1264832
A81039,4498.21823510884,991.0057567981764,0.048431348
A81040,3162.1679428433695,421.74184341797917,0.048431348
A81041,3765.5583746234474,353.30682666630327,-0.9921656
A81042,7391.579164793079,3863.909890856044,-1.1264832
A81043,4269.258825827811,-388.9509021884007,-1.1350391
A81044,12956.189408532951,1916.6712222931978,-0.9921656
A81045,4434.688021943759,-369.732680660585,-0.5361105
A81046,6052.045970442959,434.1372735506217,0.048431348
A81047,1975.370970200282,-1662.6674774293922,-0.45731315
A81048,4301.36345220845,1344.1374917390797,-0.5361105
A81049,2784.316590681961,258.10270377358637,-1.1264832
A81051,2260.4319278771695,338.62253977346154,-1.1264832
A81052,5267.499298990819,1181.2398247094166,-0.5361105
A81053,4633.987129462097,-2.654062873976974,-0.5361105
A81054,4976.6580202471205,505.98539622105443,-0.5361105
A81056,-460.6797468085908,69.47304460816206,0.048431348
A81057,3762.181111793401,1049.7340384697052,0.048431348
A81058,3066.091116000562,1099.6023504137358,-1.1264832
A81060,723.058040708054,925.2621387803525,-0.9921656
A81063,2430.447001021067,527.273750033501,-0.9921656
A81064,784.1236593679837,534.3807240704754,-1.1264832
A81065,651.5446191748525,29.187264054360874,-1.1264832
A81066,1244.2179126336973,444.95874211319324,0.048431348
A81067,4359.4517949334695,1100.9925273326717,0.048431348
A81068,-2771.4291914318997,-135.0638607868278,-0.9596795
A81069,-924.5997997488112,-235.85471341000735,-0.4553117
A81070,62.00621590366238,1177.086615160364,-0.9921656
A81602,238.3018091878208,37.34167721850491,0.048431348
A81605,-1632.619090714523,-626.03325344597,-0.45531172
A81608,1470.4071625737513,2569.7473003726855,0.048431348
A81609,-1606.6993080752454,107.69693972311937,0.08508235
A81610,3041.1550547975435,319.56283839362277,0.048431348
A81611,1498.6085370402977,1403.5788951713157,-1.1264832
A81612,-228.84624850100028,285.9363918187119,-0.9921656
A81613,-1074.938653547865,-455.03130904248974,-0.95967954
A81618,4882.803903772053,1697.3661337998603,-0.5361105
A81620,-2724.551965625979,-496.52112726193775,0.08508235
A81621,-914.1144092227759,400.1674085966797,-1.1264832
A81622,1128.2757881553864,400.7155991406932,-0.9921656
A81623,-1625.3676190089166,86.40197191003712,0.08508235
A81629,1216.3287603418112,1046.7979099095082,0.048431348
A81630,-2175.453106819513,139.68527322444328,0.039991405
A81631,1772.4571879219677,932.2194055368734,-0.9921656
A81632,-2338.3377643890203,-57.72593974328439,0.058641054
A81633,-2439.1450156141345,24.603592409351734,-1.136403
A81634,-2194.1694155142573,172.6985623327082,0.048431348
A82003,3674.656726473839,500.3098745992243,-0.9382303
A82004,-448.2793522025384,25.750656813899216,0.6769127
