,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,165.50818767854662,292.42032651446505,0.048431348
A81002,12267.738472422268,1311.6724563617047,0.048431348
A81003,993.5410191755213,173.50909036572457,-0.9596795
A81004,3843.204888155842,1138.002593698326,0.048431348
A81005,4498.12270026624,385.77706706140555,-0.5361105
A81006,8750.458475054449,1751.9182597794309,0.048431348
A81007,3898.909290131861,574.444096458866,-0.9921656
A81008,1858.6364266681692,-257.7556170986375,-1.1398108
A81009,4003.3130404361405,-312.43018652109845,-1.1264832
A81010,-2687.926341335651,-93.47714582001326,-0.9596795
A81011,6260.369265174682,1689.1211022285797,-0.9921656
A81012,2328.6252639924965,-29.008166972975992,-1.1264832
A81013,2825.420923637226,1134.816549021663,-0.5361105
A81014,1783.555239709115,-38.33615055383929,0.048431348
A81015,-352.852448102207,-315.28774536071234,-0.47350678
A81016,4707.72045205806,242.01924816103568,-1.1264832
A81017,10670.173227239155,224.11076664806262,0.048431348
A81018,5614.742634598812,2276.1552001890127,-0.5361105
A81019,5153.805737591658,421.80765308168424,-1.1264832
A81020,4100.370920945923,265.1573472003074,-1.1264832
A81021,11564.129731501744,2847.8884701696193,-1.1264832
A81022,6370.637502569472,219.78585384569175,-0.5361105
A81023,1311.5285486410926,589.1420781475817,-1.1264832
A81025,487.2448725903834,256.1976263985208,0.048431348
A81026,8796.685987005456,1862.9436642133387,-1.1264832
A81027,5434.477585763422,1171.3849755143717,0.048431348
A81029,2057.7516310301303,899.4458161419996,-1.1264832
A81030,5887.423416184636,2228.3525739590705,-1.1264832
A81031,6014.043746371699,1071.9149807511299,-0.9921656
A81032,6427.947425656606,712.5114579468417,-0.5361105
A81033,57.77612089226484,-382.9405368015151,-1.1398108
A81034,11695.227410194575,1086.8898210480804,0.048431348
A81035,3797.817332771074,92.07079962863347,-1.1264832
A81036,11472.694223606999,649.2365709762665,0.048431348
A81037,2580.606464421578,91.468030044798,-1.1264832
A81038,246.46726490924988,333.4797523165669,-1.1264832
A81039,4498.9063419601125,990.9400480071837,0.048431348
A81040,3162.8560495218653,421.675769953294,0.048431348
A81041,3765.8778298970083,353.2807461057437,-0.9921656
A81042,7391.8498910214785,3863.9046683694132,-1.1264832
A81043,4269.589572712104,-388.9105156114511,-1.1350391
A81044,12956.508942934679,1916.6459577267462,-0.9921656
A81045,4432.3150264702745,-370.07117810706575,-0.5361105
A81046,6052.734117896309,434.07111191497376,0.048431348
A81047,1971.959757264544,-1664.0629118793988,-0.45731315
A81048,4298.990397992944,1343.8002318183637,-0.5361105
A81049,2784.5873708333247,258.0950418685221,-1.1264832
A81051,2260.702697896863,338.61495339977995,-1.1264832
A81052,5265.126263951971,1180.9024151342328,-0.5361105
A81053,4631.614124649973,-2.9923029218316244,-0.5361105
A81054,4974.285003453355,505.6475106031742,-0.5361105
A81056,-459.99168007245726,69.40683941795184,0.048431348
A81057,3762.8692061988436,1049.6683966575424,0.048431348
A81058,3066.3618722703063,1099.595284462389,-1.1264832
A81060,723.3774336647152,925.236571932708,-0.9921656
A81063,2430.766431507674,527.2478394900985,-0.9921656
A81064,784.3944018572879,534.3733281340623,-1.1264832
A81065,651.8153765300412,29.179509109792413,-1.1264832
A81066,1244.9059912125936,444.8927497885116,0.048431348
A81067,4360.139896155822,1100.9269023335996,0.048431348
A81068,-2770.711988845142,-135.4499770006381,-0.9596795
A81069,-926.2255667216074,-235.85297748181065,-0.4553117
A81070,62.32559108727095,1177.0612516968654,-0.9921656
A81602,238.98988694993378,37.275425427978846,0.048431348
A81605,-1635.8448620099211,-627.2819460838665,-0.45531172
A81608,1471.0951739154573,2569.682829133389,0.048431348
A81609,-1606.8260367940152,106.92349714569137,0.08508235
A81610,3041.843163144225,319.49669548239075,0.048431348
A81611,1498.879260887609,1403.5721005775133,-1.1264832
A81612,-228.52684790879994,285.91039698709494,-0.9921656
A81613,-1075.094362749744,-455.49288072789193,-0.95967954
A81618,4880.430846135656,1697.0291084774865,-0.5361105
A81620,-2729.277243412602,-500.3734364475691,0.08508235
A81621,-913.843686480093,400.1599731554401,-1.1264832
A81622,1128.5952042817414,400.689641292928,-0.9921656
A81623,-1625.5271701422284,85.60099721838083,0.08508235
A81629,1217.0168185670075,1046.7323515166975,0.048431348
A81630,-2174.7510439684893,139.60617315160323,0.039991405
A81631,1772.7765956023893,932.1938084386755,-0.9921656
A81632,-2337.582427482001,-57.712765147963104,0.058641054
A81633,-2438.7615629118877,24.71577994632607,-1.136403
A81634,-2193.4813768997406,172.63248964819545,0.048431348
A82003,3675.25151876283,499.62822668509114,-0.9382303
