,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,43.02187522170086,58.68260026756608,0.05778922
A81002,2426.640680391142,371.9237251911731,0.05778922
A81003,187.04102916366136,52.97801840220827,-0.95450646
A81004,654.7300173695608,216.702891576113,0.05778922
A81005,538.6571057663728,114.52200139929886,-0.49213067
A81006,1786.6684202311135,600.475920682232,0.05778922
A81007,945.5375978616738,258.93509909386347,-0.98023367
A81008,195.10660032580867,-84.71833457295251,-1.1349545
A81009,661.9257209072603,-15.176628613186347,-1.1349545
A81011,1151.2595156398295,322.4376714437654,-0.98023367
A81012,584.6271413562985,206.51869444576673,-1.1349545
A81013,457.70981159827846,169.611918023819,-0.49213067
A81014,131.68400686506203,15.313410597047652,0.05778922
A81015,0.7310013681700652,2.400590827067697,-0.46428925
A81016,922.6475974330198,145.94770155190096,-1.1349545
A81017,1882.4716826531417,214.4464893928895,0.05778922
A81018,1104.5020582378693,552.089508057041,-0.49213067
A81019,1407.9982756071824,152.52616773887064,-1.1349545
A81020,600.030417692296,146.91121211649747,-1.1349545
A81021,1712.1069115623964,183.5124154814767,-1.1349545
A81022,1140.897362442916,67.5538126273084,-0.49213067
A81023,397.99349740589344,79.04040308818512,-1.1349545
A81025,53.741840898873,51.64315924168967,0.05778922
A81026,1775.6264978265458,398.9017356536835,-1.1349545
A81027,793.3747230855075,272.5722409135863,0.05778922
A81029,391.46080745507896,187.13994593904195,-1.1349545
A81030,864.2786052144762,289.0594514146012,-1.1349545
A81031,1264.566198341338,348.992611548596,-0.98023367
A81032,1115.7746979858766,145.02247311767633,-0.49213067
A81033,97.0368252325304,-44.44233161909572,-1.1349545
A81034,2695.8054196224434,332.4533212749009,0.05778922
A81035,1012.188351444328,91.58622276475735,-1.1349545
A81036,2032.3898369422961,257.51092236554575,0.05778922
A81037,705.4126859876671,62.76830509135408,-1.1349545
A81038,123.76771003565918,76.74149880354302,-1.1349545
A81039,621.6461013556402,168.16947116251467,0.05778922
A81040,838.7044374825393,208.89784154980217,0.05778922
A81041,600.8016354031655,91.08311562232309,-0.98023367
A81042,1499.6514557354465,761.3493290278329,-1.1349545
A81043,944.0343891728518,212.57046938640102,-1.1349545
A81044,2325.071843550706,668.260940199982,-0.98023367
A81045,804.9404728537642,118.74512870689138,-0.49213067
A81046,1334.2047208553154,182.6395526208839,0.05778922
A81047,5.903104772349291,-152.16635061636802,-0.44925192
A81048,346.2830590034676,230.35875410421986,-0.49213067
A81049,556.110700454803,130.3742637361195,-1.1349545
A81051,377.7185727558926,147.6607444610958,-1.1349545
A81052,774.3972006851654,263.60516294242626,-0.49213067
A81053,736.4831594677696,91.44107392491198,-0.49213067
A81054,577.7799930986968,-7.91754972882334,-0.49213067
A81056,-223.29912986140087,64.85085729422899,0.05778922
A81057,835.9050329942149,235.00635667881886,0.05778922
A81058,657.1794876342674,196.73253310153586,-1.1349545
A81060,211.3095342482466,157.16511731721738,-0.98023367
A81063,357.8159800988138,100.99215826902221,-0.98023367
A81064,390.9385564250281,246.46304367826022,-1.1349545
A81065,180.4232530624983,71.36167221516415,-1.1349545
A81066,125.7275578594474,63.04254176752836,0.05778922
A81067,1284.4269987614875,361.45066277313197,0.05778922
A81069,-245.97711831877874,-73.27111100902283,-0.44925192
A81070,100.67295333889975,343.0456497298679,-0.98023367
A81602,-72.76532395196655,30.996604978368723,0.05778922
A81605,-303.84452286831487,-69.50833787629273,-0.44925192
A81608,210.7894772890095,362.56910532173333,0.05778922
A81609,-235.481427088717,43.23995583524601,0.092092216
A81610,643.1925895945916,109.05566335119391,0.05778922
A81611,205.7749059410398,251.4216204500848,-1.1349545
A81612,-99.87308891086694,62.086503951254954,-0.98023367
A81613,-113.52263654243346,-3.775016352885259,-0.95450646
A81618,616.5372806274418,198.85101929669437,-0.49213067
A81621,-25.52646901582129,92.09122484426699,-1.1349545
A81622,277.05887345485735,158.68319463735855,-0.98023367
A81623,-196.72040924782434,52.79216357867788,0.09209221
A81629,340.6567394371404,259.1894855341068,0.05778922
A81630,-304.5264519288496,-13.176059081146445,0.05778922
A81631,352.64022126686683,185.4691017965932,-0.98023367
A81632,-377.5230080078166,-78.62822097071728,0.06352127
A81633,-446.3102522765448,-7.877766429916876,-1.1349545
A81634,-380.3584094889242,36.47770052390724,0.05778922
A82003,695.1517575047076,206.4983904194819,-0.84623766
A82004,-212.63680875073882,-14.160988702630313,0.70740217
A82005,5.180776399624554,103.44959391433844,1.4274077
A82006,73.35621458268157,42.61222071465946,0.70740217
A82007,1075.2385693607775,153.26971849264922,-0.84623766
A82008,1234.4822205483376,66.69495338324177,-0.84623766
A82009,1091.125600501897,74.61976246452679,-0.84623766
A82010,335.34180858743304,53.52841157583982,-0.84623766
A82011,-54.63174879048062,10.382824836056614,-0.8462376
A82012,1569.0485556506503,278.8428760126256,-0.07120433
A82013,259.29443210955935,116.05198073406967,0.70740217
A82014,-19.619777405453718,27.08837188041494,-0.060841966
A82015,121.1764838206524,38.07608102451869,-0.07120433
A82016,2527.9425142156756,1536.0188707020066,-0.07120433
A82017,1103.5505563526926,103.17982932375209,-0.088355824
A82018,537.2590967993344,79.65185503232797,-0.07120433
A82019,406.22552109926033,121.04349099846186,-0.07120433
A82020,914.3126723646795,186.54733006124147,-0.07120433
