,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,41.59811560363723,58.47803746949981,0.05778922
A81002,2425.2150887966864,371.7173997118824,0.05778922
A81003,183.9601824320758,52.29938293336849,-0.95450646
A81004,653.0901546101169,216.46651598917114,0.05778922
A81005,536.180515472269,114.23127494505478,-0.49213067
A81006,1785.2404890399753,600.264029633177,0.05778922
A81007,942.4424266338607,258.2621699269324,-0.98023367
A81008,194.87096214222566,-86.42656803257563,-1.1349545
A81009,660.9680569563737,-17.54001201316571,-1.1349545
A81011,1148.1638560411707,321.76388577919556,-0.98023367
A81012,583.6674370987595,204.15089001486288,-1.1349545
A81013,455.38480989915456,169.5415235534478,-0.49213067
A81014,130.26067738313876,15.109844943917722,0.05778922
A81015,-1.737141127580796,1.7898881752506741,-0.46428925
A81016,921.6885842109291,143.58167504378315,-1.1349545
A81017,1880.8323578781537,214.21236576804097,0.05778922
A81018,1102.0525627359568,551.4957656272338,-0.49213067
A81019,1407.0394074065289,150.16088718581273,-1.1349545
A81020,599.0712597463117,144.54458669601186,-1.1349545
A81021,1711.147890939482,181.14708344701063,-1.1349545
A81022,1138.5719828081071,67.49996714445,-0.49213067
A81023,397.03486894495273,76.67472516529567,-1.1349545
A81025,52.31814955052279,51.438751691085585,0.05778922
A81026,1774.665553366198,396.5323576814755,-1.1349545
A81027,791.6918806248058,272.35152219273414,0.05778922
A81029,390.50119726700945,184.7721683491444,-1.1349545
A81030,863.318271334744,286.69055574733545,-1.1349545
A81031,1261.4703460188537,348.31851679026823,-0.98023367
A81032,1113.2980747551817,144.73219563514456,-0.49213067
A81033,96.07431135348784,-46.80966195745271,-1.1349545
A81034,2694.165369007516,332.21838134716467,0.05778922
A81035,1011.2298682776795,89.22140729543587,-1.1349545
A81036,2030.9651153018074,257.3060975897782,0.05778922
A81037,704.4543344813327,60.4034944252382,-1.1349545
A81038,122.8089867952716,74.37537202428636,-1.1349545
A81039,620.0066641796511,167.9339734777449,0.05778922
A81040,837.27965289924,208.6918086018178,0.05778922
A81041,597.7078389590753,90.4128083877802,-0.98023367
A81042,1498.6871125332736,758.9724540626701,-1.1349545
A81043,943.074781616267,210.2031945449083,-1.1349545
A81044,2321.973546915112,667.5825864183851,-0.98023367
A81045,802.4947755358177,118.1592173872581,-0.49213067
A81046,1332.7803829486083,182.4349181183103,0.05778922
A81047,3.614867701025551,-152.19234619469142,-0.44925192
A81048,343.9558700033762,230.30033478373755,-0.49213067
A81049,555.151673756849,128.00787872290346,-1.1349545
A81051,375.2267047561384,147.09216161744266,-1.1349545
A81052,771.9501786077514,263.01639874722986,-0.49213067
A81053,734.1589832169914,91.37269074443255,-0.49213067
A81054,575.3353471080702,-8.501423190615098,-0.49213067
A81056,-224.7230576072577,64.6456963172093,0.05778922
A81057,834.4800107853788,234.79981441562944,0.05778922
A81058,654.3517913786603,195.2810485862764,-1.1349545
A81060,208.21497516165098,156.4928331322287,-0.98023367
A81063,354.72199148623093,100.32122257719381,-0.98023367
A81064,389.97840877332703,244.09411933765568,-1.1349545
A81065,179.46460242578573,68.99575125415656,-1.1349545
A81066,124.04818039514765,62.79711135982116,0.05778922
A81067,1283.0010205183557,361.242485040477,0.05778922
A81069,-248.46624396096237,-73.90011051475682,-0.44925192
A81070,97.57666423853854,342.36957630170866,-0.98023367
A81602,-74.18888164914826,30.792368658262,0.05778922
A81605,-306.19109380003965,-70.02581004455413,-0.44925192
A81608,209.3630363291069,362.35897479871187,0.05778922
A81609,-236.984507490142,42.96373934720171,0.092092216
A81610,641.7686267864568,108.85120715685721,0.05778922
A81611,202.94652412090906,249.96826767174008,-1.1349545
A81612,-102.96691812236081,61.41549645197336,-0.98023367
A81613,-116.74510309994835,-4.568921258433256,-0.95450646
A81618,614.2104908929217,198.79369465581328,-0.49213067
A81621,-26.485394201124407,89.72453304831062,-1.1349545
A81622,273.96432833656047,158.01099939661395,-0.98023367
A81623,-198.25170143752973,52.49356919226341,0.09209221
A81629,339.231289451184,258.9815853600184,0.05778922
A81630,-305.94970728669153,-13.37985909350499,0.05778922
A81631,349.545465430626,184.79652514328413,-0.98023367
A81632,-378.91469131350283,-78.7970288095882,0.06352127
A81633,-447.268449500156,-10.243284226959055,-1.1349545
A81634,-381.78214648922625,36.27280505966984,0.05778922
A82003,692.3178112997705,206.3355429144778,-0.84623766
A82004,-213.41618578876347,-14.253015093411948,0.70740217
A82005,5.413280008878298,103.46971950823745,1.4274077
A82006,72.5743087320581,42.51804037094639,0.70740217
A82007,1072.3906554659297,153.10392237503837,-0.84623766
A82008,1231.6351578214926,66.53111587301537,-0.84623766
A82009,1088.2784055749985,74.45551402819834,-0.84623766
A82010,332.49448607093115,53.36321106014959,-0.84623766
A82011,-57.98769962544018,9.80075886971403,-0.8462376
A82012,1567.1807719274357,278.92907303440813,-0.07120433
A82013,258.50667065630137,115.95721757876673,0.70740217
A82014,-21.477727625653316,27.077881285769056,-0.060841966
A82015,119.26847565260016,38.039540466145176,-0.07120433
A82016,2526.021954908553,1535.957726872794,-0.07120433
A82017,1101.5610473677475,103.04680180008057,-0.088355824
A82018,535.3508875098698,79.61525986974166,-0.07120433
A82019,404.3168817213706,121.00586067198194,-0.07120433
A82020,912.4209373568351,186.58468160973425,-0.07120433
A82021,1143.047389526873,651.3800483127912,-0.060841966
A82022,27.502094981282262,8.084948626110307,-0.07120433
A82023,267.1820151150499,202.14783156444378,-0.5868212
A82024,190.0370975810726,31.388995959939336,-0.5868212
A82025,417.3207352744143,79.58848299235686,1.4274077
A82026,1252.7724046986725,210.22141812492083,1.4274077
A82027,762.5661992762274,-87.60416698865558,1.4274077
A82028,228.52453038468116,184.99200167422055,-0.060841966
A82029,-79.03249480467093,59.59068278079668,-0.060841966
A82030,156.21595041272067,22.263599509045477,0.030275362
A82031,-155.20826636514556,34.543986530844634,0.70740217
A82032,1881.1163212567594,264.2998617808775,-0.060841966
A82033,690.0183177159722,126.1585839306512,-0.84623766
A82034,249.99850128136754,10.935764254426047,1.4274077
A82035,772.6231441811073,14.31346934375513,0.70740217
A82036,482.3685060604366,104.65860979363919,0.70740217
A82037,94.41982331776792,73.62598171562497,-0.060841966
A82038,-101.79586073076071,40.681205738766174,0.70740217
A82039,331.5115892309471,91.31515262330355,-0.84623766
A82040,-66.38205920125299,-113.07751799400194,-0.62969995
A82041,1166.0158404791318,187.92007937350382,-0.5868212
A82044,3080.94593251132,829.0681910779982,-0.5868212
