,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,42.204952504752924,58.638848730706854,0.05778922
A81002,2425.8235399423925,371.8801316542975,0.05778922
A81003,185.50554422770904,52.81195409684846,-0.95450646
A81004,653.773329909082,216.6891230771159,0.05778922
A81005,537.6145746510653,114.89698926907249,-0.49213067
A81006,1785.8517083304657,600.433016674028,0.05778922
A81007,944.0275963337443,258.83376670276556,-0.98023367
A81008,195.8382775941925,-85.04585408334734,-1.1349545
A81009,661.8245661957749,-16.234833212661638,-1.1349545
A81011,1149.7495384885692,322.3364380636909,-0.98023367
A81012,584.5262681510372,205.4610275117932,-1.1349545
A81013,457.19575215953904,170.1196930454367,-0.49213067
A81014,130.86701092140638,15.269536129091854,0.05778922
A81015,-0.34041901194023955,2.6056198022626016,-0.46428925
A81016,922.5465690721139,144.88981122913447,-1.1349545
A81017,1881.5146893933209,214.43241927631178,0.05778922
A81018,1103.3890630468945,552.2583023828745,-0.49213067
A81019,1407.897135201064,151.46817566979885,-1.1349545
A81020,599.9294701265046,145.85340191834942,-1.1349545
A81021,1712.0057327499283,182.45442255233004,-1.1349545
A81022,1140.281450744215,67.93171950796632,-0.49213067
A81023,397.8925193837524,77.98248276330152,-1.1349545
A81025,52.92490720257449,51.599388637444704,0.05778922
A81026,1775.5255582871423,397.8442316382596,-1.1349545
A81027,792.4433458095089,272.6175828334986,0.05778922
A81029,391.3599590030153,186.08228026137965,-1.1349545
A81030,864.1777606666731,288.0019102173531,-1.1349545
A81031,1263.0562246478273,348.8914129875727,-0.98023367
A81032,1114.7320604842203,145.39739309515141,-0.49213067
A81033,97.03193308470055,-45.40185373136281,-1.1349545
A81034,2694.8483652339287,332.43933111116536,0.05778922
A81035,1012.0872366292144,90.52818356509094,-1.1349545
A81036,2031.5726584041468,257.467156137185,0.05778922
A81037,705.3116128024092,61.710272471465544,-1.1349545
A81038,123.66679699851952,75.68363928552937,-1.1349545
A81039,620.6893646140446,168.15559702776812,0.05778922
A81040,837.887496122249,208.85424962929176,0.05778922
A81041,599.2915203043772,90.98147348266869,-0.98023367
A81042,1499.5510133651885,760.2927401453253,-1.1349545
A81043,943.9334343929917,211.51272987133754,-1.1349545
A81044,2323.561985937628,668.1602331041726,-0.98023367
A81045,803.8270386745758,118.91298083957844,-0.49213067
A81046,1333.3876260741479,182.59577963042562,0.05778922
A81047,4.932529402581223,-152.14626402959053,-0.44925192
