,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,45.881277591581565,58.79323727489564,0.058125526
A81002,2429.648914491024,376.03911768250686,0.058125526
A81003,189.57298671522418,54.166366393530836,-0.95450646
A81004,657.7348064034544,218.23931583501036,0.058125526
A81005,541.3162513166046,116.87859466241895,-0.49171028
A81006,1789.5669631681549,601.1526683292436,0.058125526
A81007,947.3255523614796,259.6364137350158,-0.9799814
A81008,199.52650236463901,-82.12062568845153,-1.1349545
A81009,664.8174309726346,-11.777597124736367,-1.1349545
A81011,1153.0074203189,321.7330628172594,-0.9799814
A81012,587.4506427499986,207.65038683143294,-1.1349545
A81013,460.72903610921713,172.13627942137543,-0.49171028
A81014,134.5480679903216,15.55538298617246,0.058125526
A81015,4.100532978970337,4.951909001167838,-0.46411237
A81016,925.4364001384004,145.82886140294693,-1.1349545
A81017,1885.627517288572,220.5319411663677,0.058125526
A81018,1106.9428985954485,551.6199243258803,-0.49171028
A81019,1410.8307988729134,153.6768613897029,-1.1349545
A81020,602.8173701011526,146.84462142558536,-1.1349545
A81021,1714.9871996976494,186.12471945583692,-1.1349545
A81022,1143.765871169679,69.436719670092,-0.49171028
A81023,400.7728402072096,78.80789334749805,-1.1349545
A81025,56.64909720021172,53.32932836931944,0.058125526
A81026,1778.4119505434103,398.3205269707692,-1.1349545
A81027,796.5274045722649,275.21857852977007,0.058125526
A81029,394.25028934993685,187.2218462306248,-1.1349545
A81030,867.0414094608811,288.07452133880724,-1.1349545
A81031,1266.3462034262466,349.3011290222608,-0.9799814
A81032,1118.4518571897095,147.763798917004,-0.49171028
A81033,100.70902426459352,-43.35163932834845,-1.1349545
A81034,2698.9096166112035,336.5258990394303,0.058125526
A81035,1015.064937632368,94.3414837348058,-1.1349545
A81036,2035.4492200934928,263.474960254413,0.058125526
A81037,708.1947747863073,62.521567447832275,-1.1349545
A81038,126.53438982590451,76.18836985276604,-1.1349545
A81039,624.6781196963641,170.62531020716477,0.058125526
A81040,841.6552249834975,211.71099547454594,0.058125526
A81041,602.5918995100545,92.01628454704583,-0.9799814
A81042,1502.3642244130826,758.3941851825895,-1.1349545
A81043,946.8299717871317,212.65397732919604,-1.1349545
A81044,2326.885047201301,669.2255822436971,-0.9799814
A81045,807.4443088457226,120.54698956549092,-0.49171028
A81046,1337.1062194441786,183.65867281034383,0.058125526
A81047,9.84511349581604,-149.2571708809583,-0.44925192
A81048,349.14139404288085,232.15222538492094,-0.49171028
A81049,558.9172037462876,130.97115268428198,-1.1349545
A81051,380.0480962798453,149.6214576814862,-1.1349545
A81052,776.8862982158794,264.9020579126614,-0.49171028
A81053,739.436660869077,91.71640428005868,-0.49171028
A81054,580.292868042901,-5.711758225780248,-0.49171028
A81056,-220.41055712358943,66.01570135491113,0.058125526
A81057,838.8215762242279,236.68601988737515,0.058125526
A81058,659.0057369768491,198.222861005197,-1.1349545
A81060,213.06441146282035,157.0549020948984,-0.9799814
A81063,359.5372197729988,99.73284636175352,-0.9799814
A81064,393.7471015485409,247.16150573305146,-1.1349545
A81065,183.21613372964703,71.65362817798561,-1.1349545
A81066,128.79186757733527,64.27379077227329,0.058125526
A81067,1287.3308800363013,362.5291342597914,0.058125526
A81069,-243.29617600546177,-71.68033735115102,-0.44925192
A81070,102.40187371096208,342.08031580842317,-0.9799814
A81602,-69.8744645806721,32.19085756507003,0.058125526
A81605,-301.3990372511052,-69.74281630250148,-0.44925192
A81608,213.69114471466864,363.95192127728546,0.058125526
A81609,-232.29890695298843,44.18075211377158,0.092092216
A81610,646.0653956166869,109.38684253632834,0.058125526
A81611,207.53341975176693,250.82606594451462,-1.1349545
A81612,-98.0889525474626,63.06998970493846,-0.9799814
A81613,-111.83859151055724,-4.192275278084495,-0.95450646
A81618,619.41025121655,201.03848755278523,-0.49171028
A81621,-22.749222163025177,91.93586768935117,-1.1349545
A81622,278.78757667318945,157.68652723271174,-0.9799814
A81623,-193.76650398042324,53.47958361832046,0.092092216
A81629,343.5026720963586,258.71015227418405,0.058125526
