,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,45.72990108624176,58.74643065661776,0.058125526
A81002,2429.497793201,375.99391244555534,0.058125526
A81003,189.36682524064753,54.28283945492489,-0.95450646
A81004,657.4349838291924,218.24997961863795,0.058125526
A81005,540.8791412914921,116.92220755970968,-0.49171028
A81006,1789.415196818357,601.1055082515708,0.058125526
A81007,947.0073415996151,259.6661684760383,-0.9799814
A81008,199.49560353773268,-82.34880058306092,-1.1349545
A81009,664.8385573392402,-11.941509097997779,-1.1349545
A81011,1152.6891670628213,321.7627850986653,-0.9799814
A81012,587.4713340108259,207.48529399546214,-1.1349545
A81013,460.07527468083407,172.2927800454985,-0.49171028
A81014,134.39680323742718,15.508906395969966,0.058125526
A81015,3.6138502349022605,4.829493128617165,-0.46411237
A81016,925.4573260217443,145.66452045996724,-1.1349545
A81017,1885.3281255397537,220.54422160357336,0.058125526
A81018,1106.5943494089618,551.6307550812508,-0.49171028
A81019,1410.851882165805,153.51312540850068,-1.1349545
A81020,602.8381797823246,146.67984776814274,-1.1349545
A81021,1715.0083304781158,185.96122726842148,-1.1349545
A81022,1143.1167648665264,69.59556724923047,-0.49171028
A81023,400.79370470845464,78.64318616222451,-1.1349545
A81025,56.49773466209111,53.28256287703249,0.058125526
A81026,1778.4327095408412,398.1560761190147,-1.1349545
A81027,796.1993724308387,275.3200877782927,0.058125526
A81029,394.2709501092006,187.0565976407857,-1.1349545
A81030,867.0620503638764,287.9094039673109,-1.1349545
A81031,1266.0279391086406,349.33086609399896,-0.9799814
A81032,1118.0148942793187,147.80802519800878,-0.49171028
A81033,100.51962624290175,-43.724651873987376,-1.1349545
A81034,2698.610297518,336.5386877058387,0.058125526
A81035,1015.0859909365503,94.17751463398477,-1.1349545
A81036,2035.2981682637856,263.4297855451529,0.058125526
A81037,708.2157784768671,62.35734786997972,-1.1349545
A81038,126.55516202223917,76.02331195935825,-1.1349545
A81039,624.3783738749294,170.63616414482803,0.058125526
A81040,841.5038463304751,211.6644924268947,0.058125526
A81041,602.2738780308158,92.04640594793959,-0.9799814
A81042,1502.3842165903473,758.2275989135978,-1.1349545
A81043,946.85078109197,212.48933636422146,-1.1349545
A81044,2326.5665642573044,669.2551532194018,-0.9799814
A81045,807.0964544587302,120.55954158601403,-0.49171028
A81046,1336.95506846757,183.61296447537967,0.058125526
A81047,9.177906947057505,-149.13023427194182,-0.44925192
A81048,348.49170385729576,232.30921986420853,-0.49171028
A81049,558.9380273654758,130.80639882869696,-1.1349545
A81051,379.8799623973296,149.58282915003997,-1.1349545
A81052,776.5381647933342,264.9138600447039,-0.49171028
A81053,738.7831476145918,91.87366960141846,-0.49171028
A81054,579.9451677547495,-5.6988869105950775,-0.49171028
A81056,-220.56204140428412,65.9685061994797,0.058125526
A81057,838.67015016327,236.63939035298762,0.058125526
A81058,658.7169567981889,198.07354021519146,-1.1349545
A81060,212.74613112096287,157.0841874605589,-0.9799814
A81063,359.2190978341648,99.76260760488196,-0.9799814
A81064,393.7676507630071,246.9959619265934,-1.1349545
A81065,183.23693443548643,71.48866771642383,-1.1349545
A81066,128.52542241052805,64.33945400813724,0.058125526
A81067,1287.1793790839959,362.48248094586637,0.058125526
A81069,-243.2174453483109,-71.33148795880827,-0.44925192
A81070,102.08321038517724,342.1085452261873,-0.9799814
A81602,-70.02583267553456,32.14402820653918,0.058125526
A81605,-301.5232438801778,-69.54991689728028,-0.44925192
A81608,213.53926069265916,363.9038375582112,0.058125526
A81609,-232.34988270439428,44.21494157761764,0.092092216
A81610,645.9141377752292,109.34058301006318,0.058125526
A81611,207.244381865978,250.67588810271567,-1.1349545
A81612,-98.40716851955155,63.09932439999294,-0.9799814
A81613,-112.15725400645054,-4.167183745013348,-0.95450646
A81618,618.7607146046082,201.19599324595583,-0.49171028
A81621,-22.728532121437127,91.7705344934439,-1.1349545
A81622,278.46931844575596,157.71589662917614,-0.9799814
A81623,-193.71885095947565,53.59292935834618,0.092092216
A81629,343.35102960758877,258.66275782563554,0.058125526
A81630,-301.79860665859366,-12.322162396189986,0.058125526
A81631,354.0941644147936,185.90476517332667,-0.9799814
A81632,-374.5492175310261,-76.63553803593446,0.06381582
A81633,-443.5311170585523,-8.651186240140033,-1.1349545
A81634,-377.64457236817924,36.88974640091354,0.058125526
A82003,697.5385632113083,207.10093174440757,-0.84623766
A82004,-208.01773975645165,-13.291682506046554,0.70773846
A82005,10.211030574358182,103.3079544452188,1.4274079
A82006,77.6581210002718,43.30511362077818,0.70773846
A82007,1077.565327365108,152.20997014072978,-0.84623766
A82008,1236.9351104031607,69.7495468058338,-0.84623766
A82009,1093.5196528996344,75.78495961658211,-0.84623766
A82010,337.72890648434935,54.74106489608727,-0.84623766
A82011,-53.29776580086552,9.582130171058848,-0.8462376
A82012,1572.6858871962434,279.2245994504915,-0.07137248
A82013,263.6021769390464,116.79866049669455,0.70773846
A82014,-15.6965990230408,29.996701702829256,-0.06075789
A82015,124.6921883265087,37.706145659763756,-0.07137248
A82016,2531.3893487295727,1532.2834364687665,-0.07137248
A82017,1107.8109963685515,104.62498989778767,-0.088355824
A82018,540.8526774918416,81.69298633798329,-0.07137248
A82019,409.7730664587135,121.60791769714065,-0.07137248
A82020,917.9516061411099,187.4925730608522,-0.07137248
A82021,1148.5368736865273,648.8675255342703,-0.06075789
A82022,33.09566399310412,9.120469166559268,-0.07137248
A82023,272.8241550228109,200.84056114716745,-0.5872416
A82024,195.55537270665425,32.62090046450574,-0.5872416
A82025,421.807467737049,82.03455121830437,1.4274079
A82026,1257.279185427627,212.98024385909062,1.4274079
A82027,767.0636889023128,-84.85259665049342,1.4274079
A82028,234.19853512821567,184.69922943217452,-0.06075789
A82029,-73.59884926901215,59.64971691487205,-0.06075789
A82030,161.37516919202542,24.003194235922077,0.03052759
A82031,-150.24788747678707,35.14794532907175,0.70773846
A82032,1886.6565553824764,266.51252274264317,-0.06075789
A82033,695.3306683575979,126.50152955920069,-0.84623766
A82034,254.4157418546667,10.200983232856547,1.4274079
A82035,777.7319117694805,16.346997014494015,0.70773846
A82036,487.45672502617987,106.07744104958367,0.70773846
