,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,44.90459049538825,58.5828423321256,0.058125526
A81002,2428.670431874665,375.82764085155605,0.058125526
A81003,188.23281874181777,55.24438146797143,-0.95450646
A81004,656.464496351373,218.0810967705672,0.058125526
A81005,539.9413546115937,117.66192527183684,-0.49171028
A81006,1788.5850344884568,600.9330630063408,0.058125526
A81007,946.4865747640995,261.1244360385412,-0.9799814
A81008,198.01659904382745,-80.02291263668074,-1.1349545
A81009,664.1480195169403,-8.984260575806152,-1.1349545
A81011,1152.1678482218038,323.22004966371065,-0.9799814
A81012,586.7783814059062,210.43752564584597,-1.1349545
A81013,459.3246119962369,172.54966069898174,-0.49171028
A81014,133.5720108553209,15.346441088253236,0.058125526
A81015,2.678696502465563,5.449733888129639,-0.46411237
A81016,924.7652362670044,148.6187445741008,-1.1349545
A81017,1884.3583220623295,220.37753636874461,0.058125526
A81018,1105.7533646897302,552.3338426363616,-0.49171028
A81019,1410.1599878214918,156.46806402512195,-1.1349545
A81020,602.1458928338894,149.63345852572377,-1.1349545
A81021,1714.316261215745,188.9160019458404,-1.1349545
A81022,1142.4101320798754,69.98961704114251,-0.49171028
A81023,400.1020360252666,81.59793855308263,-1.1349545
A81025,55.672489304393515,53.1191156666144,0.058125526
A81026,1777.7383848812715,401.1062524286373,-1.1349545
A81027,795.1710142626531,275.10641345302173,0.058125526
A81029,393.57810664120245,190.00892937355934,-1.1349545
A81030,866.3683904526316,290.86036076866867,-1.1349545
A81031,1265.5063879161028,350.787725707778,-0.9799814
A81032,1117.077107130451,148.54811357668353,-0.49171028
A81033,99.85004526128421,-40.732237202884626,-1.1349545
A81034,2697.6397105891115,336.3709146507558,0.058125526
A81035,1014.3945090512058,97.13304681179035,-1.1349545
A81036,2034.4717952476553,263.26529300445947,0.058125526
A81037,707.5244631592102,65.3130250657895,-1.1349545
A81038,125.86336333778301,78.97762035731328,-1.1349545
A81039,623.4083816126301,170.46827863835935,0.058125526
A81040,840.6773433532206,211.4989638568628,0.058125526
A81041,601.7547227373637,93.50776636676612,-0.9799814
A81042,1501.6858432983183,761.1692696913818,-1.1349545
A81043,946.157981881982,215.44211495116303,-1.1349545
A81044,2326.042169603641,670.7068469196408,-0.9799814
A81045,806.2599530462011,121.27165816121712,-0.49171028
A81046,1336.1291544778967,183.44896644793437,0.058125526
A81047,8.459566082514584,-148.74683850415335,-0.44925192
A81048,347.7828548448645,232.69819934609882,-0.49171028
A81049,558.2458865313449,133.7602818676568,-1.1349545
A81051,379.570794954674,151.09786110382396,-1.1349545
A81052,775.7000865078724,265.62271341665195,-0.49171028
A81053,738.0335144503211,92.13284738020042,-0.49171028
A81054,579.1098989936178,-4.984381116373236,-0.49171028
A81056,-221.38758371678776,65.80426976728583,0.058125526
