,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,54.65745998874974,42.58847377695545,0.055376776
A81002,2367.502170094274,285.8234073311671,0.055376776
A81003,191.00394171986102,51.051534763112535,-0.95450646
A81004,639.4042218564356,168.0114001133404,0.055376776
A81005,503.4544656469206,66.13363321742236,-0.5301928
A81006,1682.7887382124914,431.1902221016187,0.055376776
A81007,901.8138795374413,199.47856584700264,-0.9870497
A81008,201.88937994217156,-79.2536008283727,-1.1349545
A81009,624.1669038731078,-52.51638436639692,-1.1216034
A81011,1183.3119108473904,340.05053553461914,-0.9870497
A81012,513.8570448018411,117.58009450397572,-1.1216034
A81013,493.05640885582284,205.25511838876855,-0.5301928
A81014,193.1037949133532,54.645706664685925,0.055376776
A81015,14.756413683615774,8.664672879196784,-0.4624096
A81016,938.6956428414873,166.160912349085,-1.1216034
A81017,1737.3671628657175,22.083602072732518,0.055376776
A81018,963.7890672920328,367.62037165978495,-0.5301928
A81019,1310.9035314196694,40.19318421759665,-1.1216034
A81020,549.439877209782,78.47827378895556,-1.1216034
A81021,1952.622821705218,546.9423301370434,-1.1216034
A81022,1053.5512737570095,-42.38727954787882,-0.5301928
A81023,400.9679059842885,81.294084066798,-1.1216034
A81025,74.92804523193233,45.69767445800948,0.055376776
A81026,1815.4198491391921,425.78663107471704,-1.1216034
A81027,758.0408806318483,208.80633807520772,0.055376776
A81029,343.7016769155114,125.34313029571068,-1.1216034
A81030,937.6961749697624,375.6702082470135,-1.1216034
A81031,1300.0055132241382,384.6118352893082,-0.9870497
A81032,1159.6001653125402,176.0662721141374,-0.5301928
A81033,101.34569936040144,-43.92546463247036,-1.1349545
A81034,2597.8812666574145,194.88941003544917,0.055376776
A81035,937.7245688028299,5.856173352210947,-1.1216034
A81036,2002.3415660878165,184.615308785851,0.055376776
A81037,677.9030606026871,30.181271539799535,-1.1216034
A81038,115.19160098883955,59.18048328417454,-1.1216034
A81039,683.7410622037111,223.72781258002107,0.055376776
A81040,812.8199404562049,151.00150889679787,0.055376776
A81041,635.302845640206,130.82630763557637,-0.9870497
A81042,1439.8216933950416,641.006574221485,-1.1216034
A81043,852.2393629477851,100.6637767834154,-1.1310791
A81044,2153.796482014686,454.42218262990065,-0.9870497
A81045,687.4639953706514,-24.49485874448157,-0.5301928
A81046,1257.7721391485456,63.92924311541674,0.055376776
A81047,21.793337372141213,-145.7633898183045,-0.4492519
A81048,283.1699126718344,130.76655258290148,-0.5301928
A81049,454.28728901661106,8.87924276284689,-1.1216034
A81051,343.491959991731,112.66880567122755,-1.1216034
A81052,809.6752504761822,295.8667258956099,-0.5301928
A81053,685.9077896497861,6.606303818125128,-0.5301928
A81054,614.978709147711,34.91853372425025,-0.5301928
A81056,-218.372347005858,43.88311479997611,0.055376776
A81057,874.5845695760646,259.1669497602858,0.055376776
A81058,650.917733085799,180.15088560466094,-1.1216034
A81060,237.5475851252844,180.14488333371244,-0.9870497
A81063,339.94185864444586,70.24169233911134,-0.9870497
A81064,333.98571966782663,176.60614528758904,-1.1216034
A81065,126.97034021621312,8.136034720831221,-1.1216034
A81066,155.20391333669048,71.42233836030391,0.055376776
A81067,1290.0704227704057,319.69035210663844,0.055376776
A81069,-229.23464018615044,-69.36287470847402,-0.44925192
A81070,37.52059165104154,240.97102603965305,-0.9870497
A81602,-64.22091150180472,13.71615246944694,0.055376776
A81605,-290.8608256271282,-75.39576297280986,-0.44925192
A81608,337.53203721766835,498.81917809617096,0.055376776
A81609,-206.45020320919554,59.83704986115001,0.092092216
A81610,627.7055150827842,58.377968605117985,0.055376776
A81611,215.974739659237,258.72271442425705,-1.1216034
A81612,-107.97417030781142,47.06824775586282,-0.9870497
A81613,-108.81288161518063,-4.419925480873087,-0.9545064
A81618,632.1513172084407,207.71650775144906,-0.5301928
A81620,-491.3647029102816,-61.24373028168332,0.092092216
A81621,-12.855530249970329,96.52396939535724,-1.1216034
A81622,262.0550876309847,124.5618516257701,-0.9870497
A81623,-171.5617076096822,57.23061761366112,0.092092216
A81629,340.28070858774436,238.3926512435618,0.055376776
A81630,-249.1502351951334,27.200254679012826,0.046922
A81631,416.988652898224,256.3330210523709,-0.9870497
A81632,-354.46632783583107,-59.31376685024715,0.066695824
A81633,-429.22825871827985,7.851143251533113,-1.1320083
A81634,-347.0315989764609,37.40256492690175,0.055376776
A82003,628.9580031843924,102.29852326928143,-0.9330196
A82004,-168.6136552105901,-5.807385789588468,0.6849631
A82005,38.52021237002282,78.97314778132647,1.2872214
A82006,79.85991685457896,7.495358977524063,0.6849631
A82007,1099.8536184518518,172.0833439509849,-0.9330196
A82008,1217.4072701607756,33.973571396651145,-0.9330196
A82009,1040.2600482892053,7.584399495013311,-0.9330196
A82010,299.869462238088,9.833461154731612,-0.9330196
A82011,-47.25789355743101,8.347810932478273,-0.8462376
A82012,1482.8585266667285,141.29157337550743,0.07352589
A82013,255.58457491979925,71.22377219082179,0.6849631
A82014,-33.38292495140821,-11.48751361983709,-0.076465026
A82015,194.00597246949295,126.09640334832046,-0.07333587
A82016,2281.6123575059005,1169.2781885634517,0.07352589
A82017,1122.7096247589798,95.02627089943189,-0.088355824
A82018,536.7297486284019,53.59577767019081,-0.07333587
A82019,378.3454180395251,55.6913478868125,-0.06883566
A82020,945.4354645610711,193.7759445852488,-0.07333587
A82021,1042.4183677828603,455.13519004079757,-0.076465026
A82022,62.095586485397334,21.89257385468731,-0.07333587
A82023,259.2247044409871,175.37022586201326,-0.48200375
A82024,208.9163621294856,39.24621217563636,-0.48200375
A82025,491.7304375409879,115.1217182609649,1.2872214
A82026,1218.218849051979,105.82592928467153,1.2872214
A82027,838.0317765155543,-49.83755648907236,1.2872214
A82028,216.6015327081492,131.43733996724936,-0.076465026
A82029,-68.03447556993146,40.69527007350583,-0.076465026
A82030,199.1765157768311,44.28867991832843,0.07018812
A82031,-129.9205442894576,23.15536722518086,0.6849631
A82032,1732.8550991682357,55.12196361510351,-0.076465026
A82033,652.5212882853156,66.3884950258923,-0.9330196
A82034,252.66259800280827,-42.36732665790628,1.4274077
A82035,780.2699558502967,-11.797001639158838,0.6849631
A82036,490.88903649380796,71.32480648940998,0.6849631
A82037,98.3395025174929,52.18544940663305,-0.076465026
A82038,-78.15022379111122,21.73289752448406,0.6849631
A82039,286.02686089718674,26.55321952764236,-0.9330196
A82040,-49.28649094758279,-107.67147322728472,-0.62969995
A82041,1196.7474853822227,238.80628629869793,-0.48200375
A82044,2875.135526836703,466.2513432065032,-0.48200375
A82045,612.4927836779461,122.71989001160185,-0.076465026
A82046,-20.85759703505514,-6.446287822333225,1.2872214
