,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-84.50988304096147,-1.803163557266182,0.05242263
A81002,717.8580834089317,-85.1889249569163,0.05242263
A81003,-77.12057809845834,6.381933378368417,-0.95930564
A81004,186.24617829036185,26.962813848285833,0.05242263
A81005,101.53794951713186,-19.10355856014524,-0.49692252
A81006,422.7211507227961,-3.065556438266917,0.05242263
A81007,175.75578644391584,5.821097909667945,-0.9847579
A81008,-71.72538030890479,-45.29287953477094,-1.1395926
A81009,145.7313848522862,-59.43407208038902,-1.1395926
A81011,305.01647664967476,-22.573003210884657,-0.9847579
A81012,22.386482941964346,1.6013698125692102,-1.1395926
A81013,-2.974106422855216,-16.834334263693613,-0.49692252
A81014,-113.30661097624582,-41.713389346508215,0.05242263
A81015,-173.5324525568834,-30.913041838945535,-0.46934918
A81016,176.67523240441312,-77.84829271497544,-1.1395926
A81017,663.9657250608989,-320.6899708163173,0.05242263
A81018,300.57182705500156,184.3814382534086,-0.49692252
A81019,275.0306480498567,-33.12837070888869,-1.1395926
A81020,184.93926264600472,-26.41097946084617,-1.1395926
A81021,565.0672759374268,-43.501437502661894,-1.1395926
A81022,245.68692338838747,-76.42671765340548,-0.49692252
A81023,29.951990746291646,-38.93717518874493,-1.1395926
A81025,-99.00219167703845,-47.815071820792525,0.05242263
A81026,579.977133622379,-28.34439150392297,-1.1395926
A81027,346.6697331231679,58.83493115766145,0.05242263
A81029,-59.02190349937308,-28.887405705229753,-1.1395926
A81030,522.9492921344091,65.98147288656745,-1.1395926
A81031,454.93374106840895,-5.394130883359418,-0.9847579
A81032,363.72332159273816,-0.353381844136405,-0.49692252
A81033,-154.51664088975394,-46.487081747696486,-1.1395926
A81034,820.5598772415788,-286.97476635864683,0.05242263
A81035,113.66955187936769,-205.8838244913819,-1.1395926
A81036,615.5655908875744,-138.56768385267029,0.05242263
A81037,149.03717895779548,-82.14953826422934,-1.1395926
A81038,-67.07330325687224,-11.417311393883928,-1.1395926
A81039,240.0555021579186,-5.2334805876253565,0.05242263
A81040,178.03453505021523,-38.75963080604955,0.05242263
A81041,210.61960933889966,-15.717304758792531,-0.9847579
A81042,330.7751112298144,210.76247274467815,-1.1395926
A81043,217.91066103759073,-4.02186057550551,-1.1395926
A81044,565.9704819180636,-90.58757726734547,-0.9847579
A81045,183.86049139001148,-89.24361791973963,-0.49692252
A81046,289.66294555987963,-68.07888843330294,0.05242263
A81047,-39.84507476387079,-86.33750796755417,-0.45684338
A81048,44.114417642249585,45.78866045241728,-0.49692252
A81049,86.95407053648407,-13.787528924808504,-1.1395926
A81051,116.05752031039079,-40.31880899376982,-1.1395926
A81052,223.2103513882508,10.036733078518735,-0.49692252
A81053,145.0186754402523,18.822557867544216,-0.49692252
A81054,147.1820769418422,-29.64480425874069,-0.49692252
A81056,-185.74885621532127,-7.35469534631901,0.05242263
A81057,195.36327781359242,-38.92602534382206,0.05242263
A81058,205.8253437973599,48.88915896512976,-1.1395926
A81060,56.46213230615339,23.361738771414657,-0.9847579
A81063,-42.884345793938735,-59.629843332148845,-0.9847579
A81064,20.571779282228515,-39.632609325100795,-1.1395926
A81065,-45.63657576373755,27.37618751206508,-1.1395926
A81066,-71.2140236386738,-42.58118490324547,0.05242263
A81067,221.22634337987608,-10.164792488176529,0.05242263
A81069,-179.38284705809198,-13.089413899695769,-0.454502
A81070,-77.19620462026711,104.94058926751003,-0.9847579
A81602,-161.77724706048286,-2.1890728683580507,0.05242263
A81605,-216.1092179718033,-22.489866953317016,-0.45450202
A81608,-107.99767126314082,73.14684958742826,0.05242263
A81609,-246.174918898495,-5.3347525621052005,0.08635901
A81610,89.94098512323083,-43.386776548134286,0.05242263
A81611,19.422461325241,51.88743343215764,-1.1395926
A81612,-128.80100515108956,-5.055080083962085,-0.9847579
A81613,-159.89709579819507,-61.67306436506158,-0.9593056
A81618,217.29220284635718,-11.542071830132981,-0.49692252
A81621,-168.4491184000386,-15.487874782711664,-1.1395926
A81622,8.504092873045959,-41.82799484729827,-0.9847579
A81623,-233.6889093208107,-0.39298304595415584,0.08635901
A81629,-48.99276007219509,31.002097830515787,0.05242263
A81630,-237.33149385803435,17.278798067160537,0.05242263
A81631,66.23972204130915,49.12350496915858,-0.9847579
A81632,-266.2334770749539,-21.8231496425391,0.0605495
A81633,-256.70417777866464,8.595805865279706,-1.1395926
A81634,-228.16534678780798,20.419623835757744,0.05242263
A82003,258.1825569786126,22.449908409429256,-0.85113347
A82004,-177.7818702894586,-8.38791229617195,0.70145583
A82005,-3.437934675550928,-18.098997389482886,1.4204829
A82006,-75.80516997032751,-42.59652802454653,0.70145583
A82007,167.42974370841407,-71.99559294934627,-0.85113347
A82008,308.052442411119,-84.56985036344595,-0.85113347
A82009,204.35627530710153,-106.29190097935317,-0.85113347
A82010,24.36493386343149,-109.37210460076615,-0.85113347
A82011,-147.2929909965504,-58.3752079568339,-0.85113347
A82012,630.2297021094773,-20.46362563377109,-0.07695981
A82013,2.3460726265781426,-44.117685255162286,0.70145583
A82014,-97.70974153050469,-15.4081909608195,-0.06635469
A82015,-23.35652949070709,-13.188292473799944,-0.07695981
A82016,1315.1678983387674,593.898541505856,-0.07695981
A82017,501.13915593613706,-141.31064381657828,-0.093928
A82018,294.9499532553444,7.2668436270889885,-0.07695981
A82019,182.74590703787985,-60.24650384311766,-0.07695981
A82020,515.7336023217994,-73.35776582155148,-0.07695981
A82021,366.16473529869836,161.01174836275078,-0.06635469
A82022,-12.617114161574916,-61.27485053400283,-0.07695981
A82023,-48.232129987054364,14.245034603030991,-0.59236854
A82024,31.546359839828554,-57.46078579172569,-0.59236854
A82025,102.21930755087989,18.437112609037964,1.4204829
A82026,327.5244922815089,-9.814104087794155,1.4204829
A82027,141.107351804442,-102.53242504827945,1.4204829
A82028,34.19391945081905,22.673176482023255,-0.06635469
A82029,-132.8075267877237,-11.200196616448363,-0.06635469
A82030,21.885543333138244,-20.880155790245926,0.024849322
A82031,-153.8676805694106,10.63986025376038,0.70145583
A82032,513.1009684388791,-96.82664591995493,-0.06635469
A82033,304.68652436844906,-31.307861049397566,-0.85113347
A82034,85.00398508039875,-33.524404392628355,1.4204829
A82035,333.77515633499087,-153.20666582553898,0.70145583
A82036,78.7814445688753,-41.40065118117135,0.70145583
A82037,-67.71078324727182,-51.56175577076085,-0.06635469
A82038,-134.31029793399202,-0.4608758853442302,0.70145583
A82039,87.69026497166945,-14.764031457033242,-0.85113347
A82040,-100.46582789835828,-44.94225554857781,-0.63478905
A82041,358.3951104217101,-158.85029485378183,-0.59236854
A82044,1152.6859543095916,208.18945428422884,-0.59236854
A82045,142.10533819703954,23.620550245409074,-0.06635469
A82046,-77.61892064172947,-33.49440700037172,1.4204829
A82047,327.32475973968394,42.981036450779925,-0.59236854
A82048,81.03817806422722,13.626691171078129,-0.59236854
A82049,64.94298696110063,70.89835409337786,-0.59236854
A82050,182.16899536469,27.931701923060775,-0.59236854
A82052,48.19415819585531,-123.93786217795974,-0.093928
A82053,-38.808324160641,-49.26303868313714,1.4204829
A82055,73.79409280737048,-15.659768297032791,-0.06635469
A82057,18.31662319541038,9.848863318527592,-0.0578706
A82058,-74.082364550424,-19.887464738947617,-0.59236854
A82060,-120.123468521214,48.138190828443726,-0.6107508
A82062,-21.496572093524513,23.59079821825458,-0.85113347
A82063,-221.9229542843507,-43.39414033164219,-0.0578706
A82064,-17.83384796599612,-45.380695939237235,-0.59236854
A82065,-110.30482311984086,-24.46134358064519,1.4204829
A82068,-78.2254471367997,-8.81028392857736,-0.85113347
A82070,-62.77170970772778,-41.383474773960494,1.4204829
A82071,-65.28585194361669,-19.494119219546995,-0.85113347
A82072,113.4838662169145,33.72240977070758,-0.85113347
A82074,-212.78945889138902,-33.11498949010557,1.4204829
A82075,49.12162293776857,-32.28023576376348,-0.59236854
A82077,201.9608845398044,-84.02169045852801,-0.85113347
A82608,-101.18066603218837,-8.421857895966266,1.4204829
A82613,-231.07896942843664,3.69626887897338,-0.85113347
A82617,-177.77072780931053,3.810634681286475,0.70145583
A82619,-202.97917973607107,6.231471158454622,-0.85113347
A82620,-283.43403587874934,-1.8411718369986954,1.4204829
A82621,-203.5188682468701,-16.19155649267171,-0.85113347
A82623,22.925435343818666,-28.47931593550588,-0.59236854
