,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-84.04212078548086,-3.3902139120327908,0.05208663
A81002,718.3798323131952,-85.23187027002558,0.05208663
A81003,-77.34004028725826,6.241209068761494,-0.95930564
A81004,185.76513736542051,26.36053496317925,0.05208663
A81005,100.80972411139632,-21.28790737177099,-0.49734253
A81006,423.2163753027956,-3.873656348171758,0.05208663
A81007,175.5363533545539,5.752449046166151,-0.9850099
A81008,-74.13185773690415,-48.5094020889308,-1.1395926
A81009,145.19063943176522,-59.57106480551216,-1.1395926
A81011,304.7511742320905,-24.123699958242657,-0.9850099
A81012,21.81989424893941,0.6847225089923399,-1.1395926
A81013,-4.133770080877823,-18.539620231606428,-0.49734253
A81014,-112.81969666139065,-42.69994888354143,0.05208663
A81015,-174.06727386962478,-32.17453079713794,-0.46952593
A81016,176.12630664714925,-78.25456530037623,-1.1395926
A81017,663.45649524395,-322.36194653061426,0.05208663
A81018,300.17205179977276,183.97099746276558,-0.49734253
A81019,274.48984339468507,-33.283079364886405,-1.1395926
A81020,184.37762699067747,-27.207155562645294,-1.1395926
A81021,564.5326141493041,-43.51586257467478,-1.1395926
A81022,244.6810382284173,-77.66374952567264,-0.49734253
A81023,29.37716930555601,-40.126547121323256,-1.1395926
A81025,-98.50601599036852,-48.512714318796554,0.05208663
A81026,579.4769355721772,-27.26676799286236,-1.1395926
A81027,345.9326125826471,58.560906394452765,0.05208663
A81029,-59.571912665832464,-29.27313725836793,-1.1395926
A81030,522.4212193730875,66.21233170088082,-1.1395926
A81031,454.6256481925325,-8.320896028874374,-0.9850099
A81032,363.06472462669296,-0.3756742801728485,-0.49734253
A81033,-155.36954580592416,-47.59147113959746,-1.1395926
A81034,820.1068675666862,-286.88630481447154,0.05208663
A81035,113.16498285571993,-204.90952828245082,-1.1395926
A81036,616.0658455496759,-139.28701712611579,0.05208663
A81037,148.4777066399204,-82.88582410818597,-1.1395926
A81038,-67.63491024546089,-12.163961339565532,-1.1395926
A81039,239.54553417077187,-6.769321249236323,0.05208663
A81040,178.54606691680087,-39.017924965906595,0.05208663
A81041,210.3874276201316,-16.201330633101154,-0.9850099
