,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-83.09484750366768,-1.3619312962902361,0.05242263
A81002,719.2762851200861,-84.74306434241946,0.05242263
A81003,-77.58251831418205,6.351750235689653,-0.95930564
A81004,187.3498622622711,27.22022426061353,0.05242263
A81005,101.99852020710996,-19.121191370063997,-0.49692252
A81006,424.1377495871437,-2.6223341705602086,0.05242263
A81007,175.2927774073694,5.7786090878190866,-0.9847579
A81008,-72.64437907235911,-45.7004382831498,-1.1395926
A81009,145.18605625998234,-59.513599182329855,-1.1395926
A81011,304.5541051054247,-22.614474277290455,-0.9847579
A81012,21.84025694953656,1.5202541584395897,-1.1395926
A81013,-2.482792918947431,-16.825238359228987,-0.49692252
A81014,-111.89132365597582,-41.271542801871206,0.05242263
A81015,-173.19280790620166,-30.66589236487211,-0.46934918
A81016,176.1301553665041,-77.92736486624467,-1.1395926
A81017,665.0738323313135,-320.4243840842723,0.05242263
A81018,300.73992705282745,184.4560295565908,-0.49692252
A81019,274.48549117460146,-33.20787488218071,-1.1395926
A81020,184.39377279758887,-26.49095519665112,-1.1395926
A81021,564.5230951807495,-43.579628229061115,-1.1395926
A81022,246.03384284505452,-76.38580142971567,-0.49692252
A81023,29.406133188969715,-39.01752411732688,-1.1395926
A81025,-97.58680860287618,-47.37305881540683,0.05242263
A81026,579.4328694062792,-28.42280011288915,-1.1395926
A81027,347.91062363804866,59.15813785632883,0.05242263
A81029,-59.568118992069415,-28.968282477864236,-1.1395926
A81030,522.4040499631295,65.90112735838782,-1.1395926
A81031,454.47168208618353,-5.435333049579156,-0.9847579
A81032,364.18453510121367,-0.3703389593151023,-0.49692252
A81033,-155.16083411325354,-46.663620767922,-1.1395926
A81034,821.668176666643,-286.7091856253204,0.05242263
A81035,113.12537250237816,-205.96081204313282,-1.1395926
A81036,616.9839341358411,-138.12124898203095,0.05242263
A81037,148.4920539579151,-82.22863935736211,-1.1395926
A81038,-67.61969219158468,-11.498537166733326,-1.1395926
A81039,241.1596250586535,-4.975275859591203,0.05242263
A81040,179.45068897379502,-38.31670816737953,0.05242263
A81041,210.15689046492457,-15.759266600167043,-0.9847579
A81042,330.2280476961977,210.67874843232826,-1.1395926
A81043,217.36508141651893,-4.102115700827647,-1.1395926
A81044,565.5094884223714,-90.62679918413116,-0.9847579
A81045,184.03056468819932,-89.16450204903359,-0.49692252
A81046,291.07969088516694,-67.63499958886352,0.05242263
A81047,-39.34960203962485,-86.14928529721395,-0.45684338
A81048,44.459679166819214,45.826571908462554,-0.49692252
A81049,86.40817324941912,-13.86811426516341,-1.1395926
A81051,115.32034353731163,-40.40817016709607,-1.1395926
A81052,223.37969953364703,10.114195662214469,-0.49692252
A81053,145.5101382331823,18.8315790982744,-0.49692252
A81054,147.35153035211894,-29.566914715303405,-0.49692252
A81056,-184.33408327465236,-6.913754709481363,0.05242263
A81057,196.77948619562144,-38.48303247753621,0.05242263
A81058,205.20664184747073,48.848430531385716,-1.1395926
A81060,55.99860872716849,23.31846826819545,-0.9847579
A81063,-43.347466598704656,-59.67198950432616,-0.9847579
A81064,20.025898936394967,-39.71298198040482,-1.1395926
A81065,-46.18322949805492,27.29433922643428,-1.1395926
A81066,-69.19910025635276,-42.15861924769583,0.05242263
A81067,222.6423859583526,-9.722222484783197,0.05242263
A81069,-178.10827145833494,-12.065097745602449,-0.454502
