,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-83.04910314249008,-2.0062842972704327,0.05242263
A81002,719.319532727139,-85.38970089087574,0.05242263
A81003,-77.41431028825284,6.372668545821463,-0.95930564
A81004,186.91105362825107,26.625123591204517,0.05242263
A81005,101.32597907024473,-19.407278518585624,-0.49692252
A81006,424.18226938311193,-3.2674807546730436,0.05242263
A81007,175.35866573736658,5.714123153630358,-0.9847579
A81008,-72.26519365950301,-45.546589015813744,-1.1395926
A81009,145.34194590459208,-59.55409804141346,-1.1395926
A81011,304.6194883343096,-22.679517092455523,-0.9847579
A81012,21.996861970612482,1.4807154792157464,-1.1395926
A81013,-3.5567555447652803,-16.99428712813751,-0.49692252
A81014,-111.8457847061588,-41.916355853141475,0.05242263
A81015,-173.33852583982576,-30.96608424618204,-0.46934918
A81016,176.2858442114633,-77.9681437979613,-1.1395926
A81017,664.6314879435516,-321.0246091520945,0.05242263
A81018,300.57687505893176,184.1405438073116,-0.49692252
A81019,274.6412517651763,-33.24823964148005,-1.1395926
A81020,184.54979553814707,-26.531096974092144,-1.1395926
A81021,564.6780891943413,-43.620568689193924,-1.1395926
A81022,245.22826521117776,-76.63232859198942,-0.49692252
A81023,29.562441314160427,-39.05758653147117,-1.1395926
A81025,-97.54134589999214,-48.01797088123743,0.05242263
A81026,579.5879319058021,-28.463571947525622,-1.1395926
A81027,347.21252873778917,58.67794593883896,0.05242263
A81029,-59.41152848086688,-29.00808152438526,-1.1395926
A81030,522.5598977899084,65.86163460148322,-1.1395926
A81031,454.5368240774373,-5.50038867647776,-0.9847579
A81032,363.51149441384035,-0.6565911868275391,-0.49692252
A81033,-154.95402247503594,-46.65577187442801,-1.1395926
A81034,821.2256887473422,-287.3092248325248,0.05242263
A81035,113.28033195049797,-206.00311189429868,-1.1395926
A81036,617.0270598924947,-138.76840305676603,0.05242263
A81037,148.64777947687736,-82.26943025621756,-1.1395926
A81038,-67.46296224840229,-11.538103164445527,-1.1395926
A81039,240.72046604259089,-5.570865769940068,0.05242263
A81040,179.49554986065237,-38.96193055743807,0.05242263
A81041,210.22254711542402,-15.824078085473557,-0.9847579
A81042,330.3853517608318,210.6413793614191,-1.1395926
A81043,217.52117907845695,-4.142025177841811,-1.1395926
A81044,565.5737784202564,-90.69310131697782,-0.9847579
A81045,183.86591089865564,-89.48326566021666,-0.49692252
A81046,291.1240825754763,-68.28076351568663,0.05242263
A81047,-40.151176706697214,-86.40003951750764,-0.45684338
A81048,43.655425128722776,45.58189776211495,-0.49692252
A81049,86.56451767467527,-13.907946345649401,-1.1395926
A81051,115.45942411524958,-40.4167574378528,-1.1395926
A81052,223.2156341132387,9.796625963891492,-0.49692252
A81053,144.43606604591739,18.66275390670404,-0.49692252
A81054,147.18737431176928,-29.88486916422851,-0.49692252
A81056,-184.2881344081844,-7.558022635437697,0.05242263
A81057,196.82430439957693,-39.12828353637166,0.05242263
A81058,205.31879139058105,48.846748982411704,-1.1395926
A81060,56.064903633191875,23.254386819340436,-0.9847579
A81063,-43.281504235200316,-59.73696710417643,-0.9847579
A81064,20.182224764787883,-39.75303879940439,-1.1395926
A81065,-46.02628417996294,27.25523045465106,-1.1395926
A81066,-69.85262707420605,-42.63537631067544,0.05242263
A81067,222.68733994049106,-10.367149844479746,0.05242263
A81069,-177.80704753860797,-12.004541073504399,-0.454502
A81070,-77.59365587121229,104.8324706107298,-0.9847579
A81602,-160.3165178174391,-2.39237264880123,0.05242263
A81605,-214.89334925809456,-21.680903039209568,-0.45450202
A81608,-106.53702993654649,72.94325731508637,0.05242263
A81609,-242.30606245536893,-3.3759701297004243,0.08635901
A81610,91.40194905114824,-43.58925716014282,0.05242263
A81611,18.915780267998354,51.844569692421196,-1.1395926
A81612,-129.19831017082873,-5.162708564200665,-0.9847579
A81613,-160.15319486849762,-61.65148950382081,-0.9593056
A81618,216.8334193557122,-11.748109879682357,-0.49692252
A81621,-168.83883800383123,-15.608881652179269,-1.1395926
A81622,8.106939332491644,-41.93509703326585,-0.9847579
A81623,-229.710684065831,1.6536560167649574,0.08635901
A81629,-47.53201042633922,30.798878094176068,0.05242263
A81630,-235.87084671018786,17.075212946932094,0.05242263
A81631,65.8424575875485,49.016032800759874,-0.9847579
A81632,-264.57890894550064,-21.824065830903994,0.0605495
A81633,-257.0939954820665,8.474458226316969,-1.1395926
A81634,-226.70469870937555,20.216042757468312,0.05242263
A82003,257.43983515099376,22.415571227419544,-0.85113347
A82004,-179.2790130896122,-8.418803963410243,0.70145583
A82005,-5.319253321385297,-17.968243835707106,1.4204829
A82006,-77.29146976117592,-42.5916142083278,0.70145583
A82007,166.74112226700703,-72.0331817617978,-0.85113347
A82008,307.36393494469587,-84.60703956067668,-0.85113347
A82009,203.66773465163698,-106.32921263698368,-0.85113347
A82010,23.67627878712439,-109.40982120621244,-0.85113347
A82011,-147.85895805399932,-58.30839424059937,-0.85113347
A82012,629.0841681991699,-20.508066728878436,-0.07695981
A82013,0.8649465625612748,-44.08830377938162,0.70145583
A82014,-98.89049188571697,-15.414262657098986,-0.06635469
A82015,-23.817562394113015,-13.140839267759674,-0.07695981
A82016,1314.7067577897628,593.9457601810742,-0.07695981
A82017,501.3198524841038,-140.67489335850195,-0.093928
A82018,294.48909807427265,7.314929574108309,-0.07695981
A82019,182.28508815660925,-60.198305869821134,-0.07695981
A82020,514.9256120763029,-73.3237848044258,-0.07695981
A82021,365.10752722138557,160.99999665271466,-0.06635469
A82022,-13.73248401588804,-61.32035791412158,-0.07695981
A82023,-49.03839956217452,14.192441567652756,-0.59236854
A82024,30.64216039981993,-57.49807496696431,-0.59236854
A82025,100.58947668755677,18.27765623468801,1.4204829
A82026,325.8948573273504,-9.972875166275635,1.4204829
A82027,139.47774524622204,-102.69111807315642,1.4204829
A82028,33.00908443445726,22.674155210831426,-0.06635469
A82029,-133.89219587632687,-11.195549060021817,-0.06635469
A82030,20.663904603965257,-20.844386141025502,0.024849322
A82031,-155.45102081094214,10.661062725125436,0.70145583
A82032,512.1135037538828,-96.83191470467389,-0.06635469
A82033,303.9384175907258,-31.338348099894194,-0.85113347
A82034,82.96675753666693,-33.4464633729696,1.4204829
A82035,332.28079742390713,-153.18614455978022,0.70145583
A82036,77.28673294155756,-41.38134909577873,0.70145583
A82037,-68.83954267354326,-51.55970888376878,-0.06635469
A82038,-135.85712864931645,-0.46365151311974057,0.70145583
A82039,86.94359631662181,-14.797181230875733,-0.85113347
A82040,-101.28479970860243,-44.89256373554003,-0.63478905
A82041,357.48597557789236,-158.882082712437,-0.59236854
A82044,1151.773420939028,208.14968078116843,-0.59236854
A82045,140.94710279310326,23.62001974432568,-0.06635469
A82046,-79.48953999035929,-33.38242346395583,1.4204829
A82047,326.44276365879244,42.93723894044215,-0.59236854
A82048,80.23199531099634,13.574404698231037,-0.59236854
A82049,64.13669955040807,70.84571165193638,-0.59236854
A82050,181.28692762559263,27.887647656885708,-0.59236854
A82052,48.39984711153362,-123.28257067990897,-0.093928
A82053,-40.721555833469424,-49.067142698340675,1.4204829
A82055,72.63932597075619,-15.656034065653987,-0.06635469
A82057,17.525937173047996,10.069224170314227,-0.0578706
A82058,-74.99201448103787,-19.921038856101468,-0.59236854
A82060,-121.0214606063951,48.11700063450812,-0.6107508
A82062,-22.185475782995315,23.55223527073928,-0.85113347
A82063,-223.08355048093057,-43.37072460396613,-0.0578706
A82064,-18.746742237320362,-45.42180525263625,-0.59236854
A82065,-112.21814294639017,-24.265753057698554,1.4204829
A82068,-78.96834097291045,-8.845236260225363,-0.85113347
A82070,-64.64230625628147,-41.27141258705338,1.4204829
A82071,-65.95695766424421,-19.526474692533906,-0.85113347
A82072,112.7950355006568,33.684107043902976,-0.85113347
A82074,-214.76113702377523,-32.97086994720576,1.4204829
A82075,48.21207512231135,-32.313452119372776,-0.59236854
A82077,201.27230575247935,-84.05913147633555,-0.85113347
A82608,-103.0805474280486,-8.264225312687298,1.4204829
A82613,-231.8614957185161,3.671885684427123,-0.85113347
A82617,-179.26328848668942,3.805093473331998,0.70145583
A82619,-203.58591909601535,6.314414251424237,-0.85113347
A82620,-285.34204865894844,-1.7756580810978189,1.4204829
A82621,-204.26572785890804,-16.225381192630078,-0.85113347
A82623,22.043354463382542,-28.523430168129586,-0.59236854
A82629,-135.68504116564105,-18.151264017338534,-0.85113347
A82631,-120.01253154366039,5.496691963438746,-0.07695981
A82635,-181.99468067070342,-2.5550797216568157,-0.093927994
A82641,-248.82404706271998,-48.31543531714964,-0.093928
A82642,-252.64790404150767,-2.562997041967278,1.4204829
A82646,-107.18008980744425,-102.71237226948605,-0.07695981
A82647,-184.14189119337834,6.316476004662597,1.4204829
A82650,-126.40358350588329,15.422934420136713,-0.85113347
A82651,-109.58231752976229,17.875295313433696,-0.85113347
