,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-63.52291237625083,-13.352414870499851,0.03562109
A81002,733.20736561238,-107.99082575109273,0.03562109
A81003,-49.037709489887234,1.0711473109863778,-0.95930564
A81004,226.24478076258652,38.71645441894215,0.03562109
A81005,125.8814622865712,-22.84944853869033,-0.53537065
A81006,471.79461895334595,13.717349199262058,0.03562109
A81007,192.36865146157274,-14.481470021297591,-0.9918198
A81008,-39.459498895563456,-41.20042326925848,-1.1395926
A81009,162.95103663772994,-81.22042314422333,-1.1339265
A81010,-184.433296227071,40.55844648582739,-0.95930564
A81011,352.2422348591226,0.06032198374469093,-0.9918198
A81012,42.973262043529324,-11.264077953126037,-1.1339265
A81013,41.13444487626326,8.167345602454898,-0.5330942
A81014,-70.94593608566116,-21.84645208564767,0.03562109
A81015,-145.91158278833223,-32.36218964629718,-0.46764794
A81016,233.16386639684978,-51.79208717259066,-1.1339265
A81017,743.6182769852463,-244.4294654535492,0.03562109
A81018,293.7666688699559,143.34790642110192,-0.53537065
A81019,295.9950583299679,-51.019306684006054,-1.1339265
A81020,213.6077780354348,-38.24128258903316,-1.1339265
A81021,625.1815904919154,-8.68492406229567,-1.1339265
A81022,281.5743200352859,-62.486358179666325,-0.5330942
A81023,81.96584589046671,2.2619695741096035,-1.1339265
A81025,-55.780337408818475,-26.6080796531731,0.03562109
A81026,641.1357179603201,14.827561747756041,-1.1339265
A81027,354.36042638645773,37.89713432120827,0.049676333
A81029,-8.429539081801822,3.3750104698169827,-1.1339265
A81030,549.858295233234,37.30847898976771,-1.1339265
A81031,447.87829790390595,-38.52577617623554,-0.9918198
A81032,393.01162229073543,-5.4036334929259136,-0.53537065
A81033,-129.64334891944586,-62.473826125574874,-1.1395926
A81034,925.0083087173069,-221.1986090615309,0.03562109
A81035,175.49346257009867,-161.45274988562346,-1.1339265
A81036,631.7783284325932,-157.32154578546442,0.03562109
A81037,166.70411609008087,-112.32139187882618,-1.1339265
A81038,-31.54244573617808,-10.704713584682516,-1.1339265
A81039,265.86704654047765,0.8784913612700006,0.049676333
A81040,185.15434602524167,-68.07765283274179,0.03562109
A81041,237.62725944059497,-22.095229954834416,-0.9918198
A81042,344.5759608356716,201.83372122283726,-1.1339265
A81043,227.5968710986797,-40.299933290694476,-1.1348895
A81044,667.4049185903704,-20.925731867866563,-0.9918198
A81045,194.79710831520262,-94.81782249055445,-0.53537065
A81046,320.5910367658118,-64.1883464107699,0.03562109
A81047,-12.823602761445006,-87.6196374069176,-0.45655072
A81048,49.665570550055264,20.13198978565477,-0.53537065
A81049,104.76760875962957,-1.6304251530259017,-1.1339265
A81051,124.11087073880203,-82.90052775641264,-1.1339265
A81052,249.12033514783326,7.011355139100951,-0.53537065
A81053,125.95529825151459,-39.694617818989165,-0.5358408
A81054,181.82006569954115,-14.997783224575024,-0.53537065
A81056,-162.0573408279059,-13.779766640478014,0.03562109
A81057,261.51243810951604,9.736384709054818,0.03562109
A81058,224.21703151981058,43.57359570307097,-1.1339265
A81060,91.38912041267302,30.945443471769742,-0.9918198
A81063,6.154983573730871,-39.580519478045744,-0.9918198
A81064,70.82327858235473,-2.2007958730859816,-1.1339265
A81065,-37.17379446041734,-12.057000997549371,-1.1339265
A81066,-24.28773060289559,-14.69268377904149,0.049676333
A81067,248.3463179895247,-14.755750897589898,0.03562109
A81068,-208.21788805869906,26.707364812482382,-0.95930564
A81069,-150.33815337055185,-11.671862496366293,-0.45450202
A81070,-80.3281025474297,65.59303716670458,-0.9918198
A81602,-134.39587686818783,-1.2599730208836768,0.03562109
A81605,-186.75842717412888,-23.479216784818302,-0.45450202
A81608,-41.26243592701315,137.983632942577,0.03562109
A81609,-215.77475371662928,1.6311638671765134,0.08635901
A81610,113.71637271552278,-57.10888691418865,0.03562109
A81611,62.59808511501902,68.74548713458286,-1.1339265
A81612,-108.58311123624662,-16.307754074450685,-0.9918198
A81613,-130.5495228501737,-64.5779646390534,-0.9593057
A81618,274.51805359227774,22.67712318537906,-0.5330942
A81621,-118.02626273210714,9.053187854561331,-1.1339265
A81622,49.40293773910543,-35.74495415160701,-0.9918198
A81623,-203.34741759070272,1.9795359213598032,0.08635901
A81629,-10.909672451409822,46.84876570315245,0.03562109
A81630,-211.9297934906607,20.141390421415696,0.034996666
A81631,78.40954523634048,29.54797270491899,-0.9918198
A81632,-237.38427168506402,-8.695180500798301,0.060274933
A81633,-226.64286724893944,13.318730817352032,-1.1363876
A81634,-205.47835876840395,16.19745261718509,0.03562109
A82003,290.01013048581456,19.040556784160913,-0.93783796
A82004,-164.08059188314434,-9.185536791167678,0.67870086
A82005,5.449327064297432,-15.920221050751202,1.2804217
A82006,-34.84885087537573,-12.744740997626023,0.67870086
A82007,240.23370554754536,-26.781594606131943,-0.93783796
A82008,391.5986279239783,-12.631310849012966,-0.93783796
A82009,254.22043022308688,-76.74149830775691,-0.93783796
A82010,101.5193727728287,-46.31330247739419,-0.93783796
A82011,-113.84969284378676,-54.20638871586024,-0.85113347
A82012,619.7377699082442,-58.16538594381145,0.06780925
A82013,36.13181840269066,-22.347714128657362,0.67870086
A82014,-73.10710314564717,-13.911663820087124,-0.08204782
A82015,10.95854259287738,7.812637710706239,-0.07892145
A82016,1195.9274555224408,400.24209190893794,0.06780925
A82017,520.532265200654,-161.66102914735077,-0.093928
A82018,313.02572702295305,-4.6664232021281356,-0.07892145
A82019,179.40036069144278,-93.68724206224063,-0.07442526
A82020,524.0070041548782,-81.40904140433229,-0.07892145
A82021,322.3872862477395,72.42777229092837,-0.0809132
A82022,31.512941851391165,-39.07582942783471,-0.07892145
A82023,-20.1670780431125,15.763472715592366,-0.48760736
A82024,67.15779534739558,-43.459080651400406,-0.48722464
A82025,119.53890004696729,29.792339076726318,1.2804217
A82026,324.7312092905832,-22.20729394432987,1.2804217
A82027,185.52086547516015,-60.80894911104127,1.2804217
A82028,10.271497314861254,8.432184850200617,-0.11089619
A82029,-102.58433552669177,-2.600315956830244,-0.08204782
A82030,64.47431028176482,3.1624646418931244,0.064474456
A82031,-143.8868632809854,5.740068561080865,0.67870086
A82032,510.5659521387507,-114.54858863931649,-0.0809132
A82033,310.59761561578307,-58.21253704667042,-0.93783796
A82034,71.90433552508006,-61.502637976295624,1.4204829
A82035,403.51722984220163,-88.14017719029918,0.67870086
A82036,110.55137108309864,-17.50090446178136,0.67870086
A82037,-24.316325031587517,-25.311444539244803,-0.08204782
A82038,-121.08183196665591,-6.278169220463378,0.6891507
A82039,125.74739472006796,-5.274165492136113,-0.93783796
A82040,-72.09725979774203,-42.5473626920983,-0.63478905
A82041,435.6504548117904,-86.47640682176751,-0.48760736
A82044,1114.9022640919882,-90.92366830921134,-0.41684917
A82045,151.77925503906698,5.150251047262879,-0.08204782
A82046,-135.48520729477514,16.817796345621314,1.01664
A82047,675.9903663514986,421.4362438782448,-0.48760736
A82048,85.80756888471143,-6.081245290552068,-0.58710986
A82049,50.335924084033756,22.13359162937411,-0.5849536
A82050,176.91921605173906,-12.954306332549587,-0.58710986
A82052,73.51004788307264,-125.6262669311162,-0.093928
A82053,29.627031777233224,13.955116955209839,1.2137259
A82055,102.24914794423248,-19.778276976407938,-0.08204782
A82057,40.72365872398357,8.923572313526137,-0.0578706
A82058,-49.3271926345445,-25.494830061638652,-0.54318374
A82060,-94.18580403839088,44.516576864141406,-0.6133688
A82062,8.059651074151704,26.612718375407606,-0.93783796
A82064,4.608404312193516,18.53019933471848,-0.41684917
A82065,-100.62698362576086,-28.71152591766714,1.4204829
A82068,-38.13081268788035,5.68677211865256,-0.93783796
A82070,-109.8662749960277,56.29222064442475,1.01664
A82071,-31.790275033246722,-14.505995960011289,-0.93783796
A82072,95.19902991185631,-22.979700123664376,-0.93783796
A82074,-200.2639807673022,-34.1792910723789,1.4204829
A82075,79.2079373870239,-25.310541530065883,-0.48760736
A82077,236.09887327671078,-77.16655758846248,-0.8733039
A82608,-85.5461447801973,0.9191543324233145,1.2804217
A82613,-205.79302378681496,-9.295790070584031,-0.274215
A82617,-170.01848450126727,-5.439132506433743,0.67870086
A82619,-173.56215812963168,3.611018834689747,-0.85113347
A82620,-232.41714543388784,-12.020727147065674,0.66327745
A82621,-174.29277579239135,-20.204866849414007,-0.8511335
A82622,-248.00095984160842,35.17942874508239,1.4204829
A82623,17.56496134932058,-66.06852013102579,-0.5849536
A82629,-102.76484665334496,-24.12833118286734,-0.93783796
A82631,-105.99500534252876,-4.859189260728573,0.068749584
A82635,-156.78923544579453,-2.71744434297543,-0.093928
A82641,-221.78935267866945,-50.457930406855965,-0.093928
A82642,-244.11548042863598,-5.058597193470604,1.4204829
A82645,-330.5480623251676,-110.58688798353812,-0.8511334
A82646,-56.248946965106235,-64.0435666787739,-0.07892145
A82647,-161.98888670518346,21.19289027663055,1.2137259
A82650,-109.65495409459511,-2.891765483195083,-0.57101125
A82651,-69.23734754654052,31.1812562791366,-0.93783796
A82654,53.36226784555502,33.44568063426313,-0.07892145
A83001,675.1713237354135,15.048889997116325,-0.11476116
A83003,163.9743920205526,51.23059232490446,-0.72693574
A83004,-37.09619346461916,16.94041473117267,-0.930132
A83005,372.03954300915933,72.22204247179701,-0.05995484
A83006,77.2014810701966,14.281816935900403,-0.05995484
A83007,278.1404850718425,-30.00064334446854,-0.9918198
A83008,110.80077529509171,-27.324298154631716,-0.0578706
A83009,209.4211968619281,-40.13952477406371,-0.56371635
A83010,404.48846133688346,3.8938322230054707,-0.05995484
A83011,579.8692432959771,-139.6347047685562,-0.95930564
A83012,614.7888849661817,13.897038583923434,-0.9918198
A83013,330.9776670827974,3.567183488188084,-0.05995484
A83014,188.15525549274835,-67.5081453182485,-0.94075584
A83015,385.8024850761525,17.889883959531453,-0.0578706
A83016,466.3844014194305,-90.15894253502658,-0.5885026
A83017,157.50333513239633,-104.85118414904333,-0.92959166
A83018,860.8558277498294,-201.36604006937486,-0.56371635
A83019,-18.79109207112175,-97.3380678209694,-0.92931396
A83020,235.1102886376741,150.4316006566319,-0.72693574
A83021,627.9159687178524,-51.99914882765288,-0.0578706
A83022,1404.809234103195,-245.49624262071833,-0.6556222
A83023,369.4491667686603,68.2533056332547,-0.5885026
A83024,35.619576722848784,16.442108419893188,-0.94075584
A83025,619.4545415110064,-52.87000664576562,-0.0578706
A83026,318.13166199244114,-8.818804484562959,-0.5885026
A83027,171.9677430438593,-4.063675407900098,-0.94075584
A83028,261.15492001432506,-41.26223508111512,-0.56371635
A83029,66.75045745677286,-26.541224786393535,-0.94075584
A83030,409.852054695813,26.849967319009075,-0.6556222
A83031,287.91854759559624,44.48335842910747,-0.05995484
A83032,-133.44731687140592,-15.084314697745587,-0.52462596
A83033,219.83192562593803,52.46345750133388,-0.5885026
A83034,169.24322756498123,10.224299179420912,-0.05995484
A83035,-34.01341476645687,53.71362241297761,-0.69045657
A83036,273.2203144885548,-11.710043991323161,-0.95930564
A83037,597.0773937416902,-117.18435778070304,-0.05995484
A83038,-0.6865143403136433,-6.0124830556878806,-0.5885026
A83040,237.14478755963233,18.659222628496625,-0.05995484
A83041,199.6798063725189,-73.64825122704902,-0.94075584
A83042,-5.591280483029159,-28.354991125807427,-0.9712046
A83043,-133.13745712043718,-6.645389068520139,-0.5400336
A83044,139.67287642479505,-7.914813134683618,-0.9918198
A83045,504.0823784128029,-109.1605902581693,-0.05995484
A83046,198.33742860224854,24.53437581621439,-0.5393307
A83047,487.9638386413408,-1.9597521572873495,-0.05995484
A83048,20.552377308502795,6.426489770537995,-0.05995484
A83049,495.70901532404446,-18.035229183690344,-0.56371635
A83050,520.6342226406875,-39.044576353595204,-0.5885026
A83051,341.0038160462945,-22.369078682337452,-0.94075584
A83052,478.6368114423525,-140.95791580254127,-0.11476116
A83054,475.24304013808285,-23.639570987424836,-0.05995484
A83055,-63.62581729737724,31.599171219811073,-0.94075584
A83057,394.0992467223034,334.5159427364905,-0.9918198
A83060,-72.13531994873861,-44.3791419268361,-0.5393307
A83061,-90.59439372524807,27.59881363687235,-0.0578706
A83066,296.30877526530077,68.21452108229923,-0.05995484
A83068,-166.5282809688333,-16.700691893090692,-0.95930564
A83070,7.648966799590214,-21.788867541052554,-0.05995484
A83071,-28.83141017134255,-34.85932408276421,-0.94075584
A83072,-96.83273552653473,10.505285191860768,-0.6556222
A83073,54.061481281462946,-1.2958025630254513,-0.5885026
A83074,371.53343036766995,-32.57227573482643,-0.05995484
A83075,59.540155478839225,14.909113692955913,-0.94075584
A83076,-113.83012412573929,-25.614811490065293,-0.48667088
A83610,-76.48801475613942,22.73973986781655,-0.9918198
A83616,18.01846423067424,88.33925706416774,-0.94075584
A83617,-86.43756433945737,-11.514265712108928,-0.6556222
A83618,43.70173127465939,29.232859409502513,-0.56371635
A83619,-100.14774456803163,34.40906313990352,-0.94075584
A83622,-219.43627642248418,25.66845297013877,-0.6556222
A83626,-134.91745838938664,-5.754497260835735,-0.52462596
A83627,54.31179442663506,32.30523250115774,-0.94075584
A83632,-127.04693912851171,-15.739131581532808,-0.5356312
