,practice_intercept,practice_slope,imd_centile_practice_mean
A81001,-67.35988150254454,-19.159046608893323,0.049676333
A81002,743.2040413539177,-87.96210368662123,0.049676333
A81003,-56.82357525033498,0.651918655289686,-0.95930564
A81004,222.0378001542966,32.427773452522004,0.049676333
A81005,122.75440437565898,-23.541155042061483,-0.53537065
A81006,468.6295591864361,3.5120686975808297,0.049676333
A81007,184.6670783757183,-14.746004804527127,-0.9918198
A81008,-50.22483216116627,-43.68852389670441,-1.1395926
A81009,147.05252549634744,-85.97529525922721,-1.1262535
A81010,-197.05066447007823,36.97318052978916,-0.95930564
A81011,344.5366350083639,-0.19924089460569314,-0.9918198
A81012,34.78399654717405,-3.417312023986011,-1.1262535
A81013,38.267002782459315,7.8966526505196315,-0.53537065
A81014,-63.7784938622155,-16.710075220429708,0.049676333
A81015,-148.57330679318247,-32.675301869784946,-0.46764794
A81016,235.14292662072378,-29.374620976238564,-1.1262535
A81017,762.8826962130883,-222.85792640618837,0.049676333
A81018,290.64895832053077,142.564261416076,-0.53537065
A81019,287.1631040567542,-41.08541372217444,-1.1262535
A81020,198.93719246585482,-35.3571783127331,-1.1262535
A81021,673.1776288082616,81.50104796131608,-1.1262535
A81022,278.2255204564703,-63.476534017394314,-0.53537065
A81023,77.38356448387715,-6.572147358722177,-1.1262535
A81025,-50.21644201590388,-27.612744374444798,0.049676333
A81026,621.0135970300289,-11.192089185698318,-1.1262535
A81027,357.1095285730957,37.87016225375215,0.049676333
A81029,-13.210463722635776,1.9402343824442876,-1.1262535
A81030,518.2790442154609,19.68645764273382,-1.1262535
A81031,440.1660359519661,-38.75192504464805,-0.9918198
A81032,389.87721979916074,-6.082621639076953,-0.53537065
A81033,-133.49496702546867,-48.542748696546326,-1.1395926
A81034,938.626412770412,-186.95232019485834,0.049676333
A81035,185.0746906669173,-141.5932297349491,-1.1262535
A81036,641.1872546098325,-142.27325354109186,0.049676333
A81037,159.04904174794365,-100.39847745508,-1.1262535
A81038,-42.87185146781373,-6.574570926453394,-1.1262535
A81039,268.61577181468675,0.8674164055771223,0.049676333
A81040,188.51971896002644,-54.92592965810136,0.049676333
A81041,229.92349126515475,-22.350805768082076,-0.9918198
