parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct,eti_mean_pct,eti_2.5pc_pct,eti_97.5pc_pct
intercept,7.733,0.004,7.727,7.742,0.001,0.001,9.0,15.0,3.48,228143.92578474776,226778.56241623263,230207.3927899505,228117.62914762253,226800.90989312262,230080.76058645674
slope,0.087,0.003,0.081,0.092,0.001,0.0,10.0,31.0,2.13,9.089667971827776,8.437089656676022,9.636482208081688,9.1281304794346,8.482031163284145,9.617813828901843
practice_intercept_offset[0],0.016,0.033,-0.053,0.081,0.011,0.008,9.0,17.0,3.11,1.6128685406094911,-5.161998751770181,8.437089656676022,,,
practice_intercept_offset[1],1.08,0.06,1.0,1.213,0.021,0.013,9.0,12.0,4.0,194.4679551065524,171.8281828459045,236.3560212289613,,,
practice_intercept_offset[2],0.206,0.041,0.11,0.278,0.013,0.009,11.0,23.0,1.95,22.8753203995312,11.627807045887128,32.048619720909535,,,
practice_intercept_offset[3],0.554,0.044,0.479,0.653,0.015,0.011,9.0,13.0,3.63,74.01999144695428,61.44591355586231,92.1296080061071,,,
practice_intercept_offset[4],0.623,0.046,0.539,0.717,0.016,0.011,9.0,15.0,3.58,86.45131995195231,71.42917130401752,104.8279146723384,,,
practice_intercept_offset[5],0.917,0.055,0.835,1.038,0.019,0.013,9.0,13.0,3.79,150.17737992899006,130.48140482870124,182.3564234986481,,,
practice_intercept_offset[6],0.579,0.046,0.489,0.667,0.016,0.01,9.0,17.0,3.69,78.42532850409398,63.06847196215488,94.83833939544984,,,
practice_intercept_offset[7],0.339,0.043,0.24,0.417,0.014,0.01,10.0,24.0,2.27,40.35433452127262,27.12491503214047,51.74025129350848,,,
practice_intercept_offset[8],0.587,0.046,0.494,0.672,0.016,0.011,9.0,15.0,3.84,79.85845599876696,63.88585607937585,95.81497063588058,,,
practice_intercept_offset[9],0.733,0.05,0.642,0.831,0.017,0.011,9.0,16.0,3.89,108.131519670475,90.02776365552259,129.56132060461326,,,
practice_intercept_offset[10],0.448,0.043,0.356,0.526,0.015,0.011,9.0,18.0,3.5,56.51786956535216,42.760754826384485,69.21501527387082,,,
practice_intercept_offset[11],0.429,0.041,0.35,0.515,0.014,0.01,9.0,16.0,3.39,53.57210343973493,41.90675485932572,67.36385017975294,,,
practice_intercept_offset[12],0.281,0.037,0.21,0.364,0.013,0.01,9.0,14.0,3.32,32.445360393525725,23.36780599567432,43.90742141580461,,,
practice_intercept_offset[13],0.036,0.034,-0.043,0.097,0.011,0.009,10.0,22.0,2.42,3.665584649092368,-4.208860993296937,10.186037362101064,,,
practice_intercept_offset[14],0.647,0.047,0.551,0.733,0.017,0.01,9.0,16.0,3.89,90.98028178471122,73.49871378007194,108.131519670475,,,
practice_intercept_offset[15],1.019,0.058,0.935,1.145,0.02,0.013,9.0,12.0,3.88,177.0422955335632,154.72134577390077,214.24413568391668,,,
practice_intercept_offset[16],0.756,0.05,0.667,0.859,0.017,0.011,9.0,14.0,3.47,112.97401990391056,94.83833939544984,136.07987141986743,,,
practice_intercept_offset[17],0.699,0.049,0.606,0.792,0.017,0.011,9.0,17.0,3.81,101.17399613038182,83.30843770260485,120.78076288406328,,,
practice_intercept_offset[18],0.611,0.047,0.518,0.698,0.016,0.01,9.0,17.0,3.75,84.22727507029337,67.86669562132053,100.97292268772888,,,
practice_intercept_offset[19],1.02,0.059,0.922,1.132,0.02,0.011,8.0,15.0,4.37,177.31947639642976,151.43139926443442,210.1854008567568,,,
practice_intercept_offset[20],0.774,0.051,0.688,0.879,0.018,0.011,9.0,13.0,3.72,116.84226199906476,98.97320869507038,140.849001175893,,,
practice_intercept_offset[21],0.153,0.036,0.066,0.213,0.013,0.011,9.0,20.0,2.72,16.532497894273778,6.822671716599338,23.738465124360065,,,
practice_intercept_offset[22],0.096,0.034,0.026,0.165,0.012,0.009,9.0,15.0,3.09,10.075906399397883,2.634094847344204,17.93931187113906,,,
practice_intercept_offset[23],0.891,0.056,0.787,0.998,0.019,0.011,9.0,19.0,3.34,143.75659989119467,119.6796142353235,171.28506977432195,,,
practice_intercept_offset[24],0.721,0.049,0.643,0.83,0.017,0.012,9.0,13.0,3.65,105.6488671413628,90.21788646473917,129.33187402641826,,,
practice_intercept_offset[25],0.357,0.04,0.267,0.427,0.014,0.011,9.0,19.0,3.38,42.9035869853877,30.60404463306543,53.26526617240188,,,
practice_intercept_offset[26],0.685,0.048,0.589,0.774,0.017,0.011,9.0,16.0,3.85,98.377183553716,80.21853286760772,116.84226199906476,,,
practice_intercept_offset[27],0.718,0.049,0.627,0.814,0.017,0.011,9.0,14.0,3.84,105.0328450351146,87.19861883312423,125.69176258887524,,,
practice_intercept_offset[28],0.755,0.05,0.669,0.858,0.017,0.011,9.0,14.0,3.64,112.7611523355298,95.22840601083392,135.84390954904646,,,
practice_intercept_offset[29],0.152,0.038,0.059,0.213,0.013,0.01,10.0,22.0,2.34,16.41602364321124,6.077524074015894,23.738465124360065,,,
practice_intercept_offset[30],1.057,0.059,0.974,1.186,0.021,0.013,9.0,12.0,3.96,187.7724851990672,164.85173689134788,227.3959144176079,,,
