parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct,eti_mean_pct,eti_2.5pc_pct,eti_97.5pc_pct
intercept,6.238,0.004,6.233,6.245,0.001,0.001,9.0,15.0,3.11,51083.38189544958,50828.1037132571,51442.92249268514,51091.99908270245,50828.94876274137,51462.71120532961
slope,0.114,0.003,0.109,0.119,0.001,0.0,11.0,17.0,1.99,12.0752124884153,11.516235034144785,12.636991828835288,12.068313810406497,11.49540511846254,12.688110411597139
practice_intercept_offset[0],-0.061,0.05,-0.168,0.018,0.017,0.011,9.0,13.0,3.14,-5.917676022399032,-15.464616531534126,1.8162976389793688,,,
practice_intercept_offset[1],1.526,0.056,1.407,1.599,0.019,0.012,9.0,20.0,2.66,359.9741011213829,308.3685951240297,394.80818676616326,,,
practice_intercept_offset[2],0.133,0.056,0.006,0.225,0.017,0.011,12.0,23.0,1.74,14.224999833089424,0.6018036054064924,25.23227161918644,,,
practice_intercept_offset[3],0.659,0.051,0.547,0.735,0.017,0.012,9.0,16.0,2.97,93.2858509141412,72.80610506585812,108.54819925050276,,,
practice_intercept_offset[4],0.571,0.05,0.456,0.642,0.017,0.012,9.0,18.0,2.66,77.00362029134793,57.77503447664781,90.02776365552259,,,
practice_intercept_offset[5],1.295,0.054,1.177,1.365,0.019,0.012,9.0,19.0,2.67,265.0995974141272,224.4625710331208,291.57230519927214,,,
practice_intercept_offset[6],0.883,0.052,0.758,0.95,0.018,0.014,9.0,17.0,2.65,141.81432654423304,113.4003941758656,158.5709659315846,,,
practice_intercept_offset[7],0.209,0.056,0.08,0.298,0.017,0.012,13.0,23.0,1.67,23.24449985302548,8.328706767495863,34.71617878795541,,,
practice_intercept_offset[8],0.674,0.052,0.549,0.742,0.018,0.014,10.0,22.0,2.38,96.20699246831084,73.15206311872335,110.01315801903608,,,
practice_intercept_offset[9],1.009,0.053,0.884,1.079,0.018,0.014,9.0,20.0,2.76,174.2856786344921,142.05626181825303,194.1736343363576,,,
practice_intercept_offset[10],0.619,0.051,0.497,0.688,0.017,0.013,10.0,19.0,2.35,85.70700429587728,64.37825187200612,98.97320869507038,,,
practice_intercept_offset[11],0.499,0.05,0.384,0.57,0.017,0.012,9.0,17.0,2.64,64.7073373515345,46.81454416819895,76.8267051433735,,,
practice_intercept_offset[12],0.08,0.05,-0.026,0.16,0.017,0.011,9.0,13.0,3.07,8.328706767495863,-2.566491039125063,17.35108709918103,,,
practice_intercept_offset[13],-0.032,0.051,-0.145,0.05,0.017,0.011,10.0,17.0,2.34,-3.14934179208024,-13.49777068892587,5.127109637602412,,,
practice_intercept_offset[14],0.859,0.052,0.734,0.929,0.018,0.014,9.0,19.0,2.62,136.07987141986743,108.33975529060255,153.19759352725134,,,
practice_intercept_offset[15],1.333,0.055,1.214,1.406,0.019,0.012,9.0,20.0,2.63,279.2403549454195,236.69254548427423,307.96043064515885,,,
practice_intercept_offset[16],0.975,0.053,0.85,1.046,0.018,0.013,10.0,22.0,2.36,165.11672109826063,133.96468519259906,184.6243344348701,,,
practice_intercept_offset[17],1.137,0.054,1.008,1.21,0.019,0.014,9.0,21.0,2.75,211.7402116488329,174.01153005299412,235.34846525490235,,,
practice_intercept_offset[18],0.617,0.051,0.494,0.682,0.017,0.014,10.0,19.0,2.56,85.33596145380852,63.88585607937585,97.78294380835264,,,
practice_intercept_offset[19],1.276,0.055,1.144,1.35,0.019,0.014,9.0,21.0,2.79,258.2281901458985,213.93004861793963,285.74255306969746,,,
practice_intercept_offset[20],1.014,0.053,0.892,1.083,0.018,0.013,10.0,21.0,2.46,175.6605413200825,144.00047841002203,195.35268540377024,,,
practice_intercept_offset[21],0.411,0.05,0.292,0.479,0.017,0.014,10.0,17.0,2.54,50.83253565580581,33.910301763929375,61.44591355586231,,,
practice_intercept_offset[22],-0.044,0.049,-0.148,0.037,0.017,0.011,9.0,13.0,3.03,-4.3046042526953325,-13.75688850579545,3.769302083815696,,,
practice_intercept_offset[23],1.306,0.056,1.172,1.382,0.019,0.014,10.0,23.0,2.56,269.1378627258037,222.8443072088973,298.2859385855512,,,
practice_intercept_offset[24],0.761,0.051,0.649,0.835,0.017,0.012,9.0,17.0,2.8,114.0415566211894,91.36262456361196,130.48140482870124,,,
practice_intercept_offset[25],0.42,0.05,0.301,0.49,0.017,0.013,10.0,19.0,2.47,52.19615556186336,35.12093415380156,63.23162199553789,,,
practice_intercept_offset[26],0.82,0.052,0.695,0.888,0.018,0.014,10.0,20.0,2.54,127.04998375324055,100.37090739411752,143.0264259001381,,,
practice_intercept_offset[27],1.07,0.054,0.945,1.142,0.018,0.014,9.0,19.0,2.73,191.53794999769968,157.2813378588326,213.3028159624368,,,
practice_intercept_offset[28],0.988,0.052,0.868,1.056,0.018,0.013,10.0,19.0,2.55,168.58573822869892,138.21418024579782,187.4848565521607,,,
practice_intercept_offset[29],0.23,0.053,0.106,0.307,0.017,0.012,11.0,21.0,2.0,25.860000992947786,11.182187650653086,35.93409680719806,,,
practice_intercept_offset[30],1.613,0.057,1.494,1.69,0.019,0.012,9.0,19.0,2.75,401.7842196697159,345.48794452202173,441.94807051312057,,,
practice_intercept_offset[31],0.923,0.052,0.797,0.991,0.018,0.014,9.0,20.0,2.73,151.6829564213142,121.8874310633741,169.39270528874988,,,
practice_intercept_offset[32],1.392,0.055,1.273,1.463,0.019,0.012,9.0,19.0,2.71,302.28877881561067,257.1551159914979,331.8896803139479,,,
practice_intercept_offset[33],0.707,0.051,0.583,0.773,0.017,0.014,10.0,20.0,2.52,102.78984286853743,79.14045912584665,116.62552812206536,,,
practice_intercept_offset[34],0.077,0.049,-0.041,0.142,0.017,0.013,9.0,16.0,2.64,8.00420763926002,-4.017087005220111,15.257664853700504,,,
practice_intercept_offset[35],0.628,0.05,0.518,0.703,0.017,0.011,9.0,17.0,2.96,87.38591108247434,67.86669562132053,101.98030365487593,,,
practice_intercept_offset[36],0.797,0.051,0.684,0.871,0.018,0.012,9.0,17.0,2.85,121.8874310633741,98.17890552569948,138.92989582311458,,,
practice_intercept_offset[37],0.625,0.051,0.504,0.692,0.017,0.013,10.0,18.0,2.55,86.82459574322223,65.5329363157055,99.7706954400252,,,
practice_intercept_offset[38],1.184,0.055,1.054,1.262,0.019,0.014,10.0,21.0,2.52,226.7417769442918,186.91046142564792,253.24793858860008,,,
practice_intercept_offset[39],0.877,0.053,0.753,0.947,0.018,0.014,9.0,19.0,2.68,140.36778455057205,112.33605526962369,157.79641544043935,,,
practice_intercept_offset[40],1.505,0.058,1.371,1.586,0.019,0.014,10.0,22.0,2.54,350.41536302884833,293.9288014497347,388.41731103503525,,,
practice_intercept_offset[41],0.794,0.052,0.672,0.863,0.018,0.013,10.0,19.0,2.45,121.22276626587872,95.81497063588058,137.02608206522376,,,
