name,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.704,0.001,0.702,0.705,0.0,0.0,37719.0,17547.0,1.0
Intercept,0.029,0.008,0.014,0.044,0.0,0.0,2308.0,5502.0,1.0
C(flood)[1.0],0.041,0.012,0.018,0.063,0.0,0.0,47786.0,17427.0,1.0
hydro_rain_values,0.004,0.002,-0.0,0.008,0.0,0.0,18243.0,18258.0,1.0
met_rain_values,0.002,0.002,-0.002,0.006,0.0,0.0,18265.0,18447.0,1.0
met_tmax_values,0.097,0.006,0.084,0.11,0.0,0.0,9975.0,14287.0,1.0
met_tmin_values,-0.045,0.005,-0.055,-0.034,0.0,0.0,17771.0,18407.0,1.0
aqrean_carbon_monoxide_values,0.035,0.002,0.032,0.038,0.0,0.0,35119.0,18185.0,1.0
aqrean_daqi_overall_values,-0.002,0.003,-0.007,0.004,0.0,0.0,21741.0,18021.0,1.0
aqrean_nitrogen_monoxide_values,0.013,0.011,-0.009,0.034,0.0,0.0,17644.0,16847.0,1.0
aqrean_nitrogen_dioxide_values,0.003,0.003,-0.003,0.01,0.0,0.0,15620.0,17621.0,1.0
aqrean_daqi_nitrogen_dioxide_values,-0.003,0.001,-0.006,0.0,0.0,0.0,35021.0,18366.0,1.0
aqrean_nox_expressed_as_nitrogen_dioxide_values,-0.034,0.012,-0.058,-0.009,0.0,0.0,17589.0,16751.0,1.0
aqrean_ozone_values,-0.019,0.003,-0.024,-0.014,0.0,0.0,26792.0,19355.0,1.0
aqrean_daqi_ozone_values,-0.002,0.002,-0.006,0.003,0.0,0.0,20277.0,19761.0,1.0
aqrean_pm2p5_values,-0.024,0.003,-0.029,-0.018,0.0,0.0,19702.0,18033.0,1.0
aqrean_daqi_pm2p5_values,0.004,0.004,-0.003,0.011,0.0,0.0,19970.0,18458.0,1.0
aqrean_pm10_values,0.038,0.003,0.032,0.043,0.0,0.0,20571.0,18609.0,1.0
aqrean_daqi_pm10_values,-0.029,0.002,-0.033,-0.024,0.0,0.0,32156.0,18140.0,1.0
aqrean_sulfur_dioxide_values,-0.007,0.001,-0.01,-0.004,0.0,0.0,28074.0,19790.0,1.0
aqrean_daqi_sulfur_dioxide_values,0.0,0.001,-0.001,0.002,0.0,0.0,33834.0,18386.0,1.0
met_tmax_values:met_rain_values,0.033,0.006,0.021,0.045,0.0,0.0,11200.0,15264.0,1.0
met_tmin_values:met_rain_values,-0.031,0.006,-0.042,-0.019,0.0,0.0,11439.0,15521.0,1.0
met_tmax_values:hydro_rain_values,0.005,0.006,-0.008,0.017,0.0,0.0,11150.0,15373.0,1.0
met_tmin_values:hydro_rain_values,0.002,0.006,-0.011,0.014,0.0,0.0,11206.0,15212.0,1.0
C(month)[2],-0.475,0.005,-0.484,-0.465,0.0,0.0,11393.0,16746.0,1.0
C(month)[3],0.043,0.005,0.032,0.054,0.0,0.0,9053.0,14823.0,1.0
C(month)[4],-0.19,0.007,-0.203,-0.177,0.0,0.0,6578.0,11778.0,1.0
C(month)[5],-0.061,0.008,-0.077,-0.045,0.0,0.0,5268.0,9107.0,1.0
