,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.725,0.001,0.724,0.726,0.0,0.0,43886.0,16839.0,1.0
Intercept,0.152,0.008,0.137,0.166,0.0,0.0,3107.0,5858.0,1.0
C(flood)[1.0],0.037,0.013,0.013,0.06,0.0,0.0,45673.0,16634.0,1.0
hydro_rain_values,-0.008,0.002,-0.012,-0.004,0.0,0.0,16812.0,18286.0,1.0
met_rain_values,0.001,0.002,-0.002,0.005,0.0,0.0,16694.0,18207.0,1.0
met_tmax_values,0.21,0.007,0.197,0.222,0.0,0.0,9564.0,15355.0,1.0
met_tmin_values,-0.062,0.006,-0.073,-0.051,0.0,0.0,15135.0,17271.0,1.0
aqrean_carbon_monoxide_values,0.078,0.002,0.075,0.081,0.0,0.0,38763.0,17659.0,1.0
aqrean_daqi_overall_values,-0.012,0.003,-0.018,-0.007,0.0,0.0,22120.0,18186.0,1.0
aqrean_nitrogen_monoxide_values,-0.005,0.012,-0.027,0.016,0.0,0.0,18120.0,16727.0,1.0
aqrean_nitrogen_dioxide_values,-0.006,0.003,-0.012,0.001,0.0,0.0,15479.0,19062.0,1.0
aqrean_daqi_nitrogen_dioxide_values,0.004,0.002,0.001,0.007,0.0,0.0,35575.0,17735.0,1.0
aqrean_nox_expressed_as_nitrogen_dioxide_values,-0.024,0.013,-0.048,0.001,0.0,0.0,18161.0,16326.0,1.0
aqrean_ozone_values,-0.027,0.003,-0.032,-0.022,0.0,0.0,26511.0,18984.0,1.0
aqrean_daqi_ozone_values,-0.016,0.002,-0.021,-0.012,0.0,0.0,21125.0,18226.0,1.0
aqrean_pm2p5_values,-0.005,0.003,-0.01,0.001,0.0,0.0,20356.0,19113.0,1.0
aqrean_daqi_pm2p5_values,-0.002,0.004,-0.009,0.006,0.0,0.0,19996.0,18983.0,1.0
aqrean_pm10_values,0.022,0.003,0.017,0.027,0.0,0.0,20489.0,19682.0,1.0
aqrean_daqi_pm10_values,-0.011,0.002,-0.015,-0.006,0.0,0.0,31411.0,19364.0,1.0
aqrean_sulfur_dioxide_values,-0.022,0.002,-0.025,-0.019,0.0,0.0,28530.0,19410.0,1.0
aqrean_daqi_sulfur_dioxide_values,0.003,0.001,0.002,0.005,0.0,0.0,37622.0,19949.0,1.0
met_tmax_values:met_rain_values,0.051,0.006,0.039,0.063,0.0,0.0,10773.0,13618.0,1.0
met_tmin_values:met_rain_values,-0.047,0.006,-0.059,-0.035,0.0,0.0,11059.0,13687.0,1.0
met_tmax_values:hydro_rain_values,-0.019,0.007,-0.031,-0.006,0.0,0.0,10697.0,15250.0,1.0
met_tmin_values:hydro_rain_values,0.014,0.007,0.001,0.026,0.0,0.0,10871.0,15208.0,1.0
C(month)[2],-0.484,0.005,-0.494,-0.475,0.0,0.0,12404.0,16141.0,1.0
C(month)[3],-0.011,0.006,-0.021,0.0,0.0,0.0,10113.0,16162.0,1.0
C(month)[4],-0.129,0.007,-0.143,-0.115,0.0,0.0,6791.0,11856.0,1.0
C(month)[5],0.079,0.008,0.063,0.095,0.0,0.0,5498.0,10110.0,1.0
C(month)[6],0.117,0.01,0.097,0.135,0.0,0.0,5425.0,9940.0,1.0
C(month)[7],0.065,0.012,0.042,0.086,0.0,0.0,5520.0,10189.0,1.0
C(month)[8],-0.512,0.011,-0.533,-0.491,0.0,0.0,5402.0,10193.0,1.0
C(month)[9],-0.43,0.009,-0.448,-0.413,0.0,0.0,5392.0,10362.0,1.0
C(month)[10],-0.215,0.007,-0.228,-0.201,0.0,0.0,5843.0,10887.0,1.0
C(month)[11],-0.18,0.005,-0.19,-0.17,0.0,0.0,9132.0,14752.0,1.0
C(month)[12],0.237,0.005,0.228,0.245,0.0,0.0,12835.0,16915.0,1.0
1|practice_id_sigma,0.418,0.004,0.41,0.425,0.0,0.0,3445.0,6935.0,1.0
date_code|practice_id_sigma,0.769,0.007,0.756,0.782,0.0,0.0,1589.0,3292.0,1.01
1|practice_id[A81001],0.142,0.091,-0.033,0.31,0.0,0.001,33678.0,18298.0,1.0
1|practice_id[A81002],0.161,0.092,-0.011,0.333,0.001,0.001,30519.0,18878.0,1.0
1|practice_id[A81003],0.586,0.189,0.239,0.954,0.001,0.001,23524.0,19001.0,1.0
1|practice_id[A81004],0.164,0.091,-0.002,0.338,0.001,0.001,33020.0,20075.0,1.0
1|practice_id[A81005],0.443,0.091,0.274,0.613,0.001,0.001,31296.0,18839.0,1.0
1|practice_id[A81006],0.217,0.091,0.042,0.384,0.0,0.001,34364.0,19902.0,1.0
1|practice_id[A81007],0.188,0.09,0.02,0.358,0.001,0.001,30707.0,19299.0,1.0
1|practice_id[A81008],-0.684,0.197,-1.049,-0.309,0.001,0.001,23878.0,19263.0,1.0
