name,type,coef_pred,ci_pred,p_pred,coef_imd,ci_imd,p_imd,coef_int,ci_int,p_int,n_practices,n_obs,error
hydro_rain_high_vs_med,binary_pair,-0.4089785887376851,"(np.float64(-0.5810177626457969), np.float64(-0.23664171034002424))",3.3884515898280817e-06,,"(nan, nan)",,,"(nan, nan)",,10128,1174002,
hydro_rain_low_vs_med,binary_pair,-1.036453258646175,"(np.float64(-1.2700461322252998), np.float64(-0.8023077095268505))",5.575397153787335e-18,,"(nan, nan)",,,"(nan, nan)",,9975,1026525,
met_rain_high_vs_med,binary_pair,-0.2500576932024767,"(np.float64(-0.4308014576013264), np.float64(-0.06898583227530342))",0.006815062004882993,,"(nan, nan)",,,"(nan, nan)",,8547,1025451,
met_rain_low_vs_med,binary_pair,-1.072472310460948,"(np.float64(-1.3130580282885274), np.float64(-0.8313000764594403))",3.976886104833466e-18,,"(nan, nan)",,,"(nan, nan)",,8419,896142,
met_tmax_high_vs_med,binary_pair,1.9664810733659444,"(np.float64(1.6495012572016687), np.float64(2.2844493469512006))",1.504932304864586e-34,,"(nan, nan)",,,"(nan, nan)",,8661,1112865,
met_tmax_low_vs_med,binary_pair,-0.7816358307616511,"(np.float64(-1.1655382720540897), np.float64(-0.3962421982201869))",7.271934554285578e-05,,"(nan, nan)",,,"(nan, nan)",,8495,969078,
met_tmin_high_vs_med,binary_pair,2.3385447050193076,"(np.float64(1.973277554376307), np.float64(2.705120238549852))",8.542472781149737e-37,,"(nan, nan)",,,"(nan, nan)",,8670,1123747,
met_tmin_low_vs_med,binary_pair,-0.9708220090643316,"(np.float64(-1.3970766672851576), np.float64(-0.5427246769397986))",9.308791663544826e-06,,"(nan, nan)",,,"(nan, nan)",,8388,888953,
flood,binary_simple,1.528754236104457,"(np.float64(0.6946593812861446), np.float64(2.3697582381517313))",0.0003124989262036617,,"(nan, nan)",,,"(nan, nan)",,10551,1408763,
aqrean_carbon_monoxide_high_vs_not,binary_simple,0.8189071290394256,"(np.float64(0.5223711590308211), np.float64(1.1163178653363248))",5.7406040957181586e-08,,"(nan, nan)",,,"(nan, nan)",,9578,857809,
aqrean_daqi_overall_daqipair1,daqi_pair1,-1.324323800680427,"(np.float64(-1.7576821954607746), np.float64(-0.8890538111563595))",2.9090354634103604e-09,,"(nan, nan)",,,"(nan, nan)",,9567,848986,
