name,type,coef_pred,ci_pred,p_pred,coef_imd,ci_imd,p_imd,coef_int,ci_int,p_int,n_practices,n_obs,error
hydro_rain_high_vs_med,binary_pair,-0.5815532558920755,"(np.float64(-0.7739666652631927), np.float64(-0.38876672951868585))",3.6163536426322507e-09,,"(nan, nan)",,,"(nan, nan)",,11234,1249310,
hydro_rain_low_vs_med,binary_pair,-1.3724472715730962,"(np.float64(-1.6325603442137404), np.float64(-1.1116463817970823))",1.1051618464242568e-24,,"(nan, nan)",,,"(nan, nan)",,11008,1090990,
met_rain_high_vs_med,binary_pair,-0.41436176283781156,"(np.float64(-0.6160826800478691), np.float64(-0.2122314098806366))",5.979834219418754e-05,,"(nan, nan)",,,"(nan, nan)",,9476,1090472,
met_rain_low_vs_med,binary_pair,-1.4233540554905444,"(np.float64(-1.691305462238557), np.float64(-1.1546723170387518))",5.558020999219305e-25,,"(nan, nan)",,,"(nan, nan)",,9297,951828,
met_tmax_high_vs_med,binary_pair,1.8184143831015964,"(np.float64(1.464680933348217), np.float64(2.1733810437843726))",3.3530902212573146e-24,,"(nan, nan)",,,"(nan, nan)",,9618,1184202,
met_tmax_low_vs_med,binary_pair,-1.3669566591141935,"(np.float64(-1.7973559175775922), np.float64(-0.9346710612001985))",6.887734591813446e-10,,"(nan, nan)",,,"(nan, nan)",,9415,1029777,
met_tmin_high_vs_med,binary_pair,2.4676440403803124,"(np.float64(2.058507910281615), np.float64(2.8784203313669154))",7.148698083996507e-33,,"(nan, nan)",,,"(nan, nan)",,9638,1195787,
met_tmin_low_vs_med,binary_pair,-0.8206604740006007,"(np.float64(-1.3020153529079037), np.float64(-0.3369580039010778))",0.0009011242125508219,,"(nan, nan)",,,"(nan, nan)",,9284,944629,
flood,binary_simple,0.42424676431445096,"(np.float64(-0.501811428319554), np.float64(1.3589240462851926))",0.3704410037100234,,"(nan, nan)",,,"(nan, nan)",,11752,1500329,
aqrean_carbon_monoxide_high_vs_not,binary_simple,1.3741586766116587,"(np.float64(1.0488095708634404), np.float64(1.7005553161315357))",8.691099509831044e-17,,"(nan, nan)",,,"(nan, nan)",,10408,907782,
aqrean_daqi_overall_daqipair1,daqi_pair1,-1.3701179032086008,"(np.float64(-1.843606934998221), np.float64(-0.894344844304451))",1.9216154869115163e-08,,"(nan, nan)",,,"(nan, nan)",,10391,898467,
aqrean_daqi_overall_daqipair2,daqi_pair2,-0.45957463080399386,"(np.float64(-0.6730117877646102), np.float64(-0.24567883293630244))",2.599505470111391e-05,,"(nan, nan)",,,"(nan, nan)",,10391,898467,
aqrean_nitrogen_monoxide_high_vs_not,binary_simple,0.52938876370201,"(np.float64(0.23285503741015123), np.float64(0.8267997697121388))",0.0004598644677870928,,"(nan, nan)",,,"(nan, nan)",,10408,907782,
aqrean_nitrogen_dioxide_high_vs_not,binary_simple,-1.8915449818498131,"(np.float64(-2.290730912824801), np.float64(-1.490728198357183))",4.303777374204964e-20,,"(nan, nan)",,,"(nan, nan)",,10408,907782,
aqrean_daqi_nitrogen_dioxide_daqipair1,daqi_pair1,,"(nan, nan)",,,"(nan, nan)",,,"(nan, nan)",,10391,898467,Singular matrix
aqrean_daqi_nitrogen_dioxide_daqipair2,daqi_pair2,,"(nan, nan)",,,"(nan, nan)",,,"(nan, nan)",,10391,898467,Singular matrix
aqrean_nox_expressed_as_nitrogen_dioxide_high_vs_not,binary_simple,0.23792073869963737,"(np.float64(-0.06899812509321146), np.float64(0.5457822447875182))",0.1288072024757279,,"(nan, nan)",,,"(nan, nan)",,10408,907782,
aqrean_ozone_high_vs_not,binary_simple,-1.6937332035281139,"(np.float64(-1.9980024633648008), np.float64(-1.388519271288735))",3.420088837900239e-27,,"(nan, nan)",,,"(nan, nan)",,10408,907782,
aqrean_daqi_ozone_daqipair1,daqi_pair1,1.0714698541206324,"(np.float64(-2.086071348706975), np.float64(4.330835859454751))",0.5104490065036424,,"(nan, nan)",,,"(nan, nan)",,10391,898467,
aqrean_daqi_ozone_daqipair2,daqi_pair2,-1.3938814127063548,"(np.float64(-1.6867236345171066), np.float64(-1.1001669122975732))",2.2444027989606793e-20,,"(nan, nan)",,,"(nan, nan)",,10391,898467,
