parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct,eti_mean_pct,eti_2.5pc_pct,eti_97.5pc_pct
intercept,5.55,0.004,5.544,5.557,0.001,0.001,10.0,27.0,2.16,25623.755590577475,25469.87515996685,25804.45358484192,25633.239925371792,25481.037209883958,25827.699173493602
slope,-0.054,0.003,-0.06,-0.048,0.001,0.0,28.0,52.0,1.2,-5.256789349820168,-5.823546641575128,-4.686621292249527,-5.230681422783318,-5.858017118673679,-4.6602633424119215
practice_intercept_offset[0],-0.3,0.047,-0.382,-0.199,0.014,0.008,12.0,25.0,1.72,-25.91817793182821,-31.750494679461,-18.04501066670744,,,
practice_intercept_offset[1],1.493,0.045,1.418,1.591,0.013,0.008,13.0,24.0,1.6,345.0426792472426,312.88544680983665,390.8655129946909,,,
practice_intercept_offset[2],-0.265,0.07,-0.403,-0.132,0.012,0.002,34.0,195.0,1.16,-23.279405002414432,-33.16879006764397,-12.365900492062664,,,
practice_intercept_offset[3],0.638,0.045,0.561,0.74,0.013,0.008,13.0,23.0,1.68,89.26917079807227,75.2424048424499,109.59355144943645,,,
practice_intercept_offset[4],0.446,0.043,0.369,0.538,0.013,0.007,12.0,27.0,1.71,56.20514665337439,44.628760367473966,71.25782781873475,,,
practice_intercept_offset[5],1.111,0.045,1.04,1.214,0.013,0.008,13.0,24.0,1.66,203.73942705151612,182.921701435156,236.69254548427423,,,
practice_intercept_offset[6],0.683,0.043,0.606,0.772,0.012,0.006,12.0,33.0,1.71,97.98082567660498,83.30843770260485,116.40901087061212,,,
practice_intercept_offset[7],-0.246,0.065,-0.377,-0.122,0.012,0.003,29.0,107.0,1.19,-21.80777750745228,-31.408392610397986,-11.485163149737287,,,
practice_intercept_offset[8],0.602,0.045,0.52,0.692,0.013,0.005,13.0,38.0,1.64,82.57666846595977,68.20276496988865,99.7706954400252,,,
practice_intercept_offset[9],0.964,0.044,0.887,1.054,0.012,0.006,12.0,32.0,1.7,162.21641807745738,142.7835209469566,186.91046142564792,,,
practice_intercept_offset[10],0.195,0.044,0.113,0.284,0.012,0.006,13.0,32.0,1.67,21.531098648973067,11.963193294858598,32.84329307527947,,,
practice_intercept_offset[11],0.096,0.045,0.012,0.191,0.013,0.007,13.0,30.0,1.63,10.075906399397883,1.2072288866077807,21.045945208129947,,,
practice_intercept_offset[12],-0.48,0.047,-0.563,-0.378,0.014,0.008,12.0,25.0,1.7,-38.12166081938592,-43.05019954704583,-31.476949933412968,,,
practice_intercept_offset[13],-0.845,0.051,-0.941,-0.738,0.013,0.006,15.0,36.0,1.48,-57.044264178926085,-60.976259722800805,-52.19309017836225,,,
practice_intercept_offset[14],0.676,0.045,0.594,0.767,0.013,0.005,13.0,36.0,1.66,96.5997991289726,81.12188202285726,115.32966642600393,,,
practice_intercept_offset[15],1.414,0.045,1.343,1.519,0.013,0.009,13.0,24.0,1.63,311.23720370646095,283.0517838776802,356.7655255297767,,,
practice_intercept_offset[16],0.93,0.045,0.85,1.027,0.013,0.006,14.0,31.0,1.58,153.4509177617855,133.96468519259906,179.26752293958893,,,
practice_intercept_offset[17],0.898,0.044,0.817,0.984,0.012,0.006,13.0,32.0,1.68,145.46888208630264,126.36985450594862,167.51354109963805,,,
practice_intercept_offset[18],0.695,0.044,0.616,0.783,0.012,0.005,13.0,35.0,1.69,100.37090739411752,85.15071812945382,118.80265087438823,,,
practice_intercept_offset[19],1.386,0.043,1.31,1.474,0.012,0.005,12.0,35.0,1.71,299.8822728800372,270.6173712210199,336.6666921946391,,,
practice_intercept_offset[20],0.796,0.044,0.717,0.887,0.013,0.007,12.0,28.0,1.69,121.66565453905424,104.8279146723384,142.7835209469566,,,
practice_intercept_offset[21],0.227,0.045,0.143,0.315,0.013,0.005,13.0,35.0,1.66,25.48298679402794,15.372980166601046,37.02593109569967,,,
practice_intercept_offset[22],-0.372,0.046,-0.459,-0.276,0.013,0.008,12.0,25.0,1.7,-31.06457574757776,-36.80847551005041,-24.118706923875862,,,
practice_intercept_offset[23],1.423,0.044,1.342,1.511,0.013,0.005,13.0,37.0,1.64,314.9550437245141,282.66892355586845,353.1259789228607,,,
practice_intercept_offset[24],0.975,0.045,0.899,1.075,0.013,0.008,13.0,23.0,1.66,165.11672109826063,145.71447374375168,192.99929005337012,,,
practice_intercept_offset[25],-0.166,0.045,-0.25,-0.077,0.013,0.006,13.0,32.0,1.66,-15.295376581060038,-22.119921692859517,-7.411014639350466,,,
practice_intercept_offset[26],1.322,0.043,1.247,1.41,0.012,0.005,12.0,35.0,1.72,275.0915711851864,247.98876194379943,309.59554040711754,,,
practice_intercept_offset[27],1.224,0.044,1.146,1.313,0.013,0.006,12.0,32.0,1.72,240.07636182238505,214.55853699405552,271.73089278188314,,,
practice_intercept_offset[28],1.048,0.043,0.975,1.144,0.012,0.007,13.0,27.0,1.68,185.19415273209768,165.11672109826063,213.93004861793963,,,
practice_intercept_offset[29],-0.634,0.054,-0.736,-0.526,0.013,0.004,19.0,66.0,1.34,-46.95343111380252,-52.097380681124896,-40.90358953184376,,,
practice_intercept_offset[30],1.598,0.045,1.527,1.702,0.013,0.008,13.0,24.0,1.59,394.3136259010431,360.4343052862363,448.49062417076846,,,
practice_intercept_offset[31],0.49,0.044,0.409,0.575,0.012,0.005,13.0,41.0,1.66,63.23162199553789,50.53117204855597,77.71305269140383,,,
practice_intercept_offset[32],1.371,0.045,1.3,1.473,0.013,0.008,13.0,24.0,1.63,293.9288014497347,266.92966676192447,336.230243763031,,,
practice_intercept_offset[33],0.605,0.045,0.524,0.694,0.013,0.005,13.0,35.0,1.65,83.12522088857732,68.87692344784637,100.17063663879028,,,
practice_intercept_offset[34],-0.221,0.045,-0.304,-0.128,0.013,0.006,13.0,33.0,1.66,-19.82833197098047,-26.21391335494089,-12.01466208553562,,,
practice_intercept_offset[35],0.766,0.045,0.693,0.868,0.013,0.008,12.0,22.0,1.7,115.11444438853182,99.9705660541164,138.21418024579782,,,
practice_intercept_offset[36],0.622,0.045,0.545,0.721,0.013,0.008,13.0,23.0,1.66,86.2649618265929,72.46083823764356,105.6488671413628,,,
practice_intercept_offset[37],0.763,0.043,0.686,0.853,0.012,0.006,12.0,33.0,1.7,114.47006810307654,98.57565995893265,134.66763314289145,,,
practice_intercept_offset[38],1.014,0.046,0.925,1.102,0.012,0.005,14.0,37.0,1.57,175.6605413200825,152.1868260358148,201.01803683339324,,,
practice_intercept_offset[39],0.774,0.044,0.691,0.858,0.012,0.005,13.0,38.0,1.68,116.84226199906476,99.57102459664613,135.84390954904646,,,
practice_intercept_offset[40],1.416,0.044,1.335,1.504,0.013,0.006,13.0,34.0,1.67,312.0605011368718,279.999594641927,349.9651727984507,,,
practice_intercept_offset[41],0.671,0.046,0.592,0.77,0.013,0.007,13.0,29.0,1.6,95.61925354010236,80.76000026120045,115.97662537849152,,,
practice_intercept_offset[42],0.859,0.045,0.783,0.958,0.013,0.008,13.0,23.0,1.68,136.07987141986743,118.80265087438823,160.64783003886967,,,
practice_intercept_offset[43],0.262,0.061,0.142,0.382,0.014,0.006,20.0,44.0,1.3,29.95265424293818,15.257664853700504,46.521208513296,,,
practice_intercept_offset[44],0.262,0.046,0.177,0.361,0.012,0.006,14.0,31.0,1.53,29.95265424293818,19.36310931271388,43.476346087855575,,,
