parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct
Intercept,6.178,0.03,6.132,6.207,0.015,0.006,5.0,23.0,2.52,48102.69377803253,45935.59524865033,49521.03849506005
practice_offset[0],-0.728,0.111,-0.877,-0.59,0.055,0.012,5.0,28.0,3.1,-51.712622746877024,-58.39708711923475,-44.56727152654929
practice_offset[1],1.178,0.142,0.957,1.372,0.071,0.034,4.0,13.0,3.45,224.78719588953,160.38731248931538,294.3229272812564
practice_offset[2],-0.373,0.066,-0.48,-0.271,0.032,0.012,5.0,12.0,2.68,-31.133476715604424,-38.121660819385916,-23.738350359493467
practice_offset[3],0.218,0.025,0.184,0.265,0.012,0.006,5.0,15.0,2.32,24.35870676190619,20.20158230963014,30.343097577836886
practice_offset[4],0.372,0.056,0.295,0.469,0.028,0.014,4.0,17.0,3.26,45.06329812931589,34.31263586862767,59.83949987546404
practice_offset[5],0.876,0.088,0.729,0.996,0.044,0.022,5.0,28.0,2.73,140.12753690986247,107.30065642609921,170.74304184338024
practice_offset[6],0.304,0.049,0.248,0.39,0.024,0.011,5.0,15.0,2.85,35.52690560896716,28.145993219402122,47.69807938826427
practice_offset[7],-0.074,0.08,-0.208,0.049,0.039,0.02,5.0,12.0,2.59,-7.132830615871278,-18.779296328806094,5.022035074002806
practice_offset[8],0.339,0.081,0.252,0.484,0.04,0.021,4.0,15.0,3.16,40.35433452127262,28.65960372848406,62.25516456522613
practice_offset[9],0.57,0.064,0.466,0.668,0.032,0.016,5.0,13.0,2.85,76.8267051433735,59.36069993484847,95.03327518649616
practice_offset[10],0.081,0.045,0.006,0.157,0.022,0.01,5.0,12.0,3.04,8.437089656676022,0.6018036054064924,16.999561390091355
practice_offset[11],0.0,0.039,-0.059,0.059,0.019,0.007,5.0,12.0,3.07,0.0,-5.729323084290028,6.077524074015894
practice_offset[12],-0.234,0.046,-0.318,-0.182,0.023,0.012,5.0,22.0,2.7,-20.863818410441613,-27.239721158540455,-16.63986595842647
practice_offset[13],-0.682,0.099,-0.799,-0.537,0.049,0.013,5.0,17.0,2.18,-49.43952290603085,-55.022148217927224,-41.55008778774176
practice_offset[14],0.434,0.082,0.348,0.58,0.041,0.022,5.0,17.0,3.12,54.341886811648706,41.62322497400235,78.60384307500732
practice_offset[15],1.075,0.147,0.876,1.299,0.073,0.035,4.0,19.0,3.13,192.99929005337015,140.12753690986247,266.5629204988562
practice_offset[16],0.549,0.056,0.433,0.628,0.026,0.009,6.0,12.0,1.92,73.15206311872335,54.18762207006325,87.38591108247434
practice_offset[17],0.53,0.099,0.407,0.692,0.05,0.025,5.0,38.0,2.62,69.89323086185506,50.23041056619504,99.7706954400252
practice_offset[18],0.364,0.073,0.282,0.49,0.036,0.019,5.0,17.0,2.95,43.90742141580461,32.577871998679186,63.23162199553789
practice_offset[19],1.104,0.165,0.889,1.367,0.082,0.041,5.0,16.0,2.98,201.62067534469182,143.26957387976566,292.35623347663864
practice_offset[20],0.646,0.089,0.529,0.789,0.044,0.022,5.0,19.0,3.05,90.78939696124533,69.7234225493002,120.11941311607531
practice_offset[21],-0.44,0.062,-0.554,-0.359,0.031,0.015,4.0,13.0,3.3,-35.59635789168587,-42.53533794105343,-30.162564864842643
practice_offset[22],-0.586,0.095,-0.708,-0.459,0.047,0.01,4.0,16.0,3.11,-44.345096558953514,-50.73715301998645,-36.80847551005041
practice_offset[23],0.867,0.125,0.7,1.071,0.062,0.03,5.0,25.0,2.99,137.97608513294966,101.37527074704767,191.82963376527417
practice_offset[24],0.513,0.044,0.434,0.557,0.022,0.012,6.0,35.0,1.85,67.02945698405354,54.341886811648706,74.54283529493428
practice_offset[25],-0.11,0.038,-0.161,-0.061,0.019,0.002,5.0,27.0,2.2,-10.416586470347177,-14.870792889284889,-5.917676022399032
practice_offset[26],0.488,0.064,0.401,0.592,0.032,0.016,5.0,17.0,2.65,62.90548499725743,49.331726849996,80.76000026120045
practice_offset[27],0.553,0.08,0.444,0.684,0.04,0.02,5.0,19.0,2.71,73.84605843650698,55.893048562191524,98.17890552569948
practice_offset[28],0.608,0.082,0.495,0.74,0.041,0.02,5.0,28.0,2.66,83.67542143941897,64.0498239057044,109.59355144943643
practice_offset[29],-0.452,0.062,-0.563,-0.361,0.031,0.016,5.0,16.0,2.75,-36.36458302749129,-43.05019954704583,-30.30210015331273
practice_offset[30],1.131,0.137,0.929,1.33,0.068,0.032,4.0,12.0,3.18,209.8753704969158,153.19759352725134,278.1043387568781
practice_offset[31],0.318,0.072,0.247,0.447,0.036,0.019,5.0,14.0,2.69,37.437626122756114,28.017911277827,56.36142992864181
practice_offset[32],1.09,0.14,0.889,1.296,0.07,0.034,5.0,13.0,3.13,197.42740725630657,143.26957387976566,265.46487962220516
practice_offset[33],0.089,0.039,0.034,0.157,0.019,0.01,5.0,23.0,3.0,9.308065632633022,3.4584606728117917,16.999561390091355
practice_offset[34],-0.564,0.083,-0.662,-0.448,0.041,0.011,5.0,31.0,2.46,-43.10712088208783,-48.41813351634059,-36.109531596808374
practice_offset[35],0.303,0.039,0.251,0.362,0.019,0.006,5.0,18.0,3.13,35.391446444228826,28.53100843311953,43.61989419603518
practice_offset[36],0.137,0.024,0.098,0.174,0.011,0.003,5.0,20.0,2.47,14.682814852039815,10.296278510850776,19.005556582036263
practice_offset[37],0.273,0.049,0.216,0.352,0.024,0.01,5.0,24.0,2.49,31.390024482473923,24.110237900067165,42.19085237185774
practice_offset[38],0.676,0.142,0.438,0.849,0.071,0.035,4.0,12.0,3.22,96.59979912897259,54.960490741950885,133.73083745076474
practice_offset[39],0.459,0.078,0.36,0.602,0.039,0.021,4.0,19.0,3.86,58.24907027825334,43.332941456034014,82.57666846595977
practice_offset[40],1.315,0.147,1.084,1.5,0.073,0.034,4.0,13.0,3.83,272.4750985251216,195.64818581475447,348.1689070338065
practice_offset[41],0.461,0.07,0.362,0.579,0.035,0.017,4.0,15.0,3.44,58.56588512805472,43.61989419603518,78.42532850409398
practice_offset[42],0.587,0.072,0.479,0.699,0.036,0.018,5.0,14.0,2.63,79.85845599876696,61.445913555862305,101.17399613038182
practice_offset[43],0.319,0.06,0.237,0.427,0.029,0.014,5.0,13.0,2.76,37.575132490603934,26.744111777528357,53.26526617240188
practice_offset[44],0.341,0.108,0.15,0.452,0.054,0.028,5.0,27.0,2.88,40.635324086216926,16.183424272828304,57.145194857764906
practice_offset[45],0.161,0.036,0.109,0.237,0.017,0.01,5.0,12.0,2.9,17.468496881387164,11.516235034144785,26.744111777528357
practice_offset[46],-0.008,0.03,-0.075,0.025,0.015,0.01,5.0,12.0,2.08,-0.7968085162939342,-7.225651367144714,2.531512052442886
practice_offset[47],0.45,0.047,0.379,0.523,0.023,0.01,5.0,16.0,2.9,56.83121854901687,46.08230357434317,68.70813093472113
practice_offset[48],0.44,0.058,0.359,0.537,0.029,0.015,5.0,14.0,3.08,55.2707218511336,43.18968015716587,71.0866555912941
practice_offset[49],0.452,0.068,0.356,0.559,0.034,0.016,4.0,14.0,3.52,57.145194857764906,42.760754826384485,74.89227028403494
practice_offset[50],-0.979,0.133,-1.127,-0.785,0.066,0.02,4.0,12.0,3.42,-62.43134023316321,-67.59961887040859,-54.38802982143608
practice_offset[51],0.199,0.03,0.15,0.24,0.014,0.004,5.0,14.0,2.32,22.018196589987248,16.183424272828304,27.12491503214047
practice_offset[52],0.108,0.026,0.057,0.144,0.012,0.004,5.0,15.0,2.28,11.404774538646766,5.865581039550016,15.488410852491352
practice_offset[53],-0.597,0.116,-0.764,-0.45,0.058,0.019,5.0,26.0,2.92,-44.95394568738234,-53.42005023501717,-36.23718483782267
practice_offset[54],-0.042,0.032,-0.104,-0.005,0.015,0.009,6.0,22.0,1.85,-4.1130219427515495,-9.877470257879517,-0.498752080731768
practice_offset[55],-0.446,0.069,-0.536,-0.345,0.034,0.009,5.0,32.0,2.95,-35.981622793835285,-41.49160864082931,-29.177964653220002
practice_offset[56],-0.433,0.068,-0.557,-0.357,0.034,0.018,5.0,22.0,2.76,-35.14395081950239,-42.70747359464816,-30.022750226538896
practice_offset[57],-0.368,0.078,-0.472,-0.278,0.039,0.007,4.0,11.0,3.37,-30.788281831126962,-37.62464870822478,-24.270317848566446
practice_offset[58],0.26,0.024,0.223,0.297,0.011,0.003,5.0,26.0,2.11,29.69300866657718,24.982057373598398,34.581529944809766
practice_offset[59],-1.199,0.134,-1.428,-1.007,0.066,0.034,5.0,15.0,2.97,-69.85044432285682,-76.02119809746752,-63.46867228641386
practice_offset[60],-1.169,0.296,-1.665,-0.846,0.148,0.075,4.0,12.0,3.18,-68.93225365580382,-81.0809342018018,-57.087198444036744
practice_offset[61],-0.622,0.094,-0.734,-0.485,0.047,0.01,5.0,13.0,2.56,-46.313037610854046,-52.0014795733464,-38.43028032357149
practice_offset[62],-1.106,0.149,-1.277,-0.885,0.074,0.02,5.0,13.0,2.8,-66.91201630900079,-72.11273352254875,-58.728582672095044
practice_offset[63],-0.68,0.305,-1.208,-0.409,0.152,0.083,4.0,16.0,3.29,-49.33830076344105,-70.12057292188987,-33.568576767778325
practice_offset[64],-1.73,0.256,-2.093,-1.371,0.127,0.048,4.0,16.0,3.31,-82.27155900301221,-87.66833695540612,-74.61470203956134
practice_offset[65],0.082,0.031,0.027,0.132,0.015,0.006,5.0,11.0,3.06,8.545580982954903,2.736780276348938,14.11083192672351
practice_offset[66],-0.301,0.091,-0.447,-0.204,0.045,0.018,5.0,13.0,3.0,-25.99222272532924,-36.04560917251991,-18.45376288127073
practice_offset[67],-0.838,0.13,-1.013,-0.659,0.065,0.021,4.0,33.0,3.16,-56.74251915271134,-63.687204001954,-48.263155566197845
practice_offset[68],-0.905,0.121,-1.053,-0.715,0.06,0.02,5.0,27.0,2.19,-59.54581148969812,-65.11104909898467,-51.08078882036684
practice_offset[69],0.372,0.045,0.297,0.437,0.022,0.009,4.0,16.0,3.15,45.06329812931589,34.581529944809766,54.80560770563401
practice_offset[70],-1.218,0.184,-1.461,-0.963,0.092,0.032,4.0,11.0,3.19,-70.41787818879668,-76.799584546553,-61.825407138655294
practice_offset[71],-0.329,0.064,-0.412,-0.248,0.032,0.005,5.0,30.0,2.5,-28.035698325292458,-33.76757239478777,-21.964005672196574
practice_offset[72],-1.543,0.327,-2.06,-1.125,0.163,0.076,4.0,12.0,3.53,-78.62610781263383,-87.25460301051793,-67.53475326416503
practice_offset[73],-0.398,0.09,-0.531,-0.292,0.045,0.013,5.0,29.0,2.87,-32.833797233799025,-41.19833410869147,-25.323146402664285
practice_offset[74],1.72,0.156,1.475,1.884,0.078,0.031,5.0,26.0,2.31,458.4528464276054,337.10357729297584,557.9771379652822
practice_offset[75],-0.216,0.056,-0.286,-0.144,0.027,0.005,5.0,14.0,2.56,-19.426469812652037,-24.873738405311396,-13.4112251940795
practice_offset[76],1.501,0.233,1.215,1.882,0.116,0.056,4.0,12.0,3.75,348.6173001000073,237.0294064321607,556.6624987667632
practice_offset[77],0.379,0.044,0.323,0.465,0.021,0.011,6.0,22.0,1.85,46.08230357434317,38.12653509056301,59.20141888871011
practice_offset[78],1.642,0.126,1.43,1.792,0.062,0.029,4.0,13.0,3.24,416.5490168475172,317.86991919232463,500.1443358210744
practice_offset[79],0.503,0.052,0.431,0.584,0.026,0.009,4.0,26.0,3.15,65.367486118276,53.879554995686505,79.31968918506624
