parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct
mu_alpha,6.053,1.232,3.592,8.478,0.014,0.015,7285.0,4956.0,1.0,42438.72795534746,3530.661659481754,480682.4625556587
alpha_size[0],4.053,0.02,4.017,4.094,0.005,0.001,20.0,188.0,1.15,5656.990796362163,5453.425291382437,5897.932982795869
alpha_size[1],8.111,0.01,8.09,8.128,0.002,0.001,20.0,44.0,1.14,332990.7272267547,326068.7570226708,338701.6751086061
practice_offset[0],-0.721,0.059,-0.834,-0.607,0.015,0.003,16.0,51.0,1.16,-51.37342530009654,-56.56914270760049,-45.501663079245205
practice_offset[1],1.452,0.056,1.343,1.558,0.012,0.003,22.0,105.0,1.12,327.1649276115181,283.0517838776802,374.9313113948145
practice_offset[2],-0.291,0.061,-0.406,-0.171,0.015,0.003,17.0,59.0,1.15,-25.248432198190894,-33.36898325751137,-15.71784265283801
practice_offset[3],0.325,0.057,0.215,0.435,0.013,0.003,18.0,74.0,1.14,38.40306459807514,23.986189696606175,54.49630589513384
practice_offset[4],0.562,0.056,0.457,0.669,0.013,0.003,18.0,76.0,1.15,75.41773489770915,57.93288842494408,95.22840601083391
practice_offset[5],1.063,0.057,0.955,1.171,0.012,0.003,21.0,95.0,1.12,189.50431039036303,159.86705829195213,222.52162427004808
practice_offset[6],0.446,0.055,0.341,0.552,0.014,0.003,17.0,63.0,1.16,56.20514665337439,40.635324086216926,73.67229927213259
practice_offset[7],0.164,0.063,0.043,0.283,0.014,0.003,20.0,93.0,1.13,17.821431509272223,4.393789485061261,32.71051618171572
practice_offset[8],0.573,0.056,0.464,0.683,0.014,0.003,17.0,67.0,1.16,77.35798177529409,59.042297044003924,97.98082567660498
practice_offset[9],0.732,0.055,0.624,0.837,0.013,0.003,17.0,67.0,1.15,107.92349218188444,86.63786452864724,130.94282890863056
practice_offset[10],0.214,0.057,0.1,0.321,0.014,0.003,16.0,54.0,1.17,23.862265479345226,10.517091807564771,37.85055808937538
practice_offset[11],0.045,0.055,-0.059,0.152,0.014,0.003,16.0,61.0,1.17,4.602785990871694,-5.729323084290028,16.41602364321124
practice_offset[12],-0.112,0.058,-0.224,-0.002,0.014,0.003,18.0,75.0,1.15,-10.59557424996428,-20.06848656306349,-0.1998001332666921
practice_offset[13],-0.673,0.059,-0.783,-0.559,0.015,0.003,16.0,55.0,1.16,-48.982424755917975,-54.29671459629222,-42.82194413875791
practice_offset[14],0.664,0.056,0.555,0.77,0.014,0.003,17.0,70.0,1.15,94.25470027367541,74.19409847740755,115.97662537849152
practice_offset[15],1.371,0.056,1.263,1.48,0.012,0.003,22.0,102.0,1.12,293.9288014497347,253.60136321004734,339.2945680918757
practice_offset[16],0.561,0.055,0.456,0.668,0.014,0.003,17.0,65.0,1.16,75.2424048424499,57.775034476647804,95.03327518649616
practice_offset[17],0.769,0.056,0.661,0.877,0.013,0.003,17.0,70.0,1.15,115.76075670543857,93.67280944551469,140.36778455057203
