name,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.683,0.001,0.682,0.684,0.0,0.0,41533.0,17125.0,1.0
Intercept,-0.06,0.008,-0.075,-0.045,0.0,0.0,2302.0,5191.0,1.0
C(flood)[1.0],0.036,0.012,0.014,0.059,0.0,0.0,43648.0,17012.0,1.0
hydro_rain_values,0.007,0.002,0.003,0.011,0.0,0.0,18593.0,17903.0,1.0
met_rain_values,0.004,0.002,-0.0,0.007,0.0,0.0,19314.0,17906.0,1.0
met_tmax_values,0.081,0.006,0.068,0.093,0.0,0.0,10316.0,15362.0,1.0
met_tmin_values,-0.022,0.005,-0.033,-0.012,0.0,0.0,16777.0,17836.0,1.0
aqrean_carbon_monoxide_values,0.025,0.002,0.022,0.028,0.0,0.0,37386.0,18754.0,1.0
aqrean_daqi_overall_values,-0.003,0.003,-0.009,0.002,0.0,0.0,22937.0,18741.0,1.0
aqrean_nitrogen_monoxide_values,0.02,0.011,-0.001,0.042,0.0,0.0,19087.0,17293.0,1.0
aqrean_nitrogen_dioxide_values,0.005,0.003,-0.001,0.012,0.0,0.0,16270.0,18454.0,1.0
aqrean_daqi_nitrogen_dioxide_values,-0.004,0.001,-0.007,-0.001,0.0,0.0,31086.0,19037.0,1.0
aqrean_nox_expressed_as_nitrogen_dioxide_values,-0.04,0.013,-0.065,-0.016,0.0,0.0,19207.0,17283.0,1.0
aqrean_ozone_values,-0.015,0.003,-0.02,-0.01,0.0,0.0,26394.0,18819.0,1.0
aqrean_daqi_ozone_values,0.004,0.002,-0.001,0.008,0.0,0.0,21799.0,18250.0,1.0
aqrean_pm2p5_values,-0.03,0.003,-0.035,-0.024,0.0,0.0,20600.0,18883.0,1.0
aqrean_daqi_pm2p5_values,0.002,0.004,-0.005,0.009,0.0,0.0,20534.0,19139.0,1.0
aqrean_pm10_values,0.042,0.003,0.037,0.047,0.0,0.0,20589.0,18998.0,1.0
aqrean_daqi_pm10_values,-0.028,0.002,-0.033,-0.023,0.0,0.0,33810.0,19065.0,1.0
aqrean_sulfur_dioxide_values,-0.003,0.001,-0.005,0.0,0.0,0.0,27502.0,19570.0,1.0
aqrean_daqi_sulfur_dioxide_values,-0.0,0.001,-0.002,0.001,0.0,0.0,37271.0,19406.0,1.0
met_tmax_values:met_rain_values,0.028,0.006,0.016,0.039,0.0,0.0,11948.0,15604.0,1.0
met_tmin_values:met_rain_values,-0.027,0.006,-0.038,-0.015,0.0,0.0,12255.0,15576.0,1.0
met_tmax_values:hydro_rain_values,0.002,0.006,-0.011,0.014,0.0,0.0,12333.0,15473.0,1.0
met_tmin_values:hydro_rain_values,0.002,0.006,-0.011,0.014,0.0,0.0,12512.0,15544.0,1.0
C(month)[2],-0.406,0.005,-0.415,-0.396,0.0,0.0,12910.0,16401.0,1.0
C(month)[3],0.11,0.005,0.099,0.121,0.0,0.0,9822.0,15860.0,1.0
C(month)[4],-0.079,0.007,-0.092,-0.065,0.0,0.0,7011.0,13037.0,1.0
C(month)[5],0.042,0.008,0.027,0.058,0.0,0.0,5582.0,10118.0,1.0
C(month)[6],-0.124,0.01,-0.142,-0.105,0.0,0.0,5497.0,9360.0,1.0
C(month)[7],-0.029,0.011,-0.05,-0.006,0.0,0.0,5633.0,10074.0,1.0
C(month)[8],-0.106,0.01,-0.128,-0.087,0.0,0.0,5599.0,9914.0,1.0
C(month)[9],-0.129,0.009,-0.146,-0.111,0.0,0.0,5662.0,10281.0,1.0
C(month)[10],-0.009,0.007,-0.022,0.004,0.0,0.0,6224.0,11178.0,1.0
C(month)[11],-0.061,0.005,-0.071,-0.052,0.0,0.0,9626.0,15001.0,1.0
C(month)[12],0.217,0.004,0.208,0.226,0.0,0.0,12555.0,15748.0,1.0
1|practice_id_sigma,0.443,0.004,0.434,0.451,0.0,0.0,2792.0,6110.0,1.0
date_code|practice_id_sigma,0.746,0.007,0.732,0.759,0.0,0.0,1741.0,3680.0,1.01
1|practice_id[A81001],-0.193,0.085,-0.359,-0.028,0.0,0.001,30989.0,18790.0,1.0
1|practice_id[A81002],-0.039,0.086,-0.215,0.124,0.0,0.001,33752.0,20060.0,1.0
1|practice_id[A81003],0.561,0.18,0.2,0.907,0.001,0.001,23256.0,18490.0,1.0
1|practice_id[A81004],0.019,0.087,-0.148,0.188,0.0,0.001,32412.0,19378.0,1.0
1|practice_id[A81005],-0.244,0.085,-0.409,-0.076,0.0,0.001,29765.0,19587.0,1.0
1|practice_id[A81006],0.046,0.086,-0.124,0.215,0.0,0.001,31439.0,18880.0,1.0
1|practice_id[A81007],-0.212,0.084,-0.378,-0.048,0.001,0.001,28085.0,20152.0,1.0
1|practice_id[A81008],-0.622,0.189,-0.987,-0.253,0.001,0.001,21757.0,18446.0,1.0
1|practice_id[A81009],-0.267,0.086,-0.435,-0.1,0.001,0.001,29769.0,19061.0,1.0
1|practice_id[A81011],-0.318,0.085,-0.48,-0.147,0.001,0.001,28112.0,19322.0,1.0
1|practice_id[A81012],0.303,0.087,0.136,0.477,0.001,0.001,30319.0,19624.0,1.0
1|practice_id[A81013],-0.15,0.086,-0.316,0.019,0.001,0.001,28150.0,18457.0,1.0
1|practice_id[A81014],-0.568,0.086,-0.732,-0.396,0.0,0.001,29880.0,19134.0,1.0
1|practice_id[A81015],-0.259,0.109,-0.476,-0.05,0.001,0.001,24595.0,19736.0,1.0
1|practice_id[A81016],-0.275,0.086,-0.45,-0.111,0.0,0.001,32508.0,20133.0,1.0
1|practice_id[A81017],0.245,0.086,0.074,0.413,0.0,0.001,31542.0,19326.0,1.0
1|practice_id[A81018],0.119,0.085,-0.042,0.288,0.0,0.001,28703.0,19866.0,1.0
1|practice_id[A81019],-0.107,0.086,-0.275,0.064,0.0,0.001,31101.0,19315.0,1.0
1|practice_id[A81020],-0.019,0.086,-0.19,0.147,0.0,0.001,33987.0,19907.0,1.0
1|practice_id[A81021],-0.205,0.086,-0.376,-0.037,0.001,0.001,29516.0,19700.0,1.0
1|practice_id[A81022],-0.251,0.085,-0.418,-0.085,0.0,0.001,30268.0,19773.0,1.0
1|practice_id[A81023],-0.656,0.086,-0.825,-0.488,0.0,0.001,32847.0,19301.0,1.0
1|practice_id[A81025],0.096,0.086,-0.072,0.266,0.0,0.001,32662.0,19154.0,1.0
1|practice_id[A81026],-0.358,0.085,-0.527,-0.194,0.0,0.001,32291.0,19402.0,1.0
1|practice_id[A81027],0.304,0.086,0.135,0.471,0.001,0.001,28345.0,19773.0,1.0
1|practice_id[A81029],-0.115,0.087,-0.28,0.064,0.0,0.001,31891.0,18537.0,1.0
1|practice_id[A81030],-0.334,0.086,-0.503,-0.166,0.0,0.001,30749.0,18945.0,1.0
1|practice_id[A81031],-0.494,0.087,-0.663,-0.323,0.001,0.001,29923.0,19405.0,1.0
1|practice_id[A81032],-0.42,0.085,-0.586,-0.255,0.0,0.001,30550.0,20132.0,1.0
1|practice_id[A81033],-0.424,0.118,-0.657,-0.193,0.001,0.001,28603.0,19573.0,1.0
1|practice_id[A81034],0.038,0.086,-0.132,0.206,0.0,0.001,30998.0,18980.0,1.0
1|practice_id[A81035],-0.02,0.085,-0.191,0.144,0.0,0.001,31072.0,19856.0,1.0
1|practice_id[A81036],-0.442,0.086,-0.608,-0.275,0.0,0.001,30070.0,20049.0,1.0
1|practice_id[A81037],0.289,0.086,0.123,0.458,0.0,0.001,31907.0,18123.0,1.0
1|practice_id[A81038],0.468,0.085,0.298,0.634,0.0,0.001,29261.0,18604.0,1.0
1|practice_id[A81039],-0.222,0.085,-0.388,-0.056,0.001,0.001,26117.0,18465.0,1.0
1|practice_id[A81040],0.01,0.086,-0.165,0.173,0.0,0.001,31256.0,19957.0,1.0
1|practice_id[A81041],-0.238,0.085,-0.399,-0.066,0.001,0.001,27564.0,18674.0,1.0
1|practice_id[A81042],0.13,0.086,-0.038,0.298,0.0,0.0,32001.0,19890.0,1.0
1|practice_id[A81043],0.24,0.086,0.077,0.409,0.0,0.001,30943.0,19490.0,1.0
1|practice_id[A81044],0.248,0.085,0.082,0.414,0.0,0.0,30309.0,20269.0,1.0
1|practice_id[A81045],0.556,0.085,0.387,0.722,0.0,0.001,29354.0,19431.0,1.0
1|practice_id[A81046],0.023,0.086,-0.147,0.187,0.0,0.001,33243.0,19703.0,1.0
1|practice_id[A81047],-0.54,0.131,-0.803,-0.289,0.001,0.001,27970.0,18485.0,1.0
1|practice_id[A81048],0.369,0.085,0.197,0.531,0.0,0.001,30153.0,20137.0,1.0
