,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.689,0.001,0.688,0.69,0.0,0.0,43646.0,16652.0,1.0
Intercept,0.392,0.007,0.378,0.406,0.0,0.0,3016.0,5967.0,1.0
C(flood)[1.0],0.049,0.011,0.028,0.07,0.0,0.0,45787.0,17994.0,1.0
hydro_rain_values,-0.001,0.002,-0.005,0.003,0.0,0.0,19709.0,20075.0,1.0
met_rain_values,-0.007,0.002,-0.011,-0.004,0.0,0.0,18743.0,19438.0,1.0
met_tmax_values,-0.023,0.006,-0.035,-0.011,0.0,0.0,10188.0,14148.0,1.0
met_tmin_values,-0.101,0.005,-0.111,-0.091,0.0,0.0,16082.0,18161.0,1.0
aqrean_carbon_monoxide_values,0.01,0.002,0.007,0.013,0.0,0.0,34291.0,18009.0,1.0
aqrean_daqi_overall_values,0.027,0.003,0.022,0.032,0.0,0.0,22433.0,19111.0,1.0
aqrean_nitrogen_monoxide_values,-0.027,0.011,-0.048,-0.007,0.0,0.0,19425.0,17624.0,1.0
aqrean_nitrogen_dioxide_values,0.024,0.003,0.018,0.03,0.0,0.0,16461.0,18725.0,1.0
aqrean_daqi_nitrogen_dioxide_values,-0.008,0.001,-0.011,-0.005,0.0,0.0,34980.0,19265.0,1.0
aqrean_nox_expressed_as_nitrogen_dioxide_values,0.015,0.012,-0.007,0.039,0.0,0.0,19443.0,18176.0,1.0
aqrean_ozone_values,-0.013,0.003,-0.017,-0.008,0.0,0.0,25370.0,19610.0,1.0
aqrean_daqi_ozone_values,-0.019,0.002,-0.023,-0.015,0.0,0.0,18747.0,18034.0,1.0
aqrean_pm2p5_values,0.024,0.003,0.019,0.03,0.0,0.0,21927.0,18720.0,1.0
aqrean_daqi_pm2p5_values,-0.002,0.004,-0.009,0.005,0.0,0.0,20592.0,18651.0,1.0
aqrean_pm10_values,-0.016,0.003,-0.021,-0.011,0.0,0.0,21689.0,19421.0,1.0
aqrean_daqi_pm10_values,-0.02,0.002,-0.024,-0.016,0.0,0.0,35252.0,19247.0,1.0
aqrean_sulfur_dioxide_values,-0.004,0.001,-0.007,-0.001,0.0,0.0,28389.0,19301.0,1.0
aqrean_daqi_sulfur_dioxide_values,0.001,0.001,-0.0,0.002,0.0,0.0,37221.0,18724.0,1.0
met_tmax_values:met_rain_values,0.017,0.006,0.006,0.028,0.0,0.0,11671.0,15357.0,1.0
met_tmin_values:met_rain_values,-0.003,0.006,-0.014,0.008,0.0,0.0,12115.0,16685.0,1.0
met_tmax_values:hydro_rain_values,0.036,0.006,0.023,0.047,0.0,0.0,12170.0,16413.0,1.0
met_tmin_values:hydro_rain_values,-0.018,0.006,-0.03,-0.006,0.0,0.0,12383.0,16690.0,1.0
