parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct
alpha,7.7,0.026,7.655,7.742,0.009,0.004,9.0,11.0,3.51,220734.7991887209,211017.51192553548,230207.3927899505
practice_intercept_offset[0],0.047,0.037,-0.004,0.115,0.012,0.004,11.0,50.0,1.86,4.812200907965569,-0.39920106560085156,12.187343757193837
practice_intercept_offset[1],1.152,0.045,1.098,1.235,0.015,0.006,11.0,48.0,1.89,216.45156161079964,199.81636962270355,243.8378520705125
practice_intercept_offset[2],0.244,0.04,0.189,0.32,0.013,0.005,11.0,30.0,2.01,27.63443304894546,20.80409524829019,37.71277643359572
practice_intercept_offset[3],0.576,0.041,0.523,0.652,0.013,0.005,12.0,50.0,1.82,77.89085463024783,68.70813093472113,91.93757443089139
practice_intercept_offset[4],0.693,0.041,0.64,0.765,0.014,0.004,11.0,58.0,1.93,99.97056605411639,89.64808793049512,114.89943746552203
practice_intercept_offset[5],0.952,0.043,0.897,1.034,0.014,0.005,12.0,49.0,1.83,159.08862535031338,145.22353589775614,181.22925364724907
practice_intercept_offset[6],0.632,0.042,0.576,0.71,0.014,0.005,10.0,23.0,2.14,88.13695581487633,77.89085463024783,103.39912586467506
practice_intercept_offset[7],0.464,0.042,0.405,0.546,0.014,0.006,11.0,21.0,2.09,59.042297044003924,49.93025000567668,72.63338533505097
practice_intercept_offset[8],0.687,0.043,0.626,0.767,0.014,0.006,10.0,18.0,2.21,98.77433493982576,87.01151378240854,115.32966642600391
practice_intercept_offset[9],0.775,0.043,0.715,0.852,0.014,0.005,10.0,21.0,2.16,117.05921271834426,104.41866822585565,134.43308280446362
practice_intercept_offset[10],0.511,0.042,0.452,0.591,0.014,0.006,10.0,19.0,2.17,66.69573190640476,57.145194857764906,80.57933061082024
practice_intercept_offset[11],0.441,0.039,0.387,0.51,0.013,0.004,11.0,55.0,1.88,55.426070234230586,47.255649127313546,66.52911949458864
practice_intercept_offset[12],0.359,0.039,0.308,0.432,0.013,0.005,12.0,51.0,1.84,43.18968015716587,36.07009889371502,54.03351151611271
practice_intercept_offset[13],0.071,0.037,0.019,0.137,0.012,0.004,11.0,54.0,1.87,7.358122586835747,1.9181648617407898,14.682814852039815
practice_intercept_offset[14],0.733,0.043,0.674,0.815,0.014,0.006,10.0,17.0,2.23,108.13151967047499,96.20699246831083,125.91756723497012
practice_intercept_offset[15],1.108,0.044,1.054,1.192,0.015,0.006,11.0,49.0,1.88,202.82957423198042,186.91046142564792,229.36619483452665
practice_intercept_offset[16],0.65,0.049,0.568,0.742,0.014,0.003,14.0,96.0,1.53,91.55408290138962,76.47340515084595,110.01315801903608
practice_intercept_offset[17],0.782,0.043,0.722,0.864,0.014,0.006,10.0,18.0,2.25,118.58395758838131,105.85461886722113,137.26322669984424
practice_intercept_offset[18],0.69,0.043,0.631,0.771,0.014,0.006,10.0,17.0,2.24,99.37155332430822,87.94891289619105,116.19271002818779
practice_intercept_offset[19],1.112,0.046,1.049,1.197,0.015,0.006,10.0,15.0,2.29,204.0433183989171,185.47948952945035,231.0171497565163
practice_intercept_offset[20],0.852,0.042,0.798,0.925,0.014,0.004,11.0,61.0,1.94,134.43308280446362,122.10942947514347,152.1868260358148
practice_intercept_offset[21],0.234,0.04,0.178,0.314,0.013,0.005,10.0,24.0,2.1,26.364449220777786,19.482532123480077,36.888973654737555
practice_intercept_offset[22],0.125,0.037,0.075,0.195,0.012,0.004,12.0,51.0,1.85,13.314845306682631,7.788415088463152,21.531098648973067
practice_intercept_offset[23],0.96,0.045,0.896,1.043,0.015,0.006,10.0,18.0,2.16,161.16964734231178,144.97843493276594,183.77174096122096
practice_intercept_offset[24],0.735,0.042,0.681,0.814,0.014,0.005,12.0,50.0,1.81,108.54819925050276,97.5852597230606,125.69176258887525
practice_intercept_offset[25],0.369,0.041,0.309,0.447,0.014,0.005,10.0,21.0,2.11,44.628760367473966,36.2062370503422,56.36142992864181
practice_intercept_offset[26],0.735,0.043,0.676,0.818,0.014,0.006,10.0,17.0,2.21,108.54819925050276,96.59979912897259,126.59633758311956
practice_intercept_offset[27],0.788,0.043,0.731,0.868,0.014,0.005,10.0,21.0,2.17,119.89940372598839,107.71567261680337,138.21418024579782
practice_intercept_offset[28],0.83,0.042,0.777,0.904,0.014,0.004,11.0,62.0,1.94,129.33187402641826,117.49376555176343,146.946122668849
practice_intercept_offset[29],0.211,0.04,0.154,0.29,0.013,0.005,10.0,24.0,2.13,23.49123550613943,16.64908867784396,33.6427488025472
practice_intercept_offset[30],1.134,0.044,1.081,1.217,0.015,0.006,11.0,47.0,1.89,210.8063924430594,194.76257034472675,237.70413975343524
practice_intercept_offset[31],0.66,0.043,0.602,0.741,0.014,0.006,10.0,18.0,2.24,93.47923344020317,82.57666846595977,109.80324983260262
practice_intercept_offset[32],1.111,0.044,1.057,1.194,0.015,0.006,11.0,47.0,1.89,203.73942705151615,187.7724851990672,230.02558639595995
practice_intercept_offset[33],0.529,0.042,0.471,0.608,0.014,0.006,10.0,19.0,2.21,69.7234225493002,60.159498767440645,83.67542143941897
practice_intercept_offset[34],0.126,0.04,0.07,0.202,0.013,0.006,10.0,23.0,2.13,13.428216828302508,7.250818125421654,22.384800811135808
practice_intercept_offset[35],0.637,0.041,0.587,0.713,0.014,0.005,12.0,50.0,1.85,89.0799962303226,79.85845599876696,104.0102394543184
practice_intercept_offset[36],0.552,0.04,0.501,0.627,0.013,0.005,12.0,51.0,1.84,73.67229927213259,65.03708166063191,87.19861883312423
practice_intercept_offset[37],0.626,0.042,0.57,0.704,0.014,0.005,10.0,22.0,2.16,87.01151378240854,76.8267051433735,102.18238498235444
practice_intercept_offset[38],0.647,0.043,0.585,0.729,0.014,0.005,11.0,20.0,2.08,90.98028178471122,79.49909856399,107.30065642609921
practice_intercept_offset[39],0.744,0.043,0.683,0.825,0.014,0.006,10.0,18.0,2.23,110.43360464154782,97.98082567660498,128.18807653293035
practice_intercept_offset[40],1.182,0.046,1.119,1.267,0.015,0.005,10.0,21.0,2.13,226.08894643851917,206.17908810061292,255.01860124931585
