,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.724,0.001,0.723,0.726,0.0,0.0,51330.0,16707.0,1.0
Intercept,0.165,0.008,0.15,0.179,0.0,0.0,4195.0,8208.0,1.0
hydro_rain_values,-0.0,0.0,-0.0,-0.0,0.0,0.0,34375.0,18656.0,1.0
met_rain_values,-0.0,0.0,-0.0,-0.0,0.0,0.0,34636.0,18656.0,1.0
met_tmax_values,0.033,0.001,0.032,0.035,0.0,0.0,9732.0,14540.0,1.0
aqrean_carbon_monoxide_values,0.0,0.0,0.0,0.0,0.0,0.0,46018.0,17173.0,1.0
aqrean_daqi_overall_values,-0.024,0.002,-0.028,-0.02,0.0,0.0,26501.0,20190.0,1.0
aqrean_nitrogen_monoxide_values,-0.0,0.0,-0.0,0.0,0.0,0.0,26824.0,19316.0,1.0
aqrean_nitrogen_dioxide_values,0.0,0.0,0.0,0.001,0.0,0.0,29129.0,20225.0,1.0
aqrean_daqi_nitrogen_dioxide_values,0.031,0.004,0.023,0.039,0.0,0.0,37777.0,19239.0,1.0
aqrean_nox_expressed_as_nitrogen_dioxide_values,-0.0,0.0,-0.001,-0.0,0.0,0.0,27140.0,18449.0,1.0
aqrean_ozone_values,-0.002,0.0,-0.002,-0.002,0.0,0.0,37605.0,19186.0,1.0
aqrean_daqi_ozone_values,-0.029,0.003,-0.035,-0.023,0.0,0.0,31120.0,19934.0,1.0
aqrean_pm2p5_values,-0.001,0.0,-0.001,-0.0,0.0,0.0,33822.0,18280.0,1.0
aqrean_pm10_values,0.001,0.0,0.001,0.001,0.0,0.0,29305.0,20444.0,1.0
aqrean_daqi_pm10_values,-0.002,0.002,-0.006,0.003,0.0,0.0,45835.0,18359.0,1.0
aqrean_sulfur_dioxide_values,-0.003,0.0,-0.003,-0.002,0.0,0.0,37223.0,18357.0,1.0
aqrean_daqi_sulfur_dioxide_values,0.049,0.074,-0.09,0.189,0.0,0.0,27124.0,19945.0,1.0
hydro_rain_values:met_rain_values,-0.0,0.0,-0.0,-0.0,0.0,0.0,30082.0,19662.0,1.0
met_rain_values:met_tmax_values,0.0,0.0,0.0,0.0,0.0,0.0,30828.0,19048.0,1.0
hydro_rain_values:met_tmax_values,0.0,0.0,0.0,0.0,0.0,0.0,39406.0,19026.0,1.0
aqrean_nitrogen_dioxide_values:aqrean_nox_expressed_as_nitrogen_dioxide_values,0.0,0.0,0.0,0.0,0.0,0.0,28476.0,18356.0,1.0
aqrean_nitrogen_monoxide_values:aqrean_nox_expressed_as_nitrogen_dioxide_values,-0.0,0.0,-0.0,0.0,0.0,0.0,31129.0,22131.0,1.0
aqrean_daqi_overall_values:aqrean_daqi_nitrogen_dioxide_values,-0.019,0.002,-0.023,-0.015,0.0,0.0,45956.0,18847.0,1.0
aqrean_daqi_overall_values:aqrean_daqi_ozone_values,-0.017,0.002,-0.02,-0.014,0.0,0.0,26097.0,20678.0,1.0
aqrean_daqi_overall_values:aqrean_daqi_pm10_values,0.013,0.001,0.011,0.015,0.0,0.0,29254.0,18289.0,1.0
aqrean_daqi_overall_values:aqrean_daqi_sulfur_dioxide_values,-0.078,0.034,-0.141,-0.015,0.0,0.0,56573.0,18287.0,1.0
aqrean_daqi_nitrogen_dioxide_values:aqrean_nitrogen_dioxide_values,-0.004,0.0,-0.005,-0.003,0.0,0.0,26750.0,20051.0,1.0
aqrean_daqi_ozone_values:aqrean_ozone_values,0.002,0.0,0.002,0.002,0.0,0.0,26814.0,19680.0,1.0
aqrean_daqi_pm10_values:aqrean_pm10_values,-0.001,0.0,-0.001,-0.001,0.0,0.0,31108.0,19507.0,1.0
aqrean_daqi_sulfur_dioxide_values:aqrean_sulfur_dioxide_values,0.002,0.001,0.001,0.003,0.0,0.0,30570.0,20242.0,1.0
C(month)[2],-0.483,0.005,-0.492,-0.473,0.0,0.0,15245.0,17544.0,1.0
C(month)[3],0.012,0.006,0.001,0.023,0.0,0.0,12622.0,18029.0,1.0
C(month)[4],-0.108,0.007,-0.121,-0.095,0.0,0.0,8649.0,15219.0,1.0
C(month)[5],0.073,0.008,0.058,0.089,0.0,0.0,7316.0,13198.0,1.0
C(month)[6],0.096,0.01,0.077,0.114,0.0,0.0,6793.0,12178.0,1.0
C(month)[7],0.024,0.012,0.003,0.046,0.0,0.0,6895.0,12237.0,1.0
C(month)[8],-0.557,0.011,-0.577,-0.537,0.0,0.0,6864.0,12022.0,1.0
C(month)[9],-0.468,0.009,-0.485,-0.451,0.0,0.0,6720.0,11955.0,1.0
C(month)[10],-0.284,0.007,-0.298,-0.27,0.0,0.0,7549.0,12906.0,1.0
C(month)[11],-0.232,0.005,-0.242,-0.223,0.0,0.0,11156.0,16724.0,1.0
C(month)[12],0.219,0.005,0.21,0.227,0.0,0.0,14429.0,19095.0,1.0
1|practice_id_sigma,0.415,0.004,0.408,0.423,0.0,0.0,4180.0,8631.0,1.0
date_code|practice_id_sigma,0.766,0.007,0.753,0.779,0.0,0.0,2346.0,4791.0,1.01
1|practice_id[A81001],0.172,0.091,0.001,0.342,0.0,0.001,38612.0,19777.0,1.0
1|practice_id[A81002],0.191,0.09,0.026,0.362,0.0,0.001,36987.0,20129.0,1.0
1|practice_id[A81003],0.565,0.186,0.217,0.911,0.001,0.001,33063.0,17440.0,1.0
1|practice_id[A81004],0.157,0.091,-0.021,0.324,0.0,0.001,43291.0,19309.0,1.0
1|practice_id[A81005],0.403,0.09,0.235,0.57,0.0,0.001,35777.0,18490.0,1.0
1|practice_id[A81006],0.247,0.091,0.076,0.417,0.0,0.001,36269.0,19302.0,1.0
1|practice_id[A81007],0.165,0.089,0.001,0.335,0.0,0.001,36636.0,19324.0,1.0
1|practice_id[A81008],-0.637,0.194,-1.008,-0.276,0.001,0.001,34161.0,19134.0,1.0
1|practice_id[A81009],0.293,0.09,0.119,0.457,0.0,0.001,38659.0,18740.0,1.0
1|practice_id[A81011],-0.115,0.09,-0.292,0.049,0.0,0.001,39780.0,19550.0,1.0
1|practice_id[A81012],0.446,0.091,0.273,0.615,0.0,0.001,42669.0,19538.0,1.0
1|practice_id[A81013],-0.129,0.091,-0.307,0.035,0.0,0.001,37789.0,19130.0,1.0
1|practice_id[A81014],-0.474,0.092,-0.646,-0.302,0.0,0.001,38837.0,19247.0,1.0
