,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.69,0.001,0.689,0.691,0.0,0.0,42178.0,16753.0,1.0
Intercept,0.338,0.007,0.324,0.351,0.0,0.0,2911.0,5767.0,1.0
hydro_rain_values,-0.008,0.002,-0.012,-0.005,0.0,0.0,23717.0,19586.0,1.0
met_rain_values,-0.012,0.002,-0.015,-0.009,0.0,0.0,25009.0,19789.0,1.0
met_tmax_values,-0.15,0.003,-0.156,-0.144,0.0,0.0,7907.0,13522.0,1.0
aqrean_carbon_monoxide_values,0.013,0.002,0.01,0.016,0.0,0.0,41938.0,17393.0,1.0
aqrean_daqi_overall_values,0.026,0.002,0.023,0.03,0.0,0.0,27234.0,19819.0,1.0
aqrean_nitrogen_monoxide_values,-0.007,0.011,-0.027,0.013,0.0,0.0,18182.0,16287.0,1.0
aqrean_nitrogen_dioxide_values,0.031,0.003,0.025,0.037,0.0,0.0,15919.0,17993.0,1.0
aqrean_daqi_nitrogen_dioxide_values,-0.008,0.001,-0.011,-0.005,0.0,0.0,36048.0,17257.0,1.0
aqrean_nox_expressed_as_nitrogen_dioxide_values,-0.006,0.012,-0.029,0.017,0.0,0.0,18163.0,15766.0,1.0
aqrean_ozone_values,-0.017,0.003,-0.022,-0.012,0.0,0.0,25660.0,19299.0,1.0
aqrean_daqi_ozone_values,-0.016,0.002,-0.02,-0.012,0.0,0.0,23034.0,19324.0,1.0
aqrean_pm2p5_values,0.026,0.003,0.021,0.03,0.0,0.0,25826.0,17652.0,1.0
aqrean_pm10_values,-0.016,0.003,-0.021,-0.011,0.0,0.0,23843.0,19029.0,1.0
aqrean_daqi_pm10_values,-0.019,0.002,-0.023,-0.015,0.0,0.0,29085.0,18726.0,1.0
aqrean_sulfur_dioxide_values,-0.006,0.001,-0.009,-0.003,0.0,0.0,28556.0,20581.0,1.0
aqrean_daqi_sulfur_dioxide_values,0.001,0.001,-0.0,0.003,0.0,0.0,36193.0,18243.0,1.0
C(month)[2],-0.536,0.005,-0.545,-0.528,0.0,0.0,13226.0,17705.0,1.0
C(month)[3],-0.259,0.005,-0.269,-0.249,0.0,0.0,9976.0,15744.0,1.0
C(month)[4],-0.633,0.006,-0.645,-0.621,0.0,0.0,6799.0,13198.0,1.0
C(month)[5],-0.641,0.007,-0.655,-0.628,0.0,0.0,5583.0,9786.0,1.0
C(month)[6],-0.675,0.009,-0.691,-0.658,0.0,0.0,5262.0,9463.0,1.0
C(month)[7],-0.532,0.01,-0.552,-0.512,0.0,0.0,5433.0,10302.0,1.0
C(month)[8],-0.883,0.009,-0.899,-0.864,0.0,0.0,5388.0,9868.0,1.0
C(month)[9],-0.712,0.008,-0.728,-0.697,0.0,0.0,5492.0,10764.0,1.0
C(month)[10],-0.409,0.006,-0.421,-0.397,0.0,0.0,5882.0,10483.0,1.0
C(month)[11],-0.497,0.005,-0.506,-0.489,0.0,0.0,8925.0,14869.0,1.0
C(month)[12],0.079,0.004,0.071,0.088,0.0,0.0,13005.0,17791.0,1.0
1|practice_id_sigma,0.402,0.004,0.395,0.41,0.0,0.0,3847.0,7548.0,1.0
date_code|practice_id_sigma,0.693,0.006,0.68,0.704,0.0,0.0,1938.0,4131.0,1.0
1|practice_id[A81001],0.334,0.087,0.17,0.496,0.0,0.001,34910.0,20365.0,1.0
1|practice_id[A81002],0.099,0.086,-0.062,0.259,0.0,0.001,34584.0,19848.0,1.0
1|practice_id[A81003],0.074,0.175,-0.257,0.4,0.001,0.001,28298.0,17852.0,1.0
1|practice_id[A81004],-0.039,0.087,-0.201,0.126,0.0,0.001,32248.0,19146.0,1.0
1|practice_id[A81005],0.157,0.087,-0.008,0.317,0.0,0.001,33598.0,19644.0,1.0
1|practice_id[A81006],-0.095,0.086,-0.257,0.065,0.0,0.001,37125.0,19394.0,1.0
1|practice_id[A81007],0.301,0.086,0.14,0.463,0.0,0.001,30064.0,20062.0,1.0
1|practice_id[A81008],-0.813,0.187,-1.173,-0.472,0.001,0.001,27055.0,18128.0,1.0
