name,type,pred_coef,pred_ci_low,pred_ci_high,pred_p,imd_coef,imd_ci_low,imd_ci_high,imd_p,region_main,n_practices,n_obs,error
hydro_rain_high_vs_med,binary_pair,-0.6047046554759516,-0.69954395891203,-0.5097747734681857,1.3449063638328546e-35,3.641331872696396,3.189721899263409,4.09491831785882,5.498666154514506e-58,"{'East Midlands': {'coef': 13.329544268552418, 'ci_low': 4.614610529992125, 'ci_high': 22.770476695849638, 'p': 0.0021768255400119486}, 'East of England': {'coef': 16.585354000420118, 'ci_low': 8.080485563615936, 'ci_high': 25.75947171705635, 'p': 7.169039093243954e-05}, 'London': {'coef': -23.953987843981206, 'ci_low': -28.725764991408052, 'ci_high': -18.862742418263334, 'p': 1.2118608300172852e-16}, 'North East': {'coef': 44.98398357862341, 'ci_low': 32.00766793334988, 'ci_high': 59.235867305372224, 'p': 8.19003948624854e-15}, 'North West': {'coef': 2.241427255996453, 'ci_low': -4.342553952083838, 'ci_high': 9.278575575883607, 'p': 0.513948523501462}, 'South West': {'coef': 16.697592238871884, 'ci_low': 7.887465282280215, 'ci_high': 26.227157146741554, 'p': 0.0001154737613118151}, 'West Midlands': {'coef': -7.045744013447786, 'ci_low': -13.432647209895343, 'ci_high': -0.18761776204901937, 'p': 0.04425471290973492}, 'Yorkshire and The Humber': {'coef': 12.160533414340357, 'ci_low': 4.04805777063284, 'ci_high': 20.90552697793857, 'p': 0.00273631897512746}}",9838,1165290,
hydro_rain_low_vs_med,binary_pair,-0.47684117970948625,-0.606254494810754,-0.3472593650105771,6.028924750372215e-13,3.3711942966704544,2.896331680964215,3.848248385095987,3.122329907125941e-45,"{'East Midlands': {'coef': 14.46592600702552, 'ci_low': 5.775788131799442, 'ci_high': 23.87001267548905, 'p': 0.0007969621993522255}, 'East of England': {'coef': 15.408307621497475, 'ci_low': 7.117696800922535, 'ci_high': 24.34058858464443, 'p': 0.00016475966913333495}, 'London': {'coef': -24.268443993265308, 'ci_low': -28.95288297601696, 'ci_high': -19.275139999485635, 'p': 1.43077730362971e-17}, 'North East': {'coef': 44.77039626360868, 'ci_low': 31.99970730278734, 'ci_high': 58.77662202876503, 'p': 4.088040355179131e-15}, 'North West': {'coef': 1.1450327619491052, 'ci_low': -5.271026359794906, 'ci_high': 7.995656020427755, 'p': 0.7334816065948788}, 'South West': {'coef': 16.243825855244577, 'ci_low': 7.594348071774926, 'ci_high': 25.588632596670525, 'p': 0.0001359651011169122}, 'West Midlands': {'coef': -8.254708946679223, 'ci_low': -14.461681800191739, 'ci_high': -1.5973354678674334, 'p': 0.015931224680629387}, 'Yorkshire and The Humber': {'coef': 10.065734749271904, 'ci_low': 2.2310641617470317, 'ci_high': 18.500830107079036, 'p': 0.01090785021028699}}",9744,1019763,
met_rain_high_vs_med,binary_pair,-0.47682639504295077,-0.5773126710108545,-0.37623855783253113,1.801247178819925e-20,2.056269102164565,1.6058502543359943,2.5086846572493604,1.8962294158892406e-19,"{'East Midlands': {'coef': 15.044365579934205, 'ci_low': 5.737781034066969, 'ci_high': 25.17007565560112, 'p': 0.001128871699136542}, 'East of England': {'coef': 13.401369074160607, 'ci_low': 4.4089066483655515, 'ci_high': 23.168328456921937, 'p': 0.0028498035635232018}, 'London': {'coef': -24.61647997782015, 'ci_low': -29.632885330742333, 'ci_high': -19.24245981032009, 'p': 8.779777263338745e-16}, 'North East': {'coef': 42.51469421756546, 'ci_low': 29.39106114352534, 'ci_high': 56.969406452251725, 'p': 6.592928185366286e-13}, 'North West': {'coef': 13.46370058865931, 'ci_low': 0.9492017709545442, 'ci_high': 27.52960028830149, 'p': 0.034140797533076826}, 'South West': {'coef': 16.82360904649629, 'ci_low': 7.644766519180712, 'ci_high': 26.785129198239098, 'p': 0.00019575899367574155}, 'West Midlands': {'coef': -8.147272653774607, 'ci_low': -14.97816034882371, 'ci_high': -0.7675727136151722, 'p': 0.03113134400602621}, 'Yorkshire and The Humber': {'coef': 9.18485506539719, 'ci_low': 0.954377759141467, 'ci_high': 18.086336028873284, 'p': 0.02798457598467991}}",8259,1015693,
met_rain_low_vs_med,binary_pair,-0.41033419528682114,-0.5453628498402918,-0.27512221355953104,2.85363217083819e-09,1.9304648575643402,1.4538353528608772,2.409333564797378,1.2882831387707582e-15,"{'East Midlands': {'coef': 16.527810591148516, 'ci_low': 7.235333646735831, 'ci_high': 26.625527047818444, 'p': 0.0003091990242900285}, 'East of England': {'coef': 12.873774875216991, 'ci_low': 4.079975547460801, 'ci_high': 22.410569252790257, 'p': 0.0034305049312229148}, 'London': {'coef': -24.295165657352, 'ci_low': -29.24809073910084, 'ci_high': -18.995515418336296, 'p': 7.489189979453486e-16}, 'North East': {'coef': 41.8231682090481, 'ci_low': 28.957053434950986, 'ci_high': 55.97294219348645, 'p': 5.974364390505344e-13}, 'North West': {'coef': 14.074287912555604, 'ci_low': 1.710911142927074, 'ci_high': 27.940483636711, 'p': 0.02446109850324511}, 'South West': {'coef': 18.16413575977065, 'ci_low': 9.023306797747788, 'ci_high': 28.07135822578033, 'p': 4.8439383349347724e-05}, 'West Midlands': {'coef': -8.072710771971636, 'ci_low': -14.795287610606934, 'ci_high': -0.8197285357472994, 'p': 0.029825551532897832}, 'Yorkshire and The Humber': {'coef': 10.06521215341676, 'ci_low': 1.8973834015804547, 'ci_high': 18.887752776081058, 'p': 0.014779469704597217}}",8193,888558,
met_tmax_high_vs_med,binary_pair,1.7741104581116884,1.5977231846075135,1.950803963579295,7.399755608227921e-88,2.0184215824659457,1.5891542300474182,2.449502814144,1.563743615986035e-20,"{'East Midlands': {'coef': 14.560241741426005, 'ci_low': 5.218708891986479, 'ci_high': 24.73113504297617, 'p': 0.0017353513096618669}, 'East of England': {'coef': 13.13363861497223, 'ci_low': 4.077431308067525, 'ci_high': 22.977863936492128, 'p': 0.003746154881711662}, 'London': {'coef': -24.95404556214521, 'ci_low': -29.9894705692764, 'ci_high': -19.556453532301653, 'p': 5.456742155182554e-16}, 'North East': {'coef': 43.68143825260253, 'ci_low': 30.302398457742385, 'ci_high': 58.4341957069308, 'p': 3.657591020089899e-13}, 'North West': {'coef': 12.780192061453954, 'ci_low': 0.20893185596577712, 'ci_high': 26.92852309513183, 'p': 0.04608900324428091}, 'South West': {'coef': 16.9140605706672, 'ci_low': 7.631053584608161, 'ci_high': 26.997712127537543, 'p': 0.00021375056674293233}, 'West Midlands': {'coef': -8.697933646488988, 'ci_low': -15.54550877338361, 'ci_high': -1.2951567246696993, 'p': 0.022155050961570385}, 'Yorkshire and The Humber': {'coef': 9.606108914650612, 'ci_low': 1.2717676474394812, 'ci_high': 18.62633970440031, 'p': 0.02301671272750899}}",8324,1101174,
met_tmax_low_vs_med,binary_pair,-0.5282595870059192,-0.7449115227520786,-0.3111347479357929,1.9252418231318792e-06,1.936846102398193,1.47174283117395,2.4040812090168506,2.0068722095834804e-16,"{'East Midlands': {'coef': 15.123059619696377, 'ci_low': 5.843465301216821, 'ci_high': 25.21622207363423, 'p': 0.0010218959883689118}, 'East of England': {'coef': 12.64803203489322, 'ci_low': 3.7796335283916793, 'ci_high': 22.27427183834443, 'p': 0.004417021195198717}, 'London': {'coef': -25.51645393153069, 'ci_low': -30.438740073172376, 'ci_high': -20.245857525157106, 'p': 3.039987569673464e-17}, 'North East': {'coef': 41.417642099089576, 'ci_low': 28.472288503765732, 'ci_high': 55.667418474296056, 'p': 1.4956151464459972e-12}, 'North West': {'coef': 14.005802300678027, 'ci_low': 1.512466666733281, 'ci_high': 28.03671691765366, 'p': 0.02686645014641249}, 'South West': {'coef': 17.29550761049401, 'ci_low': 8.128678049708649, 'ci_high': 27.239473872773633, 'p': 0.00012188307196921195}, 'West Midlands': {'coef': -9.835566027808074, 'ci_low': -16.495755017867207, 'ci_high': -2.64416910463372, 'p': 0.008183497204200746}, 'Yorkshire and The Humber': {'coef': 9.662611671086662, 'ci_low': 1.4352066783771322, 'ci_high': 18.557341107947913, 'p': 0.020444454311431156}}",8233,960599,
met_tmin_high_vs_med,binary_pair,1.935005760678843,1.7320685242020017,2.138347820556463,2.987968150385754e-79,1.9508763007749952,1.5228374515050547,2.380719840113521,2.245461934309618e-19,"{'East Midlands': {'coef': 14.217040711301676, 'ci_low': 4.906033589043024, 'ci_high': 24.35445267096337, 'p': 0.0021848523005567086}, 'East of England': {'coef': 13.089840083228399, 'ci_low': 4.039537514631797, 'ci_high': 22.927420051742576, 'p': 0.003846485111009628}, 'London': {'coef': -25.000139650361085, 'ci_low': -30.030822392307222, 'ci_high': -19.607758090229442, 'p': 4.624932045138481e-16}, 'North East': {'coef': 42.96978528260853, 'ci_low': 29.662008513471093, 'ci_high': 57.64339715308018, 'p': 7.449374892696459e-13}, 'North West': {'coef': 12.84246577863608, 'ci_low': 0.27060730699728364, 'ci_high': 26.99057505473059, 'p': 0.04498388360274749}, 'South West': {'coef': 17.013243683431668, 'ci_low': 7.723955226147128, 'ci_high': 27.1035691975295, 'p': 0.00019691592382880787}, 'West Midlands': {'coef': -8.811456815193253, 'ci_low': -15.64868631648919, 'ci_high': -1.4200248336752486, 'p': 0.020361242518004474}, 'Yorkshire and The Humber': {'coef': 9.330448951963156, 'ci_low': 1.0195295301055562, 'ci_high': 18.325111229859537, 'p': 0.027006020791573257}}",8324,1111829,
met_tmin_low_vs_med,binary_pair,0.025955897597174094,-0.21689467414711672,0.26939751529060363,0.8342500129850039,2.1431886359885244,1.6652204269124837,2.6234039617080596,7.92243499091964e-19,"{'East Midlands': {'coef': 16.86862241440896, 'ci_low': 7.583137743887991, 'ci_high': 26.955535890359815, 'p': 0.0002238553568683033}, 'East of England': {'coef': 12.500109857430486, 'ci_low': 3.7870584072960956, 'ci_high': 21.944632713901147, 'p': 0.004187043458098445}, 'London': {'coef': -24.248589597093527, 'ci_low': -29.17930828435168, 'ci_high': -18.974581594468464, 'p': 6.111265993230482e-16}, 'North East': {'coef': 42.71503348648391, 'ci_low': 29.807830046462836, 'ci_high': 56.90564102148494, 'p': 1.923795006416076e-13}, 'North West': {'coef': 14.944554001713794, 'ci_low': 2.5432875192921367, 'ci_high': 28.84559110870315, 'p': 0.016796531644615934}, 'South West': {'coef': 18.09745714315225, 'ci_low': 9.004023616486357, 'ci_high': 27.949491412803784, 'p': 4.724017793494049e-05}, 'West Midlands': {'coef': -8.297074226984357, 'ci_low': -14.974463774949243, 'ci_high': -1.0952830327040308, 'p': 0.024737491685365633}, 'Yorkshire and The Humber': {'coef': 10.495412235324842, 'ci_low': 2.3312938500314573, 'ci_high': 19.310874178403804, 'p': 0.010821591439145607}}",8168,881960,
flood,binary_simple,-0.26655142617701966,-0.7237908337517918,0.19279390262092466,0.2549388261928447,3.4281580999604433,3.0225314094450617,3.835381849000874,1.9818148836461505e-63,"{'East Midlands': {'coef': 12.549901723061229, 'ci_low': 3.6909717374397966, 'ci_high': 22.165702236319973, 'p': 0.004706228728333627}, 'East of England': {'coef': 13.900821042008694, 'ci_low': 5.465139896522664, 'ci_high': 23.01123429763201, 'p': 0.0009154321608702568}, 'London': {'coef': -25.19175484548658, 'ci_low': -29.970845183674864, 'ci_high': -20.086518853813406, 'p': 6.8729117740184556e-18}, 'North East': {'coef': 44.174155732729645, 'ci_low': 31.014909171257, 'ci_high': 58.655127975355704, 'p': 6.788265528580747e-14}, 'North West': {'coef': 0.6461355169998573, 'ci_low': -5.975549047729034, 'ci_high': 7.734153105008268, 'p': 0.8528493534743498}, 'South West': {'coef': 15.02422682354152, 'ci_low': 6.1959898411146686, 'ci_high': 24.58636880873255, 'p': 0.0005916124151505185}, 'West Midlands': {'coef': -7.650916318069834, 'ci_low': -14.15205794203106, 'ci_high': -0.6574525556668709, 'p': 0.032592338442161244}, 'Yorkshire and The Humber': {'coef': 8.99796274705631, 'ci_low': 0.9961861175420861, 'ci_high': 17.63370815984837, 'p': 0.02677565059386379}}",10155,1396426,
aqrean_carbon_monoxide_high_vs_not,binary_simple,0.5866877327203035,0.43646910416912377,0.7371310369949979,1.700865148276606e-14,2.2208115521200833,1.4185249381654108,3.029444775940404,4.664950336164927e-08,"{'East Midlands': {'coef': 10.768370640570634, 'ci_low': 2.8029931787742157, 'ci_high': 19.350921164619827, 'p': 0.007231293178707009}, 'East of England': {'coef': 10.296620312674953, 'ci_low': 2.848816214755434, 'ci_high': 18.28375765644501, 'p': 0.006006176232344313}, 'London': {'coef': -29.604205360470136, 'ci_low': -33.69855894636598, 'ci_high': -25.257010644427858, 'p': 1.626027114119692e-30}, 'North East': {'coef': 32.03433263541564, 'ci_low': 21.18504109721677, 'ci_high': 43.854924969612966, 'p': 2.1227221573734875e-10}, 'North West': {'coef': -2.338733609548338, 'ci_low': -8.193055438314323, 'ci_high': 3.888905120661157, 'p': 0.45305938668064405}, 'South West': {'coef': 12.118033364341096, 'ci_low': 4.411576638295678, 'ci_high': 20.393291723141772, 'p': 0.0016430964580789683}, 'West Midlands': {'coef': -11.821423289710554, 'ci_low': -17.468978540438705, 'ci_high': -5.787408744695655, 'p': 0.00019509873349344962}, 'Yorkshire and The Humber': {'coef': 7.8247803025439655, 'ci_low': 0.5918422491421937, 'ci_high': 15.577794255885745, 'p': 0.03345919179329901}}",9412,852737,
