name,type,pred_coef,pred_ci_low,pred_ci_high,pred_p,imd_coef,imd_ci_low,imd_ci_high,imd_p,region_main,n_practices,n_obs,error
hydro_rain_high_vs_med,binary_pair,-0.7647531936393337,-0.8509814697816753,-0.6784499261786925,4.048938292206024e-67,-1.0347576107644807,-1.425212175869306,-0.642756455798521,2.5093248035822795e-07,"{'East Midlands': {'coef': 5.614152475633505, 'ci_low': -2.873224299197863, 'ci_high': 14.843194604824529, 'p': 0.201280088413888}, 'East of England': {'coef': 0.8311890453719606, 'ci_low': -6.823639394380898, 'ci_high': 9.114893715760886, 'p': 0.8371944200039098}, 'London': {'coef': 0.8180957544571932, 'ci_low': -5.831671059103338, 'ci_high': 7.937440813400887, 'p': 0.8149576059075494}, 'North East': {'coef': -3.635481767812909, 'ci_low': -12.622148989274661, 'ci_high': 6.275449289565116, 'p': 0.45844257008846634}, 'North West': {'coef': -0.673507523983341, 'ci_low': -7.352889014203812, 'ci_high': 6.487423111344737, 'p': 0.8491020985847644}, 'South West': {'coef': 6.965303816635671, 'ci_low': -1.493032413707751, 'ci_high': 16.14991813205837, 'p': 0.10914343708980043}, 'West Midlands': {'coef': 7.647928396696302, 'ci_low': -0.08078691395323467, 'ci_high': 15.974457065840042, 'p': 0.05253752326907859}, 'Yorkshire and The Humber': {'coef': 5.154529415293352, 'ci_low': -2.795477375993116, 'ci_high': 13.754738545682631, 'p': 0.21017641822719546}}",9035,1112897,
hydro_rain_low_vs_med,binary_pair,-0.45256957359081085,-0.5708358055630747,-0.3341626695960387,7.50307361834202e-14,-1.6484000526386877,-2.0590036729366767,-1.236075035384121,6.866434536899183e-15,"{'East Midlands': {'coef': 6.11758266296063, 'ci_low': -2.2645124980306686, 'ci_high': 15.21855201267992, 'p': 0.15725600053104458}, 'East of England': {'coef': -0.034763258785264206, 'ci_low': -7.483816202418236, 'ci_high': 8.014059233043213, 'p': 0.9929786708838618}, 'London': {'coef': 0.009378472769983048, 'ci_low': -6.469648744763634, 'ci_high': 6.937220359789742, 'p': 0.9978103869032582}, 'North East': {'coef': -3.9158636795269652, 'ci_low': -12.721992203735466, 'ci_high': 5.778780766881564, 'p': 0.41536901278481664}, 'North West': {'coef': -0.5575353461572341, 'ci_low': -7.1218402891235595, 'ci_high': 6.470711814423957, 'p': 0.872517103613486}, 'South West': {'coef': 6.022266213580929, 'ci_low': -2.2039428207731526, 'ci_high': 14.94043070123996, 'p': 0.15585831826801846}, 'West Midlands': {'coef': 7.364391646646595, 'ci_low': -0.19268416996494064, 'ci_high': 15.493663944278335, 'p': 0.056369054862424085}, 'Yorkshire and The Humber': {'coef': 4.671919284951698, 'ci_low': -3.083008521315833, 'ci_high': 13.047366820142603, 'p': 0.24498661904456376}}",8982,974810,
met_rain_high_vs_med,binary_pair,-0.6950146457637252,-0.7857665753944088,-0.6041797047298569,1.5326422727341578e-50,-1.032173150439053,-1.4248884359954972,-0.6378933188926239,3.145409664284178e-07,"{'East Midlands': {'coef': 5.836992550153131, 'ci_low': -3.0177465182252505, 'ci_high': 15.500192972585335, 'p': 0.20316462262477752}, 'East of England': {'coef': -0.34048644695848784, 'ci_low': -8.481424673703952, 'ci_high': 8.524620343112964, 'p': 0.9374749393425508}, 'London': {'coef': -0.25646116069132363, 'ci_low': -7.160543544112419, 'ci_high': 7.1610489761517515, 'p': 0.9440620129467284}, 'North East': {'coef': -3.2663173455630856, 'ci_low': -12.454057409426289, 'ci_high': 6.8856543546638616, 'p': 0.5142767704744182}, 'North West': {'coef': 4.8939377248634175, 'ci_low': -7.02397915747709, 'ci_high': 18.339525306888405, 'p': 0.4374832857991322}, 'South West': {'coef': 7.376344740678542, 'ci_low': -1.3662566141108168, 'ci_high': 16.893864250502677, 'p': 0.10049045569331927}, 'West Midlands': {'coef': 8.93751917617671, 'ci_low': 0.5636431901607786, 'ci_high': 18.00868293742348, 'p': 0.035932152688984004}, 'Yorkshire and The Humber': {'coef': 3.1519552797247608, 'ci_low': -4.891976833506984, 'ci_high': 11.876217418626457, 'p': 0.4537653626671325}}",7573,969906,
met_rain_low_vs_med,binary_pair,-0.3971721644020487,-0.519919284473469,-0.27427358832680104,2.526871854160537e-10,-1.56056098320283,-1.9766058938941122,-1.1427502351898489,3.372399647795493e-13,"{'East Midlands': {'coef': 6.823126333057505, 'ci_low': -1.9464031683792848, 'ci_high': 16.376968191833253, 'p': 0.1309866787226333}, 'East of England': {'coef': -0.3968966341587943, 'ci_low': -8.367950899493703, 'ci_high': 8.267558103222994, 'p': 0.9255495325861537}, 'London': {'coef': 0.23531353610282135, 'ci_low': -6.565314753452666, 'ci_high': 7.530924443844111, 'p': 0.947722089963344}, 'North East': {'coef': -3.7246512561882827, 'ci_low': -12.706689155884854, 'ci_high': 6.181592680047054, 'p': 0.4474813407130942}, 'North West': {'coef': 5.804912178129618, 'ci_low': -5.999385411154612, 'ci_high': 19.09155583702047, 'p': 0.3498405415108117}, 'South West': {'coef': 7.274889341033397, 'ci_low': -1.2900815892978645, 'ci_high': 16.583035103423562, 'p': 0.0981046641373501}, 'West Midlands': {'coef': 10.217242503123947, 'ci_low': 1.914945741820162, 'ci_high': 19.19586922772252, 'p': 0.014904889523356188}, 'Yorkshire and The Humber': {'coef': 4.129841812697688, 'ci_low': -3.8470912834690063, 'ci_high': 12.76854856158154, 'p': 0.31963710156448444}}",7538,849538,
met_tmax_high_vs_med,binary_pair,2.2352488660725367,2.0751637884774743,2.3955850060330075,2.894842063062147e-168,-1.1260558180852809,-1.4994313251226021,-0.751264996688561,4.450751619354063e-09,"{'East Midlands': {'coef': 6.035011414850144, 'ci_low': -2.9075034002284617, 'ci_high': 15.801159095685025, 'p': 0.19237683705256292}, 'East of England': {'coef': 0.042788301896568015, 'ci_low': -8.195895504819628, 'ci_high': 9.0208280583308, 'p': 0.9922158146545497}, 'London': {'coef': -0.30789451652666333, 'ci_low': -7.257176226578954, 'ci_high': 7.162101512119712, 'p': 0.9333379830255026}, 'North East': {'coef': -2.8873619842636478, 'ci_low': -12.197038423612783, 'ci_high': 7.4094118587416435, 'p': 0.5687999141599895}, 'North West': {'coef': 4.879963413416855, 'ci_low': -7.150397789547192, 'ci_high': 18.469077559077828, 'p': 0.44338793102929563}, 'South West': {'coef': 7.543170163362589, 'ci_low': -1.2935217220599649, 'ci_high': 17.170966390062638, 'p': 0.09644263782001054}, 'West Midlands': {'coef': 8.867972950904758, 'ci_low': 0.43797058557601964, 'ci_high': 18.005525851804084, 'p': 0.038805885222433015}, 'Yorkshire and The Humber': {'coef': 3.1785850499612023, 'ci_low': -4.9310959131056205, 'ci_high': 11.980047683958151, 'p': 0.453733377287161}}",7611,1050816,
met_tmax_low_vs_med,binary_pair,-1.3550944028158152,-1.5488628423175332,-1.160944594350466,3.999601241035336e-42,-1.1596048679634485,-1.5658394730898695,-0.7516937457263007,2.8444030934462404e-08,"{'East Midlands': {'coef': 6.519154912163638, 'ci_low': -2.4000446494032657, 'ci_high': 16.25343805172288, 'p': 0.15692706206590074}, 'East of England': {'coef': -0.6971399590546268, 'ci_low': -8.788582002249278, 'ci_high': 8.112100752065498, 'p': 0.8718389261671112}, 'London': {'coef': -0.32993390907399833, 'ci_low': -7.210600815087298, 'ci_high': 7.060959137935829, 'p': 0.9278505556311183}, 'North East': {'coef': -1.9806295072128055, 'ci_low': -11.300168013561995, 'ci_high': 8.318096851314106, 'p': 0.6947208369338225}, 'North West': {'coef': 5.997364979404973, 'ci_low': -6.039471037679444, 'ci_high': 19.576182750979942, 'p': 0.3436160211415731}, 'South West': {'coef': 7.173926629498628, 'ci_low': -1.5252283984909298, 'ci_high': 16.64155562264982, 'p': 0.10869053640219044}, 'West Midlands': {'coef': 9.352915462579903, 'ci_low': 0.965800871145972, 'ci_high': 18.436738152824606, 'p': 0.028089081443730003}, 'Yorkshire and The Humber': {'coef': 4.193538051065393, 'ci_low': -3.9277232599350564, 'ci_high': 13.00131255317094, 'p': 0.32110706694194835}}",7576,918890,
met_tmin_high_vs_med,binary_pair,2.90333044722364,2.7180945436245496,3.0889003945969495,8.480365795869394e-213,-1.1805444682397082,-1.5530605658626406,-0.8066187966494609,7.143043366032309e-10,"{'East Midlands': {'coef': 5.372070817002994, 'ci_low': -3.5323766739706497, 'ci_high': 15.098443658532169, 'p': 0.24538871002084683}, 'East of England': {'coef': 0.10963407764490452, 'ci_low': -8.153995978701722, 'ci_high': 9.116764980172288, 'p': 0.9801124039676861}, 'London': {'coef': -0.4450690590750539, 'ci_low': -7.400343153995259, 'ci_high': 7.032624225971507, 'p': 0.9039169434326837}, 'North East': {'coef': -3.331347396059825, 'ci_low': -12.619644833200216, 'ci_high': 6.944271151370218, 'p': 0.5109500459622787}, 'North West': {'coef': 4.020364643030594, 'ci_low': -7.9238091872736005, 'ci_high': 17.513943235079154, 'p': 0.5264780921731518}, 'South West': {'coef': 7.032437712707718, 'ci_low': -1.780161181629214, 'ci_high': 16.635731238666708, 'p': 0.12108335337001969}, 'West Midlands': {'coef': 8.888342051605536, 'ci_low': 0.4371186048836462, 'ci_high': 18.050688823433948, 'p': 0.03884960609548022}, 'Yorkshire and The Humber': {'coef': 3.063465732370485, 'ci_low': -5.056136679373258, 'ci_high': 11.877456817789245, 'p': 0.47108323740372693}}",7615,1061273,
met_tmin_low_vs_med,binary_pair,-0.04104478281918844,-0.2597160192718717,0.17810586985074206,0.7133139682364791,-0.915059634344062,-1.3322831301800453,-0.4960718791231389,1.9558339090016758e-05,"{'East Midlands': {'coef': 6.565965860981904, 'ci_low': -2.2888974390834593, 'ci_high': 16.22328253643479, 'p': 0.15077156176701245}, 'East of England': {'coef': -1.0095457231146354, 'ci_low': -9.009308143778528, 'ci_high': 7.6935435706781075, 'p': 0.8134284120770423}, 'London': {'coef': -0.12552757335607678, 'ci_low': -6.972981515032661, 'ci_high': 7.225947955242162, 'p': 0.972349244027405}, 'North East': {'coef': 0.4781034506156079, 'ci_low': -9.019449147413528, 'ci_high': 10.967115261707573, 'p': 0.9249916896996604}, 'North West': {'coef': 5.637287807014957, 'ci_low': -6.25606660071345, 'ci_high': 19.039559900812076, 'p': 0.36817899595249115}, 'South West': {'coef': 7.478846882583912, 'ci_low': -1.1903940430740723, 'ci_high': 16.908699466382338, 'p': 0.09278744016043781}, 'West Midlands': {'coef': 9.102763596744623, 'ci_low': 0.7911464355900844, 'ci_high': 18.09978798141698, 'p': 0.03117114580681386}, 'Yorkshire and The Humber': {'coef': 4.151845406889532, 'ci_low': -3.9091162281993386, 'ci_high': 12.889032506161758, 'p': 0.3222902358759401}}",7534,843838,
flood,binary_simple,0.1327876864528177,-0.28438829898522755,0.5517089934092834,0.5333029880634919,-0.7363375974682063,-1.0872654253356484,-0.3841647293043704,4.312104320023981e-05,"{'East Midlands': {'coef': 5.147029181633678, 'ci_low': -3.3863826192162994, 'ci_high': 14.434155820381523, 'p': 0.2451494919160132}, 'East of England': {'coef': 1.2357054711018778, 'ci_low': -6.452910982543958, 'ci_high': 9.556247766504722, 'p': 0.7605584629481534}, 'London': {'coef': -0.23006420029962893, 'ci_low': -6.825958802888921, 'ci_high': 6.83276115949949, 'p': 0.9473764321911069}, 'North East': {'coef': -3.372700594388367, 'ci_low': -12.419311486136586, 'ci_high': 6.608376216907219, 'p': 0.4939338028591671}, 'North West': {'coef': -0.7198044376272361, 'ci_low': -7.4318305575939, 'ci_high': 6.478904036613975, 'p': 0.839707086741052}, 'South West': {'coef': 6.2245810940316115, 'ci_low': -2.182283283629294, 'ci_high': 15.35396661650017, 'p': 0.15115712312320434}, 'West Midlands': {'coef': 7.6598564688624915, 'ci_low': -0.13585901460205774, 'ci_high': 16.064130533009326, 'p': 0.0542901223877448}, 'Yorkshire and The Humber': {'coef': 2.203616458785884, 'ci_low': -5.526915780101104, 'ci_high': 10.566721765334863, 'p': 0.5870159341935242}}",9278,1332572,
aqrean_carbon_monoxide_high_vs_not,binary_simple,1.7079599338290175,1.566751478858186,1.8493647111933909,3.792195128216515e-126,-0.4038163532684602,-1.1293727979664325,0.32706454591453493,0.2780706317722216,"{'East Midlands': {'coef': 14.19031268787072, 'ci_low': 6.243723817762814, 'ci_high': 22.73127337027354, 'p': 0.00031134325559104345}, 'East of England': {'coef': 7.540282166396661, 'ci_low': 0.5387540881061303, 'ci_high': 15.029397303784119, 'p': 0.034311531680205114}, 'London': {'coef': -1.2562356747633396, 'ci_low': -6.860512215739667, 'ci_high': 4.685254611906853, 'p': 0.6715233696142028}, 'North East': {'coef': -2.099074144091051, 'ci_low': -9.90912071900164, 'ci_high': 6.388031285046281, 'p': 0.6169862396348651}, 'North West': {'coef': 1.5205021156289744, 'ci_low': -4.365640131827897, 'ci_high': 7.768927025980821, 'p': 0.6204660798361754}, 'South West': {'coef': 2.5655576900547983, 'ci_low': -4.284187574803133, 'ci_high': 9.905493749982352, 'p': 0.4725557436320804}, 'West Midlands': {'coef': 8.48072751180613, 'ci_low': 1.753153184184475, 'ci_high': 15.653106299214393, 'p': 0.012702015894898487}, 'Yorkshire and The Humber': {'coef': 6.154814893150884, 'ci_low': -0.7243520579428786, 'ci_high': 13.510664081248414, 'p': 0.08058685055006727}}",8825,818811,
