name,error,coef_pred,p_pred,ci_pred,coef_imd,p_imd,ci_imd,coef_int,p_int,ci_int,intercept_reg_slope,slope_reg_slope
hydro_rain_values,,-0.00897150433522164,2.634347534644387e-34,"(-0.010411212809774566, -0.007531795860668715)",0.04430074370251639,5.234520324201887e-44,"(0.038060259259945696, 0.05054122814508708)",0.005034832712797789,1.0263895691841406e-12,"(0.00365021082943039, 0.006419454596165188)",-0.027304369955665105,0.012372037111193755
met_rain_values,,-0.010339245525927547,1.4766718582279046e-41,"(-0.011839854015656008, -0.008838637036199085)",0.017594695907038826,3.057585603032581e-10,"(0.01211726589918903, 0.023072125914888622)",0.003642645755668402,1.400089460603471e-06,"(0.002162963589685044, 0.0051223279216517596)",-0.006009404271434275,0.015615504792494484
met_tmax_values,,0.048230558289454786,6.673256684846043e-88,"(0.043474369578986934, 0.05298674699992264)",0.01587666733321601,1.4610373044155122e-08,"(0.0103847378824829, 0.02136859678394912)",-0.0009852176738468202,0.15486152440901998,"(-0.002342616138010357, 0.00037218079031671653)",-0.00621619488952475,0.015716583844764744
met_tmin_values,,0.04009832765022311,9.222988177255933e-70,"(0.035646963889458885, 0.04454969141098733)",0.01643304328038832,4.499369052958168e-09,"(0.010941175723845386, 0.02192491083693126)",-0.0004600125913411285,0.5124362046194157,"(-0.0018364105519892981, 0.0009163853693070411)",-0.006037890918434796,0.015820388030705367
aqrean_carbon_monoxide_values,,0.026398566976397968,1.0250385248747944e-138,"(0.024334836117433527, 0.02846229783536241)",0.00815988665251379,0.0205583044687251,"(0.0012544080334435338, 0.015065365271584044)",0.0030143256786187,0.0008452397725257594,"(0.0012441679496490658, 0.004784483407588334)",0.0036378840832973513,0.015718788238647568
aqrean_daqi_overall_values,,-0.01330064183764123,8.190453000126959e-46,"(-0.015135457348613225, -0.011465826326669233)",0.004167876785086147,0.23693160912710332,"(-0.002739158092046763, 0.011074911662219057)",0.00299689008475422,8.964121932839586e-05,"(0.0014973419730253054, 0.004496438196483135)",0.0035166417803122263,0.015772162578186612
aqrean_nitrogen_monoxide_values,,0.0056465027976159545,3.034947488815793e-06,"(0.0032759162405851514, 0.008017089354646758)",0.00471177859047087,0.18137640869494653,"(-0.002197847708122611, 0.011621404889064352)",-0.0016921838493992672,0.06599923656377578,"(-0.0034962348423799193, 0.00011186714358138493)",0.0032539651562645848,0.015098092743089207
aqrean_nitrogen_dioxide_values,,0.016361554370269423,1.1576703868480301e-30,"(0.013575756631533258, 0.01914735210900559)",0.006352926884918757,0.07174023275117446,"(-0.0005616462387302273, 0.013267500008567742)",-0.0027830585610611087,0.009050394252242955,"(-0.004872864016350759, -0.0006932531057714593)",0.0031109366895063707,0.014446633009168555
aqrean_daqi_nitrogen_dioxide_values,,-0.004360623010951252,3.5561057315948036e-05,"(-0.006427742848247772, -0.0022935031736547326)",0.003450712255705167,0.3279004264997034,"(-0.0034622128217916843, 0.010363637333202018)",-0.0013317026795986642,0.14949075733297687,"(-0.0031425889324292588, 0.00047918357323193045)",0.0031533038157847896,0.014881480244037447
aqrean_nox_expressed_as_nitrogen_dioxide_values,,0.006880105618028387,8.931249415317789e-08,"(0.004358282274846342, 0.009401928961210433)",0.004968874787510616,0.15885723889924752,"(-0.0019433548318269324, 0.011881104406848163)",-0.0015592678863108364,0.10332995296496195,"(-0.0034354244047787664, 0.0003168886321570936)",0.0032509967414408947,0.01504679310395129
aqrean_ozone_values,,-0.008884420690869671,5.176313033977695e-13,"(-0.011296017053731382, -0.006472824328007959)",0.004376999275524732,0.21402960212614863,"(-0.002527096430478673, 0.011281094981528137)",0.0038913685106879894,1.9545104816253536e-07,"(0.0024256671878850446, 0.005357069833490934)",0.0030415351806857087,0.01476961535914225
aqrean_daqi_ozone_values,,-0.009084686363410678,2.0589049939835296e-19,"(-0.011060877642697056, -0.0071084950841243)",0.004558188226168889,0.19613854686470011,"(-0.002353205240563222, 0.011469581692901)",0.004880328689611957,7.88812167747283e-11,"(0.0034093641747205226, 0.006351293204503391)",0.0027246156635944772,0.01406141061716278
aqrean_pm2p5_values,,0.0014823183981938252,0.12274640266125264,"(-0.00040014166942560383, 0.003364778465813254)",0.0039158715981142955,0.26605672379100265,"(-0.0029849020370509016, 0.010816645233279493)",0.00040330627556149336,0.5989905804521118,"(-0.00109990142790531, 0.0019065139790282967)",0.003475947498971348,0.01560628131910406
aqrean_daqi_pm2p5_values,,-0.014278841482563457,1.600633470268748e-41,"(-0.016352143344406402, -0.012205539620720511)",0.0035400555979540702,0.3150292357231431,"(-0.0033656954734157607, 0.0104458066693239)",-0.0005277361491004131,0.49717337684775076,"(-0.002051195995320802, 0.000995723697119976)",0.0033434910571567113,0.015087542309595036
aqrean_pm10_values,,0.008596912506170541,1.2937406395107235e-19,"(0.0067373144735892055, 0.010456510538751877)",0.004231013019548704,0.2295313370548301,"(-0.0026705024191151176, 0.011132528458212526)",0.0009495673819956085,0.2203303341317926,"(-0.0005689065295236142, 0.002468041293514831)",0.003523334738927254,0.01562864142179885
aqrean_daqi_pm10_values,,-0.014855497263976777,1.5105532461005738e-48,"(-0.0168440099671261, -0.012866984560827452)",0.003472726454229998,0.3244093392874583,"(-0.0034342772828018986, 0.010379730191261895)",4.5324898865818944e-05,0.9542897147830934,"(-0.001504466665978469, 0.0015951164637101071)",0.003352996772170376,0.015361939632994804
aqrean_sulfur_dioxide_values,,-0.004258879775298973,3.171882373997973e-05,"(-0.006265063266599518, -0.002252696283998427)",0.00316722784534382,0.3691469230886524,"(-0.0037449677969658493, 0.01007942348765349)",0.00034870775055405144,0.7172473735493665,"(-0.001538558309109742, 0.0022359738102178447)",0.003564844727702864,0.015770495249648554
aqrean_daqi_sulfur_dioxide_values,,0.00011101496560746854,0.8927364515460449,"(-0.0015026115568778611, 0.0017246414880927982)",0.0039674706335746,0.26031066941819747,"(-0.0029405826569843642, 0.010875523924133563)",0.0033171163761285642,0.005264813356687711,"(0.000987162691292516, 0.005647070060964612)",0.0032793331848748543,0.014968655206150308
