,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.704,0.001,0.702,0.705,0.0,0.0,41885.0,17987.0,1.0
Intercept,0.007,0.007,-0.006,0.021,0.0,0.0,2829.0,5546.0,1.0
hydro_rain_values,0.003,0.002,-0.001,0.007,0.0,0.0,27294.0,19785.0,1.0
met_rain_values,-0.003,0.002,-0.006,0.0,0.0,0.0,26369.0,19762.0,1.0
met_tmax_values,0.041,0.003,0.034,0.047,0.0,0.0,7866.0,13753.0,1.0
aqrean_carbon_monoxide_values,0.036,0.002,0.033,0.039,0.0,0.0,38050.0,18849.0,1.0
aqrean_daqi_overall_values,0.0,0.002,-0.003,0.004,0.0,0.0,27834.0,20442.0,1.0
aqrean_nitrogen_monoxide_values,0.015,0.011,-0.004,0.036,0.0,0.0,18792.0,19069.0,1.0
aqrean_nitrogen_dioxide_values,0.006,0.003,-0.0,0.012,0.0,0.0,17160.0,18545.0,1.0
aqrean_daqi_nitrogen_dioxide_values,-0.003,0.001,-0.006,-0.0,0.0,0.0,35863.0,18169.0,1.0
aqrean_nox_expressed_as_nitrogen_dioxide_values,-0.035,0.012,-0.06,-0.013,0.0,0.0,18543.0,18084.0,1.0
aqrean_ozone_values,-0.02,0.003,-0.025,-0.015,0.0,0.0,27283.0,18490.0,1.0
aqrean_daqi_ozone_values,-0.002,0.002,-0.006,0.002,0.0,0.0,23401.0,18970.0,1.0
aqrean_pm2p5_values,-0.022,0.003,-0.026,-0.017,0.0,0.0,23386.0,18862.0,1.0
aqrean_pm10_values,0.037,0.003,0.033,0.043,0.0,0.0,21188.0,17272.0,1.0
aqrean_daqi_pm10_values,-0.028,0.002,-0.032,-0.024,0.0,0.0,27899.0,19075.0,1.0
aqrean_sulfur_dioxide_values,-0.007,0.001,-0.01,-0.005,0.0,0.0,30411.0,18965.0,1.0
aqrean_daqi_sulfur_dioxide_values,0.0,0.001,-0.001,0.002,0.0,0.0,37311.0,19460.0,1.0
C(month)[2],-0.466,0.005,-0.475,-0.458,0.0,0.0,13600.0,17759.0,1.0
C(month)[3],0.06,0.005,0.05,0.07,0.0,0.0,10438.0,16028.0,1.0
C(month)[4],-0.167,0.006,-0.179,-0.155,0.0,0.0,7108.0,12369.0,1.0
C(month)[5],-0.027,0.007,-0.041,-0.014,0.0,0.0,5886.0,10412.0,1.0
C(month)[6],-0.155,0.009,-0.172,-0.139,0.0,0.0,5467.0,10001.0,1.0
C(month)[7],-0.064,0.01,-0.084,-0.045,0.0,0.0,5713.0,10501.0,1.0
C(month)[8],-0.283,0.009,-0.301,-0.265,0.0,0.0,5554.0,10073.0,1.0
C(month)[9],-0.265,0.008,-0.28,-0.25,0.0,0.0,5672.0,10548.0,1.0
C(month)[10],-0.098,0.006,-0.109,-0.085,0.0,0.0,6153.0,11550.0,1.0
C(month)[11],-0.15,0.005,-0.159,-0.141,0.0,0.0,9691.0,15167.0,1.0
C(month)[12],0.219,0.004,0.211,0.227,0.0,0.0,12927.0,17278.0,1.0
1|practice_id_sigma,0.445,0.004,0.437,0.453,0.0,0.0,3130.0,5988.0,1.0
date_code|practice_id_sigma,0.77,0.007,0.757,0.782,0.0,0.0,1907.0,4081.0,1.0
1|practice_id[A81001],-0.111,0.089,-0.282,0.051,0.0,0.001,32059.0,19025.0,1.0
1|practice_id[A81002],0.02,0.088,-0.142,0.186,0.0,0.001,34226.0,19610.0,1.0
1|practice_id[A81003],0.577,0.184,0.225,0.916,0.001,0.001,29681.0,19284.0,1.0
1|practice_id[A81004],0.049,0.087,-0.113,0.214,0.0,0.001,34484.0,20006.0,1.0
1|practice_id[A81005],-0.131,0.089,-0.299,0.036,0.0,0.001,32277.0,20408.0,1.0
1|practice_id[A81006],0.108,0.089,-0.056,0.276,0.0,0.001,35152.0,19938.0,1.0
1|practice_id[A81007],-0.059,0.088,-0.224,0.106,0.0,0.001,33021.0,20445.0,1.0
1|practice_id[A81008],-0.736,0.193,-1.102,-0.375,0.001,0.001,24996.0,18360.0,1.0
1|practice_id[A81009],-0.115,0.089,-0.285,0.047,0.0,0.001,34548.0,20321.0,1.0
1|practice_id[A81011],-0.268,0.088,-0.43,-0.102,0.0,0.001,31702.0,18756.0,1.0
1|practice_id[A81012],0.43,0.09,0.268,0.604,0.0,0.001,35134.0,20158.0,1.0
1|practice_id[A81013],-0.128,0.089,-0.296,0.038,0.0,0.001,34178.0,19394.0,1.0
1|practice_id[A81014],-0.657,0.088,-0.823,-0.491,0.0,0.001,35701.0,19301.0,1.0
1|practice_id[A81015],-0.261,0.111,-0.467,-0.049,0.001,0.001,29991.0,20052.0,1.0
1|practice_id[A81016],-0.271,0.088,-0.445,-0.113,0.0,0.001,34824.0,19875.0,1.0
1|practice_id[A81017],0.296,0.087,0.132,0.459,0.0,0.001,32647.0,19194.0,1.0
1|practice_id[A81018],0.183,0.088,0.02,0.352,0.001,0.001,31254.0,19300.0,1.0
1|practice_id[A81019],0.047,0.089,-0.117,0.218,0.0,0.001,34150.0,19561.0,1.0
1|practice_id[A81020],0.097,0.088,-0.07,0.26,0.0,0.001,33952.0,20244.0,1.0
1|practice_id[A81021],-0.228,0.09,-0.399,-0.061,0.0,0.001,35463.0,19456.0,1.0
1|practice_id[A81022],-0.097,0.088,-0.264,0.068,0.001,0.001,30066.0,18894.0,1.0
1|practice_id[A81023],-0.612,0.089,-0.782,-0.449,0.001,0.001,30076.0,20670.0,1.0
1|practice_id[A81025],0.038,0.089,-0.13,0.203,0.0,0.001,34765.0,19913.0,1.0
1|practice_id[A81026],-0.305,0.089,-0.471,-0.139,0.0,0.001,33314.0,19767.0,1.0
1|practice_id[A81027],0.309,0.088,0.145,0.477,0.001,0.001,30177.0,19054.0,1.0
1|practice_id[A81029],-0.067,0.088,-0.235,0.095,0.0,0.001,32199.0,19918.0,1.0
1|practice_id[A81030],-0.298,0.089,-0.47,-0.137,0.0,0.001,34437.0,19187.0,1.0
1|practice_id[A81031],-0.359,0.089,-0.528,-0.195,0.001,0.001,30491.0,20116.0,1.0
1|practice_id[A81032],-0.355,0.087,-0.521,-0.193,0.0,0.001,31248.0,19642.0,1.0
1|practice_id[A81033],-0.428,0.119,-0.659,-0.208,0.001,0.001,28748.0,19771.0,1.0
1|practice_id[A81034],0.046,0.089,-0.12,0.212,0.0,0.001,32017.0,20262.0,1.0
1|practice_id[A81035],0.039,0.089,-0.13,0.204,0.0,0.001,33882.0,19875.0,1.0
1|practice_id[A81036],-0.369,0.089,-0.535,-0.199,0.0,0.001,33969.0,18915.0,1.0
1|practice_id[A81037],0.372,0.088,0.205,0.537,0.0,0.001,34451.0,19847.0,1.0
