coef,pval,ci_low,ci_high,error,name
-0.03711034124037916,1.6599251420098535e-109,-0.040381876218887856,-0.03383880626187046,,hydro_rain_high_vs_median
-0.017116405710223735,1.0030066843942241e-13,-0.02162517709762045,-0.012607634322827022,,hydro_rain_low_vs_median
-0.030999333654656246,2.242394251186626e-71,-0.03440041944240361,-0.027598247866908884,,met_rain_high_vs_median
-0.024799863886190963,6.935837762101613e-26,-0.029419979716738758,-0.020179748055643168,,met_rain_low_vs_median
0.12206058151066171,0.0,0.11623962680734178,0.12788153621398163,,met_tmax_high_vs_median
-0.011812610567292799,0.0015798985657235053,-0.019140229601728013,-0.004484991532857586,,met_tmax_low_vs_median
-0.09350039724203613,2.3222872650372514e-16,-0.11583755823724544,-0.07116323624682681,,flood_vs_not
0.019686038224044754,9.141012891856494e-14,0.014508903079731988,0.02486317336835752,,aqrean_carbon_monoxide_high_vs_not
-0.053277736594950886,1.2242661983826547e-41,-0.0610024214723424,-0.04555305171755937,,aqrean_daqi_overall_high+vhigh_vs_low+mod
-0.015752243925823497,4.088883519459696e-19,-0.019207804322324776,-0.012296683529322217,,aqrean_daqi_overall_high+vhigh+mod_vs_low
-0.006980154516287042,0.004019430623415297,-0.011736010598209782,-0.0022242984343643028,,aqrean_nitrogen_monoxide_high_vs_not
-0.04259203905334835,2.9013144153822123e-37,-0.04913652627240426,-0.036047551834292445,,aqrean_nitrogen_dioxide_high_vs_not
,,,,Singular matrix,aqrean_daqi_nitrogen_dioxide_high+vhigh_vs_low+mod
,,,,Singular matrix,aqrean_daqi_nitrogen_dioxide_high+vhigh+mod_vs_low
-0.009128455186942162,0.00028991089963492823,-0.014065180415958096,-0.004191729957926228,,aqrean_nox_expressed_as_nitrogen_dioxide_high_vs_not
-0.01626429070003592,1.7676709690573085e-10,-0.021260534638771065,-0.011268046761300773,,aqrean_ozone_high_vs_not
0.07159354168884759,0.0059827361807833265,0.02054416115637491,0.12264292222132026,,aqrean_daqi_ozone_high+vhigh_vs_low+mod
-0.013399694688738526,3.987932102660997e-08,-0.018182261821386384,-0.008617127556090669,,aqrean_daqi_ozone_high+vhigh+mod_vs_low
-0.03553942403451697,3.0191345871308604e-38,-0.04092627822251317,-0.030152569846520774,,aqrean_pm2p5_high_vs_not
0.005765946406973811,0.02852705428642427,0.0006055593014374933,0.010926333512510128,,aqrean_pm10_high_vs_not
-0.08964899165482824,1.7923253662820038e-20,-0.10859530546463277,-0.07070267784502372,,aqrean_daqi_pm10_high+vhigh_vs_low+mod
-0.0417785649577841,1.1686202995231241e-48,-0.047364267501125566,-0.03619286241444263,,aqrean_daqi_pm10_high+vhigh+mod_vs_low
-0.04772160022371737,1.3535612433126513e-100,-0.05211450289904309,-0.043328697548391644,,aqrean_sulfur_dioxide_high_vs_not
,,,,Singular matrix,aqrean_daqi_sulfur_dioxide_high+vhigh_vs_low+mod
0.022303700248969244,0.9369635327022587,-0.5304360042990852,0.5750434047970236,,aqrean_daqi_sulfur_dioxide_high+vhigh+mod_vs_low
