station_id,kind,mean_flagged,mean_nonflagged,rel_change,n_flagged,n_nonflagged,p_value
A82003,flood,602.75,555.6607142857143,0.08474467332953856,4,56,0.25383593235705415
A82014,flood,204.25,181.94642857142858,0.12258317793631707,4,56,0.1030146077290569
A82028,flood,299.25,284.17857142857144,0.05303506346594377,4,56,0.3982539057523793
A82029,flood,193.75,168.92857142857142,0.14693446088707954,4,56,0.08831478255246311
A82045,flood,434.25,423.05357142857144,0.026465746485944748,4,56,0.6039482268018502
A82068,flood,239.5,222.48214285714286,0.07649089011924844,4,56,0.1822674505101639
A82613,flood,66.0,61.607142857142854,0.07130434782492961,4,56,0.46742925489263343
A83032,flood,137.0,119.55357142857143,0.14592979835576217,4,56,0.026177639108893976
A83046,flood,558.25,492.9107142857143,0.13255805528357706,4,56,0.09998773780304805
A83060,flood,127.5,134.80357142857142,-0.05417936150443308,4,56,0.6143145867064819
A83061,flood,217.25,204.71428571428572,0.06123517096969386,4,56,0.44978658289452766
B81002,flood,4.333333333333333,149.86111111111111,-0.9710843373429177,3,57,
B81003,flood,692.3333333333334,646.2777777777778,0.0712627868992278,6,54,0.2178910834847556
B81004,flood,738.8888888888889,729.2745098039215,0.013183484347395032,9,51,0.39594242155201087
B81005,flood,883.6666666666666,803.4313725490196,0.09986577181195626,9,51,0.03842777779913612
B81006,flood,652.4444444444445,548.3725490196078,0.18978319686262338,9,51,0.02533499011279118
B81007,flood,517.0,458.0,0.1288209606984087,9,51,0.015858436411684988
B81008,flood,1522.6,1613.1090909090908,-0.05610847488189847,5,55,0.5384386096270757
B81009,flood,418.3333333333333,393.19607843137254,0.06393058395236319,9,51,0.4944709504685576
B81011,flood,455.44444444444446,431.8235294117647,0.054700388987144265,9,51,0.1040619864795409
B81012,flood,188.75,197.26785714285714,-0.04317914365869302,4,56,0.9881752376395878
B81013,flood,348.55555555555554,295.2156862745098,0.1806810131060122,9,51,0.014979986237389989
B81015,flood,867.0,904.6666666666666,-0.0416359616801308,6,54,0.7580658196315646
B81016,flood,356.0,337.375,0.055205631715286536,4,56,0.34286286214500283
B81017,flood,462.3333333333333,502.7647058823529,-0.08041808041792048,9,51,0.39019358614632904
B81018,flood,489.77777777777777,471.8235294117647,0.03805288894421835,9,51,0.24208316323445067
B81020,flood,437.22222222222223,350.84313725490193,0.2462042884547465,9,51,0.003172673571665633
B81022,flood,565.6666666666666,571.4117647058823,-0.010054217280882832,9,51,0.44982382070707216
B81024,flood,432.0,395.94117647058823,0.09107116327417202,9,51,0.062410844705270835
B81025,flood,1882.8333333333333,1824.611111111111,0.03190938708398821,6,54,0.45230791525683145
B81026,flood,763.4444444444445,733.6078431372549,0.04067105005250955,9,51,0.27251024554657943
B81027,flood,299.0,344.01960784313724,-0.13086349387251783,9,51,0.06537470062475419
B81029,flood,375.3333333333333,448.56140350877195,-0.1632509386729778,3,57,0.04913754169277336
B81030,flood,1434.0,960.875,0.49238974892624704,4,56,0.04234686381939341
B81031,flood,698.25,553.6964285714286,0.2610700809489916,4,56,0.008720437952071987
B81032,flood,207.44444444444446,210.62745098039215,-0.015112021349149308,9,51,0.8684371127362372
B81034,flood,663.7777777777778,613.8039215686274,0.08141664537000128,9,51,0.05955555155479639
B81035,flood,302.22222222222223,314.84313725490193,-0.040086359012556555,9,51,0.5832194800926206
B81036,flood,913.25,799.5178571428571,0.14225091014656235,4,56,0.03409257703388781
B81037,flood,501.1111111111111,531.8039215686274,-0.05771452449415194,9,51,0.2680121603382607
B81038,flood,444.1111111111111,413.05882352941177,0.07517642963366711,9,51,0.11801063244335672
B81039,flood,1629.2,1492.9818181818182,0.09123900918229515,5,55,0.16025179923109267
B81040,flood,774.6,754.5818181818182,0.026528841983483688,5,55,0.4146278957183934
B81041,flood,336.6666666666667,323.37254901960785,0.0411108416200524,9,51,0.23792833296458704
B81042,flood,741.4444444444445,596.3333333333334,0.24333892304784976,9,51,0.0012834242554617431
B81043,flood,753.5555555555555,689.3921568627451,0.09307242337178495,9,51,0.03651817777793193
B81045,flood,685.0,583.4901960784314,0.17397002486696442,9,51,0.008048950327663118
B81046,flood,492.8888888888889,446.078431372549,0.10493772893749378,9,51,0.026718102472285534
B81047,flood,309.22222222222223,289.27450980392155,0.06895772611196489,9,51,0.14435656726874388
B81048,flood,1794.4444444444443,1733.5882352941176,0.035104189052117624,9,51,0.242109333850685
B81051,flood,562.3333333333334,490.96078431372547,0.1453732177799668,9,51,0.024028072166539165
B81052,flood,238.11111111111111,193.33333333333334,0.23160919540110084,9,51,0.010233467552775962
B81054,flood,434.44444444444446,455.11764705882354,-0.045423865121322494,9,51,0.4623367981673704
B81058,flood,119.75,275.3783783783784,-0.5651437825084984,8,52,
B81061,flood,1836.3333333333333,1479.5882352941176,0.24111106693684922,9,51,0.017275005240054785
B81063,flood,333.4,331.3818181818182,0.006090200812008347,5,55,0.7482126784110961
B81064,flood,542.1111111111111,461.6470588235294,0.17429776871635141,9,51,0.03471496502201186
B81065,flood,449.3333333333333,383.29411764705884,0.17229384080167848,9,51,0.09760943942513195
B81068,flood,681.0,613.2549019607843,0.11046809054848339,9,51,0.0122336916930353
B81069,flood,1488.0,903.2352941176471,0.6474112666876584,9,51,0.0071157407431977964
B81074,flood,502.4,278.2909090909091,0.8053051091046456,5,55,0.001750762925917769
B81075,flood,218.66666666666666,185.2156862745098,0.18060554732064243,9,51,0.008290894897543607
B81082,flood,265.6666666666667,263.8627450980392,0.006836590621955245,9,51,0.5009747512348015
B81085,flood,239.77777777777777,285.72549019607845,-0.1608106871620322,9,51,0.06239264359720273
B81087,flood,485.75,453.55357142857144,0.07098704673396684,4,56,0.34290310752001474
B81088,flood,360.25,341.92857142857144,0.05358261959457899,4,56,0.29272999774344743
B81090,flood,208.44444444444446,187.52941176470588,0.11152934615861347,9,51,0.038376638427645375
B81091,flood,129.25,134.17857142857142,-0.036731434655036255,4,56,0.7782345929092713
B81092,flood,487.3333333333333,462.6862745098039,0.05326948340879274,9,51,0.16855011124381525
B81097,flood,94.4,108.0,-0.1259259259247599,5,55,0.1485288386791289
B81099,flood,520.6,491.8545454545455,0.05844299866911082,5,55,0.27866656631909426
B81100,flood,217.77777777777777,204.72549019607843,0.06375506816046501,9,51,0.10854050414246844
B81101,flood,1009.1111111111111,915.5882352941177,0.1021451261732831,9,51,0.022761442386746034
B81104,flood,134.22222222222223,111.84313725490196,0.20009350163448963,9,51,0.07163534375030683
B81108,flood,294.5,251.32142857142858,0.17180616740019738,4,56,0.03408013662404337
B81109,flood,574.6,595.2727272727273,-0.03472816127055857,5,55,0.9786608160881468
B81112,flood,614.5555555555555,456.6470588235294,0.345799876908227,9,51,0.0011943299305621374
B81113,flood,455.55555555555554,396.3921568627451,0.14925471573633367,9,51,0.056823257045619795
B81118,flood,187.44444444444446,181.2549019607843,0.03414827635925206,9,51,0.3677002821363715
B81119,flood,250.33333333333334,235.49019607843138,0.06303080766001544,9,51,0.3304812315758816
B81606,flood,222.25,205.82142857142858,0.07981953843445509,4,56,0.4586976698297951
