,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
sigma,0.725,0.001,0.724,0.726,0.0,0.0,50703.0,15855.0,1.0
Intercept,0.142,0.007,0.129,0.156,0.0,0.0,3026.0,6643.0,1.0
hydro_rain_values,-0.006,0.002,-0.009,-0.002,0.0,0.0,25611.0,18986.0,1.0
met_rain_values,-0.007,0.002,-0.01,-0.004,0.0,0.0,25757.0,19579.0,1.0
met_tmax_values,0.146,0.004,0.14,0.153,0.0,0.0,6733.0,12882.0,1.0
aqrean_carbon_monoxide_values,0.08,0.002,0.077,0.083,0.0,0.0,42273.0,18181.0,1.0
aqrean_daqi_overall_values,-0.013,0.002,-0.016,-0.009,0.0,0.0,30000.0,19962.0,1.0
aqrean_nitrogen_monoxide_values,-0.004,0.012,-0.026,0.017,0.0,0.0,18117.0,17502.0,1.0
aqrean_nitrogen_dioxide_values,-0.003,0.003,-0.009,0.003,0.0,0.0,16820.0,18677.0,1.0
aqrean_daqi_nitrogen_dioxide_values,0.003,0.002,0.0,0.006,0.0,0.0,38805.0,18704.0,1.0
aqrean_nox_expressed_as_nitrogen_dioxide_values,-0.023,0.013,-0.048,0.002,0.0,0.0,18177.0,17101.0,1.0
aqrean_ozone_values,-0.025,0.003,-0.03,-0.02,0.0,0.0,26609.0,18835.0,1.0
aqrean_daqi_ozone_values,-0.016,0.002,-0.02,-0.012,0.0,0.0,23866.0,19837.0,1.0
aqrean_pm2p5_values,-0.003,0.003,-0.008,0.002,0.0,0.0,26978.0,19934.0,1.0
aqrean_pm10_values,0.02,0.003,0.014,0.025,0.0,0.0,24025.0,18748.0,1.0
aqrean_daqi_pm10_values,-0.013,0.002,-0.017,-0.008,0.0,0.0,31461.0,19705.0,1.0
aqrean_sulfur_dioxide_values,-0.023,0.002,-0.025,-0.02,0.0,0.0,32102.0,19364.0,1.0
aqrean_daqi_sulfur_dioxide_values,0.003,0.001,0.002,0.005,0.0,0.0,38323.0,18895.0,1.0
C(month)[2],-0.481,0.005,-0.49,-0.472,0.0,0.0,13684.0,16927.0,1.0
C(month)[3],0.005,0.006,-0.005,0.015,0.0,0.0,10396.0,16293.0,1.0
C(month)[4],-0.112,0.007,-0.124,-0.099,0.0,0.0,6402.0,12998.0,1.0
C(month)[5],0.102,0.008,0.088,0.117,0.0,0.0,5479.0,10193.0,1.0
C(month)[6],0.13,0.009,0.112,0.148,0.0,0.0,4898.0,9515.0,1.0
C(month)[7],0.079,0.011,0.058,0.099,0.0,0.0,5028.0,9754.0,1.0
C(month)[8],-0.506,0.01,-0.525,-0.487,0.0,0.0,5137.0,9699.0,1.0
